win,nstop_mean_L1_h0,nstop_mean_L2p_h0,qmin_pos_min_L1_h0,nstop_mean_L1_h11,nstop_mean_L2p_h11,qmin_pos_min_L1_h11,nstop_mean_L1_b0,nstop_mean_L2p_b0,qmin_pos_min_L1_b0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,0.0,0.0,1148.0,0.0,0.0,1148.0,0.0,0.0,1148.0
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3000,0.0,0.0,862.0,0.0,0.0,862.0,0.0,0.0,862.0
3150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1738.0
3450,0.0,0.0,0.0,3.0,0.0,1612.0,21.0,0.0,1439.0
3600,0.0,0.0,0.0,50.0,0.0,1302.0,74.0,0.0,1166.0
3750,0.0,0.0,0.0,91.0,0.0,1032.0,110.0,0.0,917.0
3900,0.0,0.0,0.0,127.0,0.0,868.0,121.0,0.0,790.0
4050,0.0,0.0,0.0,120.0,1.0,791.0,74.0,0.0,755.0
4200,0.0,0.0,0.0,101.0,1.0,756.0,96.0,2.0,755.0
4350,0.0,0.0,0.0,124.0,8.0,756.0,140.0,13.0,798.0
4500,0.0,0.0,0.0,130.0,15.0,775.0,153.0,16.0,764.0
4650,0.0,0.0,0.0,124.0,25.0,775.0,149.0,35.0,758.0
4800,0.0,0.0,0.0,139.0,41.0,774.0,135.0,46.0,751.0
4950,0.0,0.0,0.0,149.0,56.0,782.0,143.0,62.0,752.0
5100,0.0,0.0,0.0,154.0,68.0,770.0,153.0,82.0,769.0
5250,0.0,0.0,0.0,157.0,83.0,746.0,147.0,95.0,751.0
