run,grp,n_veh,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s_mean,L2pstop_s_mean,n_L1stop_lt1000,n_L1stop_lt1500,n_L1_lt1000
h0,exit/end,256,346.0,685.0,277.3,19.7,24.6,88.6,188.7,0,71,9
h0,ramp,1465,103.2,155.0,6.0,2.5,42.0,6.0,0.0,0,215,905
h0,signal/other,2032,506.1,800.0,400.5,226.0,285.7,130.5,269.9,0,365,63
h11,exit/end,533,1361.5,2319.0,1244.6,184.3,201.6,522.0,722.7,189,190,206
h11,ramp,1022,295.2,750.0,181.1,51.4,83.8,79.4,101.7,164,185,601
h11,signal/other,2558,231.1,370.0,156.3,111.1,164.2,50.3,106.0,13,98,48
b0,exit/end,275,342.1,695.0,270.1,20.6,26.1,102.1,167.9,0,90,9
b0,ramp,1458,122.0,220.0,19.9,8.0,49.4,10.9,8.9,135,272,923
b0,signal/other,2022,489.4,820.0,381.4,214.2,274.9,136.1,245.3,5,365,63
