run,next_link,n,dwell_mean,stop_s_mean,veh_h,L1stop_s,L2pstop_s,n_L1_lt1000,n_L1stop_lt1000
nc_lcd200,-1,31,81.0,0.0,0.7,0.0,0.0,10,0
nc_lcd200,10636,97,158.5,0.0,4.3,0.0,0.0,18,0
nc_lcd200,10637,292,155.7,0.1,12.6,0.0,0.1,105,0
nc_lcd200,10640,31,164.7,0.0,1.4,0.0,0.0,6,0
nc_lcd200,10644,1173,155.6,0.2,50.7,0.1,0.1,351,0
g1_lcd200,-1,31,81.0,0.0,0.7,0.0,0.0,10,0
g1_lcd200,10636,97,158.5,0.0,4.3,0.0,0.0,18,0
g1_lcd200,10637,292,155.7,0.1,12.6,0.0,0.1,105,0
g1_lcd200,10640,31,164.7,0.0,1.4,0.0,0.0,6,0
g1_lcd200,10644,1173,155.6,0.2,50.7,0.1,0.1,351,0
