no,name,lanes,len_m,lnChg,from_lane,from_pos,to_lane,to_pos
1,,2,140,200,,,,
2,,4,4692,200,,,,
3,,2,109,200,,,,
4,,3,28,200,,,,
5,,2,37,200,,,,
6,,2,27,200,,,,
7,,2,44,200,,,,
8,,3,27,200,,,,
9,,2,36,200,,,,
10,,2,41,200,,,,
11,,1,49,200,,,,
12,,1,55,200,,,,
13,,2,168,200,,,,
14,,2,163,200,,,,
15,,1,14,200,,,,
16,,1,14,200,,,,
17,,1,7,200,,,,
18,,1,7,200,,,,
19,,1,11,200,,,,
20,,2,60,200,,,,
21,,2,173,200,,,,
22,,2,50,200,,,,
23,,2,57,200,,,,
24,,4,3346,200,,,,
25,,4,242,200,,,,
26,,4,10778,200,,,,
27,,1,25,200,,,,
28,,4,236,200,,,,
29,,4,540,200,,,,
30,,4,532,200,,,,
31,,3,1959,200,,,,
32,,3,1963,200,,,,
33,,4,101,200,,,,
34,,5,70,200,,,,
35,,4,80,200,,,,
36,,4,95,200,,,,
37,,3,537,200,,,,
38,,3,549,200,,,,
39,,4,1254,200,,,,
40,,4,1261,200,,,,
41,,5,73,200,,,,
42,,4,157,200,,,,
43,,2,95,200,,,,
44,,4,84,200,,,,
45,,4,105,200,,,,
46,,4,959,200,,,,
47,,4,938,200,,,,
48,,1,110,200,,,,
49,,1,110,200,,,,
50,,1,114,200,,,,
51,,1,114,200,,,,
52,,4,468,200,,,,
53,,5,40,200,,,,
54,,4,43,200,,,,
55,,4,471,200,,,,
56,,4,470,200,,,,
57,,2,419,200,,,,
58,,2,410,200,,,,
59,,4,38,200,,,,
60,,4,255,200,,,,
61,,2,448,200,,,,
62,,2,405,200,,,,
63,,1,15,200,,,,
64,,1,20,200,,,,
65,,1,16,200,,,,
66,,4,2662,200,,,,
67,,4,2661,200,,,,
68,,4,1990,200,,,,
69,,4,1797,200,,,,
70,,2,338,200,,,,
71,,5,83,200,,,,
72,,4,708,200,,,,
73,,4,711,200,,,,
74,,4,2702,200,,,,
75,,2,344,200,,,,
76,,3,282,200,,,,
77,,3,281,200,,,,
78,,2,476,200,,,,
79,,2,479,200,,,,
80,,2,385,200,,,,
81,,2,390,200,,,,
82,,2,65,200,,,,
83,,3,189,200,,,,
84,,3,50,200,,,,
85,,2,206,200,,,,
86,,3,190,200,,,,
87,,4,64,200,,,,
88,,4,174,200,,,,
89,,4,365,200,,,,
90,,4,373,200,,,,
91,,2,42,200,,,,
92,,2,40,200,,,,
93,,3,81,200,,,,
94,,4,105,200,,,,
95,,2,353,200,,,,
96,,1,34,200,,,,
97,,2,79,200,,,,
98,,2,84,200,,,,
99,,2,351,200,,,,
100,,2,212,200,,,,
101,,4,116,200,,,,
102,,3,365,200,,,,
103,,3,364,200,,,,
104,,4,120,200,,,,
105,,4,99,200,,,,
106,,3,75,200,,,,
107,,4,485,200,,,,
108,,4,486,200,,,,
109,,4,368,200,,,,
110,,4,64,200,,,,
111,,3,130,200,,,,
112,,4,368,200,,,,
113,,3,251,200,,,,
114,,5,44,200,,,,
115,,4,382,200,,,,
116,,4,48,200,,,,
117,,4,386,200,,,,
118,,5,38,200,,,,
122,,5,125,200,,,,
128,,5,63,200,,,,
136,,4,21,200,,,,
138,,1,130,200,,,,
140,,1,24,200,,,,
141,,1,24,200,,,,
142,,1,70,200,,,,
164,,1,43,200,,,,
165,,1,43,200,,,,
166,,1,25,200,,,,
167,,1,29,200,,,,
168,,4,103,200,,,,
170,,1,22,200,,,,
172,,1,11,200,,,,
173,,5,33,200,,,,
174,,4,501,200,,,,
176,,5,89,200,,,,
178,,5,69,200,,,,
182,,4,485,200,,,,
183,,6,70,200,,,,
187,,1,184,200,,,,
188,,1,185,200,,,,
189,,1,27,200,,,,
190,,1,27,200,,,,
194,,1,91,200,,,,
196,,1,91,200,,,,
197,,1,107,200,,,,
198,,1,107,200,,,,
199,,1,245,200,,,,
200,,1,245,200,,,,
201,,1,18,200,,,,
202,,1,18,200,,,,
209,,1,125,200,,,,
210,,1,125,200,,,,
213,,2,133,200,,,,
217,,1,19,200,,,,
218,,1,17,200,,,,
221,,1,67,200,,,,
222,,1,39,200,,,,
223,,1,14,200,,,,
224,,1,14,200,,,,
225,,1,31,200,,,,
226,,1,31,200,,,,
227,,1,14,200,,,,
236,,1,45,200,,,,
237,,1,42,200,,,,
240,,1,62,200,,,,
241,,1,58,200,,,,
242,,1,32,200,,,,
243,,1,32,200,,,,
245,,2,33,200,,,,
247,,1,50,200,,,,
248,,1,50,200,,,,
249,,1,31,200,,,,
250,,1,31,200,,,,
251,,1,26,200,,,,
252,,1,26,200,,,,
254,,2,10,200,,,,
255,,2,8,200,,,,
256,,1,202,200,,,,
257,,1,29,200,,,,
259,,3,11,200,,,,
260,,1,31,200,,,,
261,,1,47,200,,,,
265,,4,24,200,,,,
268,,4,46,200,,,,
269,,3,58,200,,,,
270,,3,147,200,,,,
271,,4,133,200,,,,
274,,4,48,200,,,,
275,,3,146,200,,,,
276,,4,68,200,,,,
277,,3,230,200,,,,
278,,3,122,200,,,,
279,,3,122,200,,,,
280,,5,37,200,,,,
281,,5,33,200,,,,
282,,4,16,200,,,,
289,,4,8,200,,,,
290,,3,45,200,,,,
291,,3,124,200,,,,
292,,4,197,200,,,,
293,,2,134,200,,,,
294,,3,34,200,,,,
295,,4,104,200,,,,
296,,3,83,200,,,,
297,,4,119,200,,,,
298,,5,110,200,,,,
308,,4,49,200,,,,
309,,3,491,200,,,,
310,,5,99,200,,,,
311,,1,60,200,,,,
314,,6,74,200,,,,
316,,1,21,200,,,,
317,,4,82,200,,,,
319,,1,23,200,,,,
321,,5,99,200,,,,
322,,4,140,200,,,,
324,,4,162,200,,,,
325,,5,121,200,,,,
326,,4,172,200,,,,
327,,5,138,200,,,,
328,,4,177,200,,,,
329,,4,121,200,,,,
332,,1,30,200,,,,
334,,1,31,200,,,,
336,,1,15,200,,,,
337,,4,303,200,,,,
340,,1,51,200,,,,
341,,1,66,200,,,,
342,,1,68,200,,,,
343,,1,73,200,,,,
344,,1,73,200,,,,
353,,2,138,200,,,,
354,,2,131,200,,,,
355,,1,23,200,,,,
356,,1,23,200,,,,
357,,1,18,200,,,,
358,,2,114,200,,,,
359,,2,120,200,,,,
360,,1,21,200,,,,
361,,1,21,200,,,,
364,,1,55,200,,,,
365,,1,57,200,,,,
367,,2,193,200,,,,
371,,2,33,200,,,,
374,,1,22,200,,,,
378,,2,76,200,,,,
379,,1,689,200,,,,
380,,1,745,200,,,,
381,,1,91,200,,,,
382,,3,41,200,,,,
383,,1,56,200,,,,
385,,1,11,200,,,,
387,,4,227,200,,,,
403,,3,279,200,,,,
404,,4,266,200,,,,
407,,3,270,200,,,,
408,,3,201,200,,,,
409,,4,60,200,,,,
410,,4,44,200,,,,
411,,3,160,200,,,,
412,,3,109,200,,,,
413,,3,47,200,,,,
416,,2,166,200,,,,
417,,2,172,200,,,,
420,,3,718,200,,,,
421,,2,181,200,,,,
422,,2,17,200,,,,
423,,2,180,200,,,,
424,,2,17,200,,,,
425,,2,284,200,,,,
426,,2,290,200,,,,
427,,4,522,200,,,,
459,,1,38,200,,,,
460,,1,33,200,,,,
461,,1,64,200,,,,
462,,1,83,200,,,,
463,,1,83,200,,,,
467,,1,62,200,,,,
468,,1,62,200,,,,
469,,1,49,200,,,,
470,,1,49,200,,,,
10000,,2,12,1000,3 1,108.0,1220017202 1,0.0
10001,,2,17,1000,23 1,57.0,4 1,1.0
10002,,2,7,1000,6 1,27.0,5 1,0.0
10003,,2,9,1000,7 1,42.0,8 1,1.0
10004,,1,7,1000,7 2,43.0,8 3,0.0
10005,,2,46,1000,5 1,37.0,3 1,0.0
10006,,1,18,1000,23 2,57.0,4 3,0.0
10007,,1,35,1000,9 2,36.0,12 1,0.0
10008,,1,21,1000,9 1,36.0,3 1,0.0
10009,,1,32,1000,9 2,36.0,7 2,1.0
10010,,2,46,1000,4 1,28.0,7 1,0.0
10011,,1,34,1000,4 3,28.0,10 2,0.0
10012,,1,24,1000,5 1,37.0,10 1,1.0
10013,,1,34,1000,5 2,37.0,12 1,1.0
10014,,1,36,1000,11 1,49.0,10 2,1.0
10015,,1,39,1000,11 1,49.0,3 2,1.0
10016,,1,25,1000,11 1,49.0,7 1,1.0
10017,,2,32,1000,13 1,167.0,6 1,1.0
10018,,2,30,1000,8 1,27.0,14 1,1.0
10019,,1,17,1000,8 3,27.0,16 1,0.0
10020,,1,25,1000,13 1,167.0,16 1,0.0
10021,,1,11,1000,15 1,13.0,6 1,1.0
10022,,1,6,1000,274 4,47.0,1220019303 3,1.0
10023,,4,43,1000,1220000201 2,85.0,1220000402 1,0.0
10024,,4,12,1000,1220000600 1,17.0,174 1,1.0
10025,,4,45,1000,1220006903 2,99.0,1220008501 1,2.0
10026,,1,10,1000,271 4,131.0,274 4,1.0
10027,,1,10,1000,128 1,62.0,470 1,1.0
10028,,1,13,1000,121008402 1,70.0,468 1,1.0
10029,,1,26,1000,1220008201 1,91.0,1220008501 1,12.0
10030,,1,34,1000,128 5,62.0,468 1,1.0
10031,,1,32,1000,121008402 5,75.0,470 1,0.0
10032,,4,54,1000,1220018401 2,165.0,1220014203 1,0.0
10033,,1,20,1000,122 1,124.0,460 1,0.0
10034,,1,32,1000,4 1,28.0,12 1,1.0
10035,,4,22,1000,25 1,240.0,1220001501 1,1.0
10036,,1,21,1000,25 4,241.0,1220001501 5,0.0
10037,,1,11,1000,1220017202 1,148.0,27 1,1.0
10038,,1,21,1000,27 1,24.0,1220001602 1,34.0
10039,,4,27,1000,1220001602 1,139.0,28 1,1.0
10040,,4,20,1000,1220001900 1,153.0,25 1,1.0
10041,,4,19,1000,28 1,236.0,1220002001 1,0.0
10042,,1,20,1000,28 4,236.0,1220002001 5,1.0
10043,,4,16,1000,35 1,79.0,36 1,0.0
10044,,4,16,1000,33 1,100.0,34 1,0.0
10045,,1,16,1000,33 4,100.0,34 5,0.0
10046,,4,14,1000,36 1,94.0,1220001200 1,1.0
10047,,1,14,1000,36 4,94.0,1220001200 5,1.0
10048,,4,9,1000,1220001100 1,66.0,33 1,1.0
10049,,2,20,1000,1220015600 1,172.0,1210015600 1,1.0
10050,,2,21,1000,1220015700 1,145.0,1210015700 1,0.0
10051,,4,44,1000,1220001501 1,136.0,1220001100 1,0.0
10052,,1,29,1000,1220001501 1,137.0,1220015600 1,0.0
10053,,2,34,1000,1220001501 5,136.0,1220017300 1,0.0
10054,,4,48,1000,1220001200 1,60.0,1220001602 1,0.0
10055,,1,42,1000,1220001200 5,60.0,1220015600 2,1.0
10056,,1,32,1000,1220001200 1,60.0,1220017300 1,0.0
10057,,2,54,1000,1220017202 1,164.0,1220015600 1,1.0
