win,nstop_mean_L1_h0,nstop_mean_L2p_h0,qmin_pos_min_L1_h0,nstop_mean_L1_h11,nstop_mean_L2p_h11,qmin_pos_min_L1_h11,nstop_mean_L1_b0,nstop_mean_L2p_b0,qmin_pos_min_L1_b0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,1.0,301.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1650,0.0,0.0,45.0,0.0,0.0,47.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
2100,0.0,1.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
2250,0.0,0.0,47.0,0.0,0.0,41.0,0.0,0.0,0.0
2400,0.0,0.0,27.0,0.0,0.0,30.0,0.0,0.0,44.0
2550,0.0,0.0,0.0,1.0,0.0,137.0,0.0,1.0,0.0
2700,0.0,0.0,0.0,12.0,0.0,55.0,0.0,0.0,50.0
2850,0.0,0.0,333.0,14.0,0.0,40.0,7.0,0.0,88.0
3000,0.0,1.0,0.0,22.0,0.0,34.0,20.0,0.0,36.0
3150,0.0,0.0,48.0,27.0,0.0,4.0,29.0,0.0,2.0
3300,0.0,0.0,0.0,28.0,0.0,12.0,29.0,0.0,2.0
3450,0.0,0.0,0.0,28.0,1.0,12.0,28.0,0.0,10.0
3600,0.0,0.0,0.0,28.0,0.0,12.0,28.0,7.0,10.0
3750,0.0,1.0,0.0,28.0,1.0,12.0,27.0,7.0,3.0
3900,0.0,0.0,296.0,26.0,1.0,2.0,20.0,2.0,2.0
4050,0.0,0.0,0.0,24.0,2.0,4.0,27.0,14.0,7.0
4200,0.0,0.0,0.0,26.0,16.0,5.0,27.0,12.0,7.0
4350,0.0,0.0,0.0,22.0,18.0,2.0,27.0,13.0,7.0
4500,0.0,0.0,0.0,22.0,13.0,2.0,25.0,13.0,7.0
4650,0.0,0.0,0.0,26.0,18.0,5.0,22.0,13.0,3.0
4800,0.0,0.0,0.0,26.0,12.0,6.0,26.0,8.0,6.0
4950,0.0,0.0,0.0,26.0,8.0,6.0,26.0,14.0,6.0
5100,0.0,0.0,0.0,26.0,8.0,6.0,22.0,19.0,4.0
5250,0.0,0.0,0.0,26.0,7.0,6.0,16.0,3.0,3.0
