win,nstop_mean_L1_h0,nstop_mean_L2p_h0,qmin_pos_min_L1_h0,nstop_mean_L1_h11,nstop_mean_L2p_h11,qmin_pos_min_L1_h11,nstop_mean_L1_b0,nstop_mean_L2p_b0,qmin_pos_min_L1_b0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,187.0,0.0,0.0,187.0,0.0,0.0,187.0
450,0.0,0.0,224.0,0.0,0.0,224.0,0.0,0.0,224.0
600,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0
750,1.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,3.0
900,0.0,0.0,3.0,1.0,0.0,7.0,1.0,0.0,29.0
1050,1.0,0.0,4.0,1.0,0.0,149.0,1.0,0.0,167.0
1200,3.0,0.0,44.0,3.0,0.0,120.0,2.0,0.0,124.0
1350,2.0,0.0,97.0,1.0,0.0,171.0,1.0,0.0,178.0
1500,2.0,0.0,4.0,1.0,0.0,10.0,1.0,0.0,8.0
1650,4.0,0.0,2.0,2.0,0.0,2.0,4.0,0.0,4.0
1800,2.0,0.0,8.0,3.0,0.0,54.0,4.0,0.0,10.0
1950,1.0,0.0,103.0,2.0,0.0,58.0,3.0,0.0,74.0
2100,2.0,0.0,8.0,3.0,0.0,43.0,4.0,0.0,32.0
2250,2.0,0.0,2.0,4.0,0.0,26.0,3.0,0.0,5.0
2400,2.0,0.0,23.0,3.0,0.0,7.0,7.0,0.0,4.0
2550,2.0,0.0,4.0,4.0,0.0,2.0,7.0,0.0,3.0
2700,1.0,0.0,4.0,6.0,0.0,18.0,5.0,0.0,4.0
2850,1.0,0.0,2.0,1.0,0.0,190.0,1.0,0.0,186.0
3000,2.0,0.0,5.0,2.0,0.0,5.0,0.0,0.0,220.0
3150,3.0,0.0,3.0,4.0,0.0,65.0,1.0,0.0,197.0
3300,3.0,0.0,3.0,0.0,0.0,217.0,1.0,0.0,197.0
3450,3.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,133.0
3600,1.0,0.0,2.0,3.0,0.0,5.0,2.0,0.0,122.0
3750,1.0,0.0,41.0,5.0,0.0,49.0,1.0,0.0,8.0
3900,2.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,219.0
4050,2.0,0.0,4.0,10.0,0.0,56.0,0.0,0.0,187.0
4200,2.0,0.0,4.0,5.0,0.0,81.0,2.0,0.0,5.0
4350,2.0,0.0,2.0,1.0,0.0,7.0,1.0,0.0,99.0
4500,2.0,0.0,5.0,2.0,0.0,6.0,0.0,0.0,227.0
4650,0.0,0.0,202.0,3.0,0.0,44.0,0.0,0.0,246.0
4800,1.0,0.0,3.0,1.0,0.0,192.0,0.0,0.0,0.0
4950,2.0,0.0,4.0,1.0,0.0,8.0,0.0,0.0,228.0
5100,2.0,0.0,3.0,1.0,0.0,168.0,0.0,0.0,225.0
5250,2.0,0.0,97.0,0.0,0.0,4.0,0.0,0.0,0.0
