next_link,pbin,win900,rows,L1rows,stop,L1stop
-1,0,5,45,16,0,0
-1,100,5,42,16,0,0
-1,200,5,39,13,0,0
-1,300,5,38,15,0,0
-1,400,5,35,12,0,0
-1,500,5,34,11,0,0
-1,600,5,34,13,0,0
-1,700,5,34,11,0,0
-1,800,5,30,12,0,0
-1,900,5,27,9,0,0
-1,1000,5,31,9,0,0
-1,1100,5,27,10,0,0
-1,1200,0,1,0,0,0
-1,1200,1,2,1,0,0
-1,1200,2,14,9,1,1
-1,1200,3,6,1,4,1
-1,1200,4,5,3,2,2
-1,1200,5,457,236,271,122
-1,1300,0,1,0,0,0
-1,1300,1,48,1,34,0
-1,1300,2,282,65,227,54
-1,1300,3,39,0,30,0
-1,1300,4,61,0,51,0
-1,1300,5,4419,1571,3665,1326
-1,1400,0,2,0,0,0
-1,1400,1,70,25,58,19
-1,1400,2,378,85,315,71
-1,1400,3,13,0,9,0
-1,1400,4,80,0,69,0
-1,1400,5,3792,1410,3165,1206
-1,1500,0,2,0,0,0
-1,1500,1,48,24,40,20
-1,1500,2,359,76,294,61
-1,1500,4,88,0,77,0
-1,1500,5,2704,891,2211,740
-1,1600,0,1,0,0,0
-1,1600,1,21,3,15,0
-1,1600,2,279,62,221,55
-1,1600,3,2,2,0,0
-1,1600,4,85,0,70,0
-1,1600,5,1920,600,1605,514
-1,1700,0,2,0,0,0
-1,1700,1,21,21,19,19
-1,1700,2,274,46,212,40
-1,1700,3,22,22,19,19
-1,1700,4,68,0,54,0
-1,1700,5,1148,317,937,259
-1,1800,0,2,0,0,0
-1,1800,1,23,23,19,19
-1,1800,2,297,24,238,19
-1,1800,3,41,2,37,0
-1,1800,4,55,0,44,0
-1,1800,5,517,51,373,22
-1,1900,0,16,0,14,0
-1,1900,1,2,2,0,0
-1,1900,2,150,22,124,18
-1,1900,3,30,22,23,19
-1,1900,4,58,0,50,0
-1,1900,5,142,32,116,25
38,1200,0,1,0,0,0
38,1200,1,4,4,0,0
38,1200,2,3,2,0,0
38,1200,3,7,2,2,0
38,1200,4,10,5,1,1
38,1200,5,2,2,0,0
38,1300,0,5,0,0,0
38,1300,1,27,6,11,0
38,1300,2,142,1,115,0
38,1300,3,120,3,92,2
38,1300,4,130,0,101,0
38,1300,5,49,2,41,0
38,1400,0,2,0,0,0
38,1400,1,78,0,59,0
38,1400,2,122,0,98,0
38,1400,3,151,0,124,0
38,1400,4,138,0,112,0
38,1400,5,25,0,18,0
38,1500,0,2,0,0,0
38,1500,1,156,2,127,1
38,1500,2,122,0,101,0
38,1500,3,96,0,70,0
38,1500,4,143,0,120,0
38,1500,5,54,0,44,0
38,1600,0,6,0,0,0
38,1600,1,116,0,93,0
38,1600,2,77,0,56,0
38,1600,3,120,0,90,0
38,1600,4,127,0,106,0
38,1600,5,61,0,49,0
38,1700,0,6,0,0,0
38,1700,1,162,0,133,0
38,1700,2,133,0,113,0
38,1700,3,163,0,140,0
38,1700,4,99,0,76,0
38,1700,5,88,0,69,0
38,1800,0,58,0,45,0
38,1800,1,168,0,135,0
38,1800,2,110,0,87,0
38,1800,3,97,0,78,0
38,1800,4,146,0,117,0
38,1800,5,144,0,120,0
38,1900,0,5,0,0,0
38,1900,1,13,0,2,0
38,1900,2,29,0,20,0
38,1900,3,33,0,22,0
38,1900,4,40,0,29,0
38,1900,5,14,0,3,0
10118,0,0,40,11,0,0
10118,0,1,37,11,0,0
10118,0,2,45,22,0,0
10118,0,3,40,15,0,0
10118,0,4,30,12,0,0
10118,0,5,3,0,0,0
10118,100,0,46,13,0,0
10118,100,1,36,12,0,0
10118,100,2,46,24,0,0
10118,100,3,40,13,0,0
10118,100,4,34,13,0,0
10118,100,5,3,0,0,0
10118,200,0,44,13,0,0
10118,200,1,36,12,0,0
10118,200,2,46,24,0,0
10118,200,3,39,14,0,0
10118,200,4,35,17,0,0
