link,win,rows,stopped,veh_h,stop_veh_h,mean_spd
1,1,8,0,0.011111111111111112,0.0,71.00250244140625
1,2,15,0,0.020833333333333332,0.0,83.05066731770833
1,3,18,0,0.025,0.0,61.67277696397569
1,4,13,0,0.018055555555555554,0.0,68.42692213792067
1,5,22,0,0.030555555555555555,0.0,51.09363902698863
1,6,24,0,0.03333333333333333,0.0,56.8374989827474
1,7,45,0,0.0625,0.0,51.31910807291667
1,8,28,0,0.03888888888888889,0.0,54.98714338030134
1,9,29,0,0.04027777777777778,0.0,67.1424139614763
1,10,23,0,0.03194444444444444,0.0,57.64260996942935
1,11,34,0,0.04722222222222222,0.0,51.32029454848345
1,12,42,0,0.058333333333333334,0.0,53.917381649925595
1,13,30,0,0.041666666666666664,0.0,63.565999348958336
1,14,37,0,0.05138888888888889,0.0,54.898648648648646
1,15,28,0,0.03888888888888889,0.0,55.364998953683035
1,16,34,0,0.04722222222222222,0.0,60.34499942555147
1,17,36,0,0.05,0.0,60.334445529513886
1,18,30,0,0.041666666666666664,0.0,57.50199788411458
1,19,33,0,0.04583333333333333,0.0,78.1881806344697
1,20,33,0,0.04583333333333333,0.0,60.518484404592805
1,21,20,0,0.027777777777777776,0.0,69.64349975585938
1,22,33,0,0.04583333333333333,0.0,56.72757605350379
1,23,23,0,0.03194444444444444,0.0,57.28478473165761
1,24,31,0,0.043055555555555555,0.0,59.998385521673384
1,25,18,0,0.025,0.0,56.12055460611979
1,26,29,0,0.04027777777777778,0.0,56.79517443426724
1,27,28,0,0.03888888888888889,0.0,61.68285696847098
1,28,20,0,0.027777777777777776,0.0,63.12850341796875
1,29,28,0,0.03888888888888889,0.0,58.40214320591518
1,30,28,0,0.03888888888888889,0.0,56.322501046316965
1,31,19,0,0.02638888888888889,0.0,48.224211040296055
1,32,18,0,0.025,0.0,56.11555650499132
1,33,26,0,0.03611111111111111,0.0,78.45230806790866
1,34,40,0,0.05555555555555555,0.0,63.58074951171875
1,35,33,0,0.04583333333333333,0.0,57.30514988754735
2,0,405,0,0.5625,0.0,119.96975308641976
2,1,4045,4,5.618055555555555,0.005555555555555556,109.2007957354759
2,2,5712,32,7.933333333333334,0.044444444444444446,101.37911414565826
2,3,5779,107,8.026388888888889,0.1486111111111111,101.49649593355252
2,4,5257,60,7.301388888888889,0.08333333333333333,106.80225175955869
2,5,6057,58,8.4125,0.08055555555555556,100.7603908700677
2,6,6711,158,9.320833333333333,0.21944444444444444,90.90842460140068
2,7,8164,302,11.338888888888889,0.41944444444444445,88.73351757716806
2,8,10220,668,14.194444444444445,0.9277777777777778,71.4540362035225
2,9,10859,1769,15.081944444444444,2.4569444444444444,56.36641265309881
2,10,12995,2158,18.04861111111111,2.9972222222222222,43.65057714505579
2,11,14937,3162,20.745833333333334,4.391666666666667,36.146594865100084
2,12,16471,4044,22.87638888888889,5.616666666666666,32.82208882277943
2,13,16977,5125,23.579166666666666,7.118055555555555,28.465184514342933
2,14,17820,5935,24.75,8.243055555555555,26.629952300785636
2,15,17656,5588,24.522222222222222,7.761111111111111,26.520062230969643
2,16,18034,6608,25.04722222222222,9.177777777777777,24.669156177220806
2,17,18423,7374,25.5875,10.241666666666667,22.651899120664385
2,18,18744,7297,26.033333333333335,10.134722222222223,23.727957946542894
2,19,18144,6909,25.2,9.595833333333333,23.040908840388006
2,20,17708,6636,24.594444444444445,9.216666666666667,23.8653733482042
2,21,17323,6338,24.059722222222224,8.802777777777777,24.00443413381054
2,22,17152,5502,23.822222222222223,7.641666666666667,25.02242632054571
2,23,17157,5654,23.829166666666666,7.852777777777778,27.46346061374366
2,24,16491,4815,22.904166666666665,6.6875,29.542655842580803
2,25,15663,4119,21.754166666666666,5.720833333333333,31.887547484517654
2,26,15133,3898,21.018055555555556,5.413888888888889,30.485511795413995
2,27,15594,4195,21.658333333333335,5.826388888888889,30.020713094780042
2,28,15439,3821,21.443055555555556,5.3069444444444445,33.667206425286615
2,29,15491,4266,21.51527777777778,5.925,29.5664095281131
2,30,16605,4687,23.0625,6.509722222222222,28.928144760614273
2,31,16171,4860,22.459722222222222,6.75,29.503812766681097
2,32,16386,4799,22.758333333333333,6.665277777777778,29.01592060295374
2,33,16030,4191,22.26388888888889,5.820833333333334,32.298302011852776
