pbin,L1share_ramp_nc_lcd200,L1share_signal_nc_lcd200,L1share_ramp_g1_lcd200,L1share_signal_g1_lcd200,L1share_ramp_h0,L1share_signal_h0,L1share_ramp_h11,L1share_signal_h11
-100,1.0,,1.0,,1.0,,1.0,
0,0.33,0.33,0.32,0.35,0.35,0.31,0.32,0.38
100,0.33,0.35,0.33,0.35,0.38,0.39,0.35,0.39
200,0.33,0.36,0.33,0.36,0.39,0.37,0.36,0.41
300,0.33,0.35,0.33,0.36,0.44,0.39,0.42,0.42
400,0.32,0.34,0.32,0.34,0.53,0.39,0.49,0.41
500,0.32,0.34,0.32,0.35,0.54,0.35,0.51,0.39
600,0.32,0.31,0.32,0.32,0.54,0.34,0.47,0.4
700,0.31,0.33,0.31,0.33,0.55,0.34,0.46,0.39
800,0.35,0.39,0.36,0.44,0.55,0.32,0.44,0.41
900,0.38,0.38,0.39,0.47,0.54,0.32,0.43,0.37
1000,0.37,0.39,0.39,0.38,0.72,0.26,0.49,0.34
1100,0.51,0.41,0.49,0.4,1.0,0.28,0.99,0.18
1200,0.99,0.53,0.97,0.73,1.0,0.49,1.0,0.69
1300,0.98,0.32,0.98,0.48,0.99,0.31,1.0,0.5
1400,,0.34,,0.39,,0.32,,0.4
1500,,0.34,,0.35,,0.33,,0.34
1600,,0.33,,0.33,,0.32,,0.33
1700,,0.32,,0.33,,0.32,,0.32
1800,,0.32,,0.31,,0.32,,0.32
1900,,0.32,,0.31,,0.31,,0.3
