pbin,L1share_ramp_h0_all,L1share_signal_h0_all,stopshare_ramp_h0,stopshare_signal_h0,L1share_ramp_h11_all,L1share_signal_h11_all,stopshare_ramp_h11,stopshare_signal_h11,L1share_ramp_b0_all,L1share_signal_b0_all,stopshare_ramp_b0,stopshare_signal_b0
-100,1.0,,0.0,,1.0,,0.0,,1.0,,0.0,
0,0.35,0.31,0.0,0.0,0.32,0.38,0.0,0.85,0.35,0.31,0.0,0.0
100,0.38,0.39,0.0,0.0,0.35,0.39,0.0,0.87,0.38,0.39,0.0,0.0
200,0.39,0.37,0.0,0.0,0.36,0.41,0.0,0.88,0.39,0.37,0.0,0.0
300,0.44,0.39,0.0,0.0,0.42,0.42,0.04,0.89,0.44,0.39,0.0,0.0
400,0.53,0.39,0.0,0.0,0.49,0.41,0.32,0.9,0.53,0.39,0.0,0.0
500,0.54,0.35,0.0,0.0,0.51,0.39,0.53,0.91,0.54,0.35,0.0,0.0
600,0.54,0.34,0.0,0.0,0.47,0.4,0.62,0.91,0.55,0.34,0.04,0.01
700,0.55,0.34,0.0,0.0,0.46,0.39,0.66,0.93,0.52,0.38,0.22,0.06
800,0.55,0.32,0.0,0.0,0.44,0.41,0.8,0.91,0.5,0.35,0.31,0.04
900,0.54,0.32,0.0,0.0,0.43,0.37,0.81,0.92,0.49,0.35,0.35,0.05
1000,0.72,0.26,0.0,0.0,0.49,0.34,0.76,0.88,0.58,0.36,0.26,0.15
1100,1.0,0.28,0.0,0.0,0.99,0.18,0.0,0.0,1.0,0.24,0.0,0.0
1200,1.0,0.49,0.52,0.44,1.0,0.69,0.03,0.01,1.0,0.5,0.48,0.4
1300,0.99,0.31,0.69,0.8,1.0,0.5,0.0,0.0,0.99,0.33,0.68,0.79
1400,,0.32,,0.82,,0.4,,0.35,,0.34,,0.81
1500,,0.33,,0.81,,0.34,,0.64,,0.34,,0.8
1600,,0.32,,0.8,,0.33,,0.68,,0.34,,0.79
1700,,0.32,,0.8,,0.32,,0.69,,0.34,,0.78
1800,,0.32,,0.8,,0.32,,0.74,,0.34,,0.79
1900,,0.31,,0.85,,0.3,,0.81,,0.33,,0.85
