link,win,lg,n_mean,nstop_mean,nstop_max,qmin_pos_min,qmin_pos_med,spd_mean
31,0,L1,3.3,0.0,0.0,,,93.11393
31,0,L2p,2.0,0.0,0.0,,,42.36333
31,1,L1,8.0,0.0,0.0,,,103.73499
31,1,L2p,6.0,0.0,0.0,,,84.30425
31,2,L1,9.8,0.0,0.0,,,91.30395
31,2,L2p,13.633333333333333,0.0,0.0,,,76.12507
31,3,L1,14.1,0.0,0.0,,,86.577995
31,3,L2p,21.9,0.0,0.0,,,71.48077
31,4,L1,15.233333333333333,0.0,0.0,,,77.928955
31,4,L2p,23.4,0.0,0.0,,,72.615456
31,5,L1,15.466666666666667,0.0,0.0,,,77.3487
31,5,L2p,25.933333333333334,0.0,0.0,,,67.28173
31,6,L1,18.133333333333333,0.13333333333333333,2.0,596.56,605.63,78.37188
31,6,L2p,27.3,0.0,0.0,,,60.881546
31,7,L1,21.1,0.03333333333333333,1.0,623.99,623.99,65.88396
31,7,L2p,27.9,0.0,0.0,,,67.33051
31,8,L1,16.833333333333332,0.03333333333333333,1.0,616.74,616.74,70.540405
31,8,L2p,29.2,0.0,0.0,,,57.231373
31,9,L1,16.433333333333334,0.0,0.0,,,73.83413
31,9,L2p,28.733333333333334,0.0,0.0,,,57.200764
31,10,L1,22.3,0.0,0.0,,,58.55965
31,10,L2p,37.733333333333334,0.0,0.0,,,50.823914
31,11,L1,22.366666666666667,0.0,0.0,,,67.94988
31,11,L2p,33.36666666666667,0.0,0.0,,,58.492107
31,12,L1,18.4,0.03333333333333333,1.0,627.5,627.5,83.956314
31,12,L2p,24.9,0.0,0.0,,,68.66657
31,13,L1,12.566666666666666,0.0,0.0,,,91.31437
31,13,L2p,20.766666666666666,0.0,0.0,,,59.60419
31,14,L1,14.033333333333333,0.0,0.0,,,82.332726
31,14,L2p,26.366666666666667,0.0,0.0,,,53.409927
31,15,L1,11.0,0.0,0.0,,,78.45618
31,15,L2p,23.5,0.0,0.0,,,57.23715
31,16,L1,10.233333333333333,0.0,0.0,,,74.58245
31,16,L2p,17.533333333333335,0.0,0.0,,,68.1306
31,17,L1,9.433333333333334,0.0,0.0,,,85.91231
31,17,L2p,17.566666666666666,0.0,0.0,,,58.316017
31,18,L1,12.533333333333333,0.0,0.0,,,82.833885
31,18,L2p,19.9,0.13333333333333333,1.0,729.93,729.93,69.60537
31,19,L1,13.9,0.0,0.0,,,77.25898
31,19,L2p,20.6,0.03333333333333333,1.0,407.09,407.09,66.19101
31,20,L1,16.966666666666665,0.06666666666666667,1.0,620.03,623.29004,72.57653
31,20,L2p,26.4,0.0,0.0,,,59.58785
31,21,L1,17.7,0.03333333333333333,1.0,364.4,364.4,77.67958
31,21,L2p,28.666666666666668,0.0,0.0,,,61.967262
31,22,L1,18.0,0.0,0.0,,,69.967
31,22,L2p,27.4,0.06666666666666667,1.0,729.93,729.93,55.560177
31,23,L1,18.666666666666668,0.1,1.0,327.66,350.27,81.250755
31,23,L2p,31.9,0.8666666666666667,9.0,382.21,387.51,55.516197
