run,grp,n_veh,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s_mean,L2pstop_s_mean,n_L1stop_lt1000,n_L1stop_lt1500,n_L1_lt1000
h0,exit/end,31,81.0,130.0,0.0,0.0,0.7,0.0,0.0,0,0,16
h0,ramp,1173,164.6,185.0,0.0,0.0,53.6,0.0,0.0,1,2,1076
h0,signal/other,420,161.0,185.0,0.0,0.0,18.8,0.0,0.0,0,0,162
h11,exit/end,302,884.4,1664.0,715.7,60.0,74.2,588.9,126.9,83,152,152
h11,ramp,948,207.6,200.0,38.5,10.2,54.7,37.0,1.6,1,22,845
h11,signal/other,374,204.7,255.0,33.9,3.5,21.3,20.7,13.1,4,10,138
b0,exit/end,296,852.9,1635.0,686.7,56.5,70.1,539.7,147.0,95,140,156
b0,ramp,945,224.9,210.0,55.8,14.7,59.0,54.3,1.6,1,40,846
b0,signal/other,383,236.0,329.0,63.0,6.7,25.1,42.7,20.3,2,13,142
