run,grp,n_veh,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s_mean,L2pstop_s_mean,n_L1stop_lt1000,n_L1stop_lt1500,n_L1_lt1000
h0,exit/end,7,16.4,20.0,0.0,0.0,0.0,0.0,0.0,0,0,5
h0,ramp,292,16.9,20.0,0.1,0.0,1.4,0.1,0.0,3,3,292
h0,signal/other,1379,22.7,30.0,0.8,0.3,8.7,0.0,0.8,4,4,919
h11,exit/end,49,656.6,1326.0,627.9,8.5,8.9,578.9,49.0,26,26,26
h11,ramp,189,182.1,1202.0,161.1,8.5,9.6,157.8,3.4,38,38,188
h11,signal/other,1187,47.7,90.0,17.2,5.7,15.7,6.4,10.9,42,42,689
b0,exit/end,55,142.2,262.0,111.1,1.7,2.2,73.3,37.8,25,25,27
b0,ramp,200,204.9,1015.0,184.3,10.2,11.4,182.6,1.7,32,32,198
b0,signal/other,1224,59.9,123.5,30.2,10.3,20.4,16.7,13.5,44,44,737
