run,next_link,n,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s,L2pstop_s,n_L1stop_lt1000
h0,71,296,19.6,30.0,0.1,0.0,1.6,0.0,0.1,1
h0,10639,292,16.9,20.0,0.1,0.0,1.4,0.1,0.0,3
h0,10641,1073,23.6,30.0,1.1,0.3,7.0,0.0,1.0,3
h11,-1,49,656.6,1326.0,627.9,8.5,8.9,578.9,49.0,26
h11,71,362,49.9,95.0,19.8,2.0,5.0,6.4,13.4,13
h11,10639,189,182.1,1202.0,161.1,8.5,9.6,157.8,3.4,38
h11,10641,814,46.6,83.5,16.0,3.6,10.5,6.5,9.6,29
b0,-1,55,142.2,262.0,111.1,1.7,2.2,73.3,37.8,25
b0,71,356,56.8,100.0,27.1,2.7,5.6,12.4,14.7,10
b0,10639,200,204.9,1015.0,184.3,10.2,11.4,182.6,1.7,32
b0,10641,859,61.5,135.0,31.8,7.6,14.7,18.7,13.1,34
