win,nstop_mean_L1_nc_lcd200,nstop_mean_L2p_nc_lcd200,qmin_pos_min_L1_nc_lcd200,nstop_mean_L1_g1_lcd200,nstop_mean_L2p_g1_lcd200,qmin_pos_min_L1_g1_lcd200
0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0
1050,0.0,0.0,0.0,0.0,0.0,0.0
1200,0.0,0.0,0.0,0.0,0.0,0.0
1350,0.0,0.0,1729.0,0.0,0.0,1729.0
1500,0.0,0.0,0.0,0.0,0.0,0.0
1650,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,1739.0,0.0,0.0,1739.0
1950,0.0,0.0,0.0,0.0,0.0,0.0
2100,0.0,0.0,1718.0,0.0,0.0,1718.0
2250,0.0,0.0,0.0,0.0,0.0,0.0
2400,0.0,0.0,1702.0,0.0,0.0,1702.0
2550,0.0,0.0,1692.0,0.0,0.0,1692.0
2700,0.0,0.0,0.0,0.0,0.0,0.0
2850,0.0,0.0,1704.0,0.0,0.0,1704.0
3000,0.0,0.0,0.0,0.0,0.0,0.0
3150,0.0,0.0,1730.0,0.0,0.0,1730.0
3300,0.0,0.0,0.0,0.0,0.0,0.0
3450,0.0,0.0,0.0,0.0,0.0,0.0
3600,0.0,0.0,1729.0,0.0,0.0,1729.0
3750,0.0,0.0,0.0,0.0,0.0,0.0
3900,0.0,0.0,0.0,0.0,0.0,0.0
4050,0.0,0.0,0.0,0.0,0.0,0.0
4200,0.0,0.0,0.0,0.0,0.0,0.0
4350,0.0,0.0,0.0,0.0,0.0,0.0
4500,0.0,0.0,0.0,0.0,0.0,0.0
4650,0.0,0.0,0.0,0.0,0.0,0.0
4800,0.0,0.0,0.0,0.0,0.0,0.0
4950,0.0,0.0,0.0,0.0,0.0,0.0
5100,0.0,0.0,0.0,0.0,0.0,0.0
5250,0.0,0.0,0.0,0.0,0.0,0.0
