next_link,pbin,win900,rows,L1rows,stop,L1stop
-1,0,3,1,1,0,0
-1,0,5,40,13,0,0
-1,100,3,2,2,0,0
-1,100,5,36,14,0,0
-1,200,3,2,2,0,0
-1,200,5,33,12,0,0
-1,300,3,2,2,0,0
-1,300,5,34,13,0,0
-1,400,3,2,2,0,0
-1,400,5,29,9,0,0
-1,500,3,1,1,0,0
-1,500,5,28,10,0,0
-1,600,3,2,2,0,0
-1,600,5,30,12,0,0
-1,700,3,2,2,0,0
-1,700,5,28,11,0,0
-1,800,3,2,2,0,0
-1,800,5,26,7,0,0
-1,900,3,2,2,0,0
-1,900,5,21,8,0,0
-1,1000,3,1,1,0,0
-1,1000,5,25,9,0,0
-1,1100,3,2,2,0,0
-1,1100,5,20,5,0,0
-1,1200,0,1,1,0,0
-1,1200,1,9,6,0,0
-1,1200,2,12,9,2,2
-1,1200,3,5,4,0,0
-1,1200,4,1,0,0,0
-1,1200,5,362,219,169,92
-1,1300,0,3,1,0,0
-1,1300,1,13,0,0,0
-1,1300,2,188,39,141,30
-1,1300,3,90,1,76,1
-1,1300,4,38,0,34,0
-1,1300,5,4145,1722,3383,1482
-1,1400,0,2,0,0,0
-1,1400,1,51,3,23,1
-1,1400,2,251,50,208,44
-1,1400,3,136,17,116,14
-1,1400,4,35,0,29,0
-1,1400,5,3648,1569,3013,1370
-1,1500,0,2,0,0,0
-1,1500,1,184,45,138,38
-1,1500,2,136,25,97,21
-1,1500,3,222,48,181,43
-1,1500,4,46,0,38,0
-1,1500,5,2747,1117,2239,967
-1,1600,0,1,0,0,0
-1,1600,1,91,4,61,1
-1,1600,2,164,7,134,6
-1,1600,3,160,22,124,19
-1,1600,4,61,0,49,0
-1,1600,5,2131,775,1786,681
-1,1700,0,2,0,0,0
-1,1700,1,110,25,78,20
-1,1700,2,98,0,79,0
-1,1700,3,173,26,129,23
-1,1700,4,50,0,36,0
-1,1700,5,1401,522,1149,444
-1,1800,0,2,0,0,0
-1,1800,1,139,24,112,21
-1,1800,2,24,0,9,0
-1,1800,3,238,28,188,23
-1,1800,4,73,0,55,0
-1,1800,5,552,178,416,136
-1,1900,0,21,0,19,0
-1,1900,1,44,10,32,9
-1,1900,2,104,18,90,16
-1,1900,3,182,55,159,49
-1,1900,4,94,0,84,0
-1,1900,5,204,69,177,63
38,1200,0,3,3,0,0
38,1200,1,8,7,1,1
38,1200,2,5,4,1,1
38,1200,3,14,2,9,0
38,1200,4,23,6,13,2
38,1200,5,13,4,5,0
38,1300,0,9,2,0,0
38,1300,1,24,16,0,0
38,1300,2,73,0,56,0
38,1300,3,85,1,62,0
38,1300,4,206,8,169,5
38,1300,5,130,2,109,2
38,1400,0,7,1,0,0
38,1400,1,133,14,74,1
38,1400,2,89,0,67,0
38,1400,3,84,0,65,0
38,1400,4,233,0,198,0
38,1400,5,174,0,142,0
38,1500,0,11,1,4,0
38,1500,1,271,7,184,6
38,1500,2,180,1,145,1
38,1500,3,143,6,114,3
38,1500,4,144,0,116,0
38,1500,5,208,0,164,0
38,1600,0,48,1,41,0
38,1600,1,344,0,250,0
38,1600,2,155,3,118,2
38,1600,3,154,37,119,33
38,1600,4,114,0,91,0
38,1600,5,197,0,151,0
38,1700,0,7,0,1,0
38,1700,1,285,0,184,0
38,1700,2,181,0,138,0
38,1700,3,117,8,87,4
38,1700,4,164,0,133,0
38,1700,5,139,0,89,0
38,1800,0,93,0,84,0
38,1800,1,273,0,191,0
38,1800,2,234,0,184,0
38,1800,3,140,0,111,0
38,1800,4,122,0,84,0
38,1800,5,223,0,174,0
38,1900,0,30,0,24,0
38,1900,1,85,0,46,0
38,1900,2,58,0,37,0
38,1900,3,46,0,29,0
38,1900,4,43,0,29,0
38,1900,5,48,0,26,0
10118,0,0,39,10,0,0
10118,0,1,18,8,0,0
10118,0,2,38,18,0,0
10118,0,3,23,8,0,0
10118,0,4,17,3,0,0
10118,0,5,2,0,0,0
10118,100,0,42,18,0,0
10118,100,1,19,9,0,0
10118,100,2,39,19,0,0
10118,100,3,20,8,0,0
10118,100,4,17,6,0,0
10118,100,5,4,0,0,0
10118,200,0,43,18,0,0
10118,200,1,18,7,0,0
10118,200,2,38,19,0,0
10118,200,3,19,9,0,0
10118,200,4,19,5,0,0
10118,200,5,4,0,0,0
10118,300,0,44,18,0,0
10118,300,1,17,7,0,0
10118,300,2,43,26,0,0
10118,300,3,22,9,0,0
10118,300,4,17,5,0,0
10118,300,5,2,0,0,0
10118,400,0,41,15,0,0
