link,win,lg,n_mean,nstop_mean,nstop_max,qmin_pos_min,qmin_pos_med,spd_mean
31,0,L1,3.3,0.0,0.0,,,93.11393
31,0,L2p,2.0,0.0,0.0,,,42.36333
31,1,L1,8.2,0.0,0.0,,,103.47042
31,1,L2p,5.833333333333333,0.0,0.0,,,84.18381
31,2,L1,10.2,0.0,0.0,,,88.70326
31,2,L2p,13.6,0.0,0.0,,,75.816536
31,3,L1,14.1,0.0,0.0,,,86.62257
31,3,L2p,20.033333333333335,0.0,0.0,,,75.242905
31,4,L1,16.733333333333334,0.0,0.0,,,82.9969
31,4,L2p,19.6,0.0,0.0,,,77.24627
31,5,L1,16.6,0.0,0.0,,,84.17014
31,5,L2p,23.133333333333333,0.0,0.0,,,64.99279
31,6,L1,17.5,0.0,0.0,,,75.79391
31,6,L2p,31.866666666666667,0.0,0.0,,,57.90528
31,7,L1,22.133333333333333,0.23333333333333334,3.0,309.25,330.73,71.30236
31,7,L2p,24.433333333333334,0.0,0.0,,,66.72626
31,8,L1,20.933333333333334,0.0,0.0,,,72.10619
31,8,L2p,27.9,0.0,0.0,,,62.188774
31,9,L1,19.733333333333334,0.0,0.0,,,78.00991
31,9,L2p,24.6,0.0,0.0,,,61.76947
31,10,L1,18.4,0.03333333333333333,1.0,359.8,359.8,82.50412
31,10,L2p,22.3,0.0,0.0,,,63.588768
31,11,L1,20.533333333333335,0.0,0.0,,,74.09411
31,11,L2p,24.9,0.03333333333333333,1.0,407.06,407.06,58.253872
31,12,L1,22.8,0.0,0.0,,,68.625786
31,12,L2p,27.1,0.0,0.0,,,64.7926
31,13,L1,19.3,0.0,0.0,,,67.097664
31,13,L2p,28.0,0.0,0.0,,,59.23292
31,14,L1,21.733333333333334,0.43333333333333335,4.0,715.05,720.845,70.41493
31,14,L2p,27.333333333333332,0.0,0.0,,,51.556644
31,15,L1,20.7,1.1666666666666667,4.0,715.1,715.1,65.20408
31,15,L2p,20.033333333333335,0.0,0.0,,,54.97053
31,16,L1,20.5,0.36666666666666664,3.0,349.57,719.41504,66.73038
31,16,L2p,17.6,0.0,0.0,,,59.881123
31,17,L1,14.8,0.0,0.0,,,72.187164
31,17,L2p,19.1,0.0,0.0,,,51.11887
31,18,L1,17.6,0.0,0.0,,,64.99937
31,18,L2p,15.066666666666666,0.0,0.0,,,56.807705
31,19,L1,18.1,0.0,0.0,,,73.15946
31,19,L2p,20.133333333333333,0.0,0.0,,,55.981216
31,20,L1,23.7,0.03333333333333333,1.0,411.4,411.4,66.61933
31,20,L2p,27.3,0.16666666666666666,3.0,393.95,407.08,51.56655
31,21,L1,20.9,0.0,0.0,,,70.140656
31,21,L2p,20.766666666666666,0.0,0.0,,,55.81707
31,22,L1,21.9,0.06666666666666667,2.0,618.83,618.83,66.94305
31,22,L2p,24.966666666666665,0.0,0.0,,,67.3433
31,23,L1,20.4,0.0,0.0,,,56.540752
31,23,L2p,26.333333333333332,0.0,0.0,,,55.62222
31,24,L1,17.866666666666667,0.0,0.0,,,62.643074
