next_link,pbin,win900,rows,L1rows,stop,L1stop
-1,0,4,112,0,58,0
-1,0,5,863,724,704,651
-1,100,4,146,0,110,0
-1,100,5,441,180,350,155
-1,200,5,2,2,0,0
71,0,0,14,5,0,0
71,0,1,59,25,0,0
71,0,2,59,22,0,0
71,0,3,192,23,6,3
71,0,4,479,97,337,97
71,0,5,385,48,283,44
71,100,0,35,11,0,0
71,100,1,85,27,0,0
71,100,2,87,32,0,0
71,100,3,653,401,396,391
71,100,4,717,315,520,305
71,100,5,514,46,372,42
71,200,0,29,15,0,0
71,200,1,90,33,0,0
71,200,2,96,40,3,0
71,200,3,121,53,0,0
71,200,4,79,35,0,0
71,200,5,54,25,0,0
71,300,0,24,12,0,0
71,300,1,59,25,1,0
71,300,2,69,31,10,0
71,300,3,74,39,0,0
71,300,4,41,20,0,0
71,300,5,28,15,0,0
10634,300,0,1,0,0,0
10634,300,2,1,0,0,0
10639,0,0,45,45,0,0
10639,0,1,99,99,0,0
10639,0,2,166,166,1,1
10639,0,3,1143,1143,1094,1094
10639,0,4,1915,1909,1861,1861
10639,0,5,1037,965,994,936
10639,100,0,40,40,0,0
10639,100,1,70,70,0,0
10639,100,2,112,112,0,0
10639,100,3,1131,1131,1100,1100
10639,100,4,1366,1361,1328,1327
10639,100,5,1071,1053,995,985
10641,0,0,63,37,0,0
10641,0,1,185,101,0,0
10641,0,2,227,114,1,1
10641,0,3,762,454,417,414
10641,0,4,1174,473,860,457
10641,0,5,1468,651,1229,613
10641,100,0,103,43,0,0
10641,100,1,315,140,0,0
10641,100,2,370,149,0,0
10641,100,3,919,444,406,401
10641,100,4,1595,644,1174,621
10641,100,5,1604,746,1267,698
10641,200,0,109,45,0,0
10641,200,1,308,131,4,0
10641,200,2,375,153,11,0
10641,200,3,240,86,0,0
10641,200,4,163,60,0,0
10641,200,5,151,63,0,0
10641,300,0,30,10,1,0
10641,300,1,161,35,54,0
10641,300,2,125,39,25,0
10641,300,3,46,15,0,0
10641,300,4,41,12,8,0
10641,300,5,35,9,3,0
10642,0,1,1,0,0,0
10642,0,4,12,0,10,0
10642,0,5,2,0,0,0
10642,100,1,6,1,0,0
10642,100,3,2,0,0,0
10642,100,4,2,0,0,0
10642,100,5,5,0,2,0
10642,200,1,3,3,0,0
10642,200,3,1,0,0,0
10642,200,4,1,0,0,0
10642,200,5,1,1,0,0
10642,300,1,4,4,0,0
10642,300,3,1,1,0,0
10642,300,4,1,1,0,0
10642,300,5,1,1,0,0
