link,win,lg,n_mean,nstop_mean,nstop_max,qmin_pos_min,qmin_pos_med,spd_mean
31,0,L1,3.3,0.0,0.0,,,93.11393
31,0,L2p,2.0,0.0,0.0,,,42.36333
31,1,L1,8.0,0.0,0.0,,,103.73499
31,1,L2p,6.0,0.0,0.0,,,84.30425
31,2,L1,9.8,0.0,0.0,,,91.30395
31,2,L2p,13.633333333333333,0.0,0.0,,,76.12507
31,3,L1,14.1,0.0,0.0,,,86.577995
31,3,L2p,21.9,0.0,0.0,,,71.48077
31,4,L1,15.233333333333333,0.0,0.0,,,77.928955
31,4,L2p,23.4,0.0,0.0,,,72.615456
31,5,L1,15.466666666666667,0.0,0.0,,,77.3487
31,5,L2p,25.933333333333334,0.0,0.0,,,67.28173
31,6,L1,18.7,0.0,0.0,,,82.404144
31,6,L2p,26.266666666666666,0.0,0.0,,,60.30283
31,7,L1,17.633333333333333,0.0,0.0,,,67.87473
31,7,L2p,27.533333333333335,0.0,0.0,,,71.24902
31,8,L1,15.2,0.0,0.0,,,75.21776
31,8,L2p,24.9,0.0,0.0,,,67.74435
31,9,L1,19.366666666666667,0.0,0.0,,,70.24125
31,9,L2p,32.333333333333336,0.03333333333333333,1.0,729.79,729.79,62.954792
31,10,L1,15.9,0.06666666666666667,2.0,352.74,352.74,69.97337
31,10,L2p,28.566666666666666,0.1,1.0,407.65,729.93,63.838966
31,11,L1,18.166666666666668,0.0,0.0,,,73.651024
31,11,L2p,24.433333333333334,0.03333333333333333,1.0,728.95,728.95,68.54316
31,12,L1,19.033333333333335,0.03333333333333333,1.0,612.71,612.71,79.31177
31,12,L2p,29.933333333333334,0.1,2.0,386.75,558.565,65.98673
31,13,L1,12.733333333333333,0.0,0.0,,,90.357376
31,13,L2p,24.733333333333334,0.0,0.0,,,59.06464
31,14,L1,18.533333333333335,0.06666666666666667,2.0,614.97,614.97,76.658005
31,14,L2p,32.666666666666664,0.0,0.0,,,52.049316
31,15,L1,20.1,0.03333333333333333,1.0,349.1,349.1,71.78786
31,15,L2p,27.766666666666666,0.0,0.0,,,58.25038
31,16,L1,18.233333333333334,0.03333333333333333,1.0,354.58,354.58,72.71577
31,16,L2p,21.833333333333332,0.0,0.0,,,69.384445
31,17,L1,18.666666666666668,0.06666666666666667,2.0,348.69,348.69,72.20763
31,17,L2p,28.766666666666666,0.0,0.0,,,60.272808
31,18,L1,18.933333333333334,0.03333333333333333,1.0,625.4,625.4,73.56875
31,18,L2p,26.1,0.0,0.0,,,58.23335
31,19,L1,17.633333333333333,0.0,0.0,,,75.67282
31,19,L2p,24.866666666666667,0.0,0.0,,,59.634865
31,20,L1,18.9,0.0,0.0,,,67.94909
31,20,L2p,24.0,0.0,0.0,,,60.0907
31,21,L1,19.3,0.03333333333333333,1.0,355.24,355.24,65.1281
31,21,L2p,21.566666666666666,0.0,0.0,,,59.46077
31,22,L1,23.066666666666666,0.0,0.0,,,62.556313
31,22,L2p,28.633333333333333,0.0,0.0,,,63.90314
