run,next_link,n,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s,L2pstop_s,n_L1stop_lt1000
h0,-1,3232,64.8,95.0,0.2,0.2,58.1,0.2,0.0,113
h0,10646,1111,55.2,85.0,7.0,2.2,17.0,7.0,0.0,676
h0,10681,363,9.7,15.0,0.1,0.0,1.0,0.0,0.0,2
h11,-1,3125,65.4,90.0,0.2,0.1,56.8,0.2,0.0,98
h11,10646,1096,58.5,90.0,10.6,3.2,17.8,10.6,0.1,716
h11,10681,369,8.7,10.0,0.0,0.0,0.9,0.0,0.0,2
b0,-1,3228,68.3,86.5,0.1,0.1,61.3,0.1,0.0,92
b0,10646,1095,50.6,85.0,7.1,2.2,15.4,7.1,0.0,553
b0,10681,337,9.1,10.0,0.0,0.0,0.8,0.0,0.0,2
