win,nstop_mean_L1_nc_lcd200,nstop_mean_L2p_nc_lcd200,qmin_pos_min_L1_nc_lcd200,nstop_mean_L1_g1_lcd200,nstop_mean_L2p_g1_lcd200,qmin_pos_min_L1_g1_lcd200
0,0.0,0.0,1948.0,0.0,0.0,1948.0
150,2.0,5.0,1895.0,2.0,5.0,1895.0
300,7.0,18.0,1276.0,7.0,18.0,1276.0
450,12.0,32.0,1726.0,12.0,32.0,1726.0
600,27.0,52.0,1602.0,27.0,52.0,1602.0
750,35.0,64.0,1546.0,35.0,64.0,1546.0
900,43.0,81.0,1498.0,34.0,69.0,1498.0
1050,46.0,91.0,1449.0,31.0,64.0,1268.0
1200,45.0,97.0,1274.0,31.0,62.0,1475.0
1350,47.0,106.0,1275.0,33.0,66.0,1483.0
1500,54.0,115.0,1272.0,36.0,67.0,1272.0
1650,60.0,120.0,1274.0,33.0,67.0,1475.0
1800,64.0,127.0,1253.0,30.0,61.0,1273.0
1950,64.0,128.0,1250.0,30.0,61.0,1505.0
2100,67.0,130.0,1256.0,32.0,64.0,1485.0
2250,70.0,127.0,1211.0,30.0,62.0,1271.0
2400,67.0,126.0,1251.0,28.0,69.0,1482.0
2550,68.0,125.0,1255.0,33.0,70.0,962.0
2700,68.0,125.0,1271.0,36.0,67.0,935.0
2850,72.0,123.0,1262.0,28.0,66.0,950.0
3000,69.0,124.0,1272.0,29.0,62.0,1517.0
3150,73.0,126.0,1254.0,26.0,64.0,1513.0
3300,69.0,127.0,1263.0,29.0,62.0,1514.0
3450,72.0,128.0,1256.0,45.0,85.0,1511.0
3600,72.0,134.0,1239.0,46.0,93.0,1271.0
3750,73.0,126.0,1266.0,38.0,75.0,1416.0
3900,66.0,132.0,1263.0,32.0,60.0,1446.0
4050,65.0,125.0,1266.0,29.0,61.0,1496.0
4200,60.0,124.0,1264.0,31.0,63.0,1517.0
4350,62.0,131.0,1270.0,46.0,85.0,1513.0
4500,63.0,132.0,1270.0,47.0,99.0,1025.0
4650,62.0,134.0,1270.0,46.0,82.0,949.0
4800,67.0,135.0,1264.0,66.0,113.0,890.0
4950,67.0,133.0,1264.0,58.0,107.0,883.0
5100,72.0,129.0,1255.0,60.0,94.0,847.0
5250,68.0,127.0,1262.0,56.0,104.0,828.0
