t,total,stopped,fw_spd,ramp_R_D_W,ramp_R_D_E,ramp_R_F_W,ramp_R_F_E,ramp_D,ramp_F,obs_n_32,obs_stop_32,full_n_32,full_stop_32,obs_n_69,obs_stop_69,full_n_69,full_stop_69,obs_n_70,obs_stop_70,full_n_70,full_stop_70,obs_n_420,obs_stop_420,full_n_420,full_stop_420,obs_n_31,obs_stop_31,full_n_31,full_stop_31,obs_n_30,obs_stop_30,full_n_30,full_stop_30,far_10482,far_10480,far_10639,far_10681,meter_R_D_W,meter_R_F_W,meter_R_D_E,meter_R_F_E,leader_ramp_queue_veh,leader_search_ramp_queue_stress,leader_ramp_queue_penalty
1,8,0,41.018533,0,0,0,0,0,0,0,0,,,,,,,,,,,0,0,,,,,,,0,0,,,0.0,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,,,
150,988,134,106.269971,5,6,0,0,11,0,42,2,42.0,2.0,,,41.0,0.0,,,,,0,0,,,,,9.0,0.0,0,0,,,125.003196,0.0,0.0,0.0,1800.0,1800.0,1800.0,1800.0,,,
300,1701,242,103.806548,4,3,15,0,7,15,56,4,56.0,4.0,,,34.0,0.0,,,1.0,0.0,8,0,8.0,0.0,,,15.0,0.0,18,3,18.0,3.0,749.99553,48.0,144.0,0.0,1800.0,1800.0,1800.0,1800.0,,,
450,2163,375,100.824403,9,5,19,1,14,20,68,19,68.0,19.0,,,41.0,0.0,,,5.0,0.0,27,0,27.0,0.0,,,38.0,0.0,16,2,16.0,2.0,705.841021,72.0,118.377022,264.0,1800.0,1800.0,1800.0,1800.0,,,
600,2416,496,99.956439,5,6,26,1,11,27,95,32,95.0,32.0,,,32.0,0.0,,,1.0,0.0,23,0,23.0,0.0,,,28.0,0.0,22,3,22.0,3.0,543.042659,120.0,114.813524,216.0,1800.0,1800.0,1800.0,1800.0,,,
750,2682,551,94.565689,6,7,17,0,13,17,141,71,141.0,71.0,,,39.0,0.0,,,2.0,0.0,21,0,21.0,0.0,,,50.0,0.0,32,6,32.0,6.0,748.639588,240.0,150.809454,168.0,1800.0,1800.0,1800.0,1800.0,,,
900,2796,648,95.64674,6,4,18,2,10,20,160,85,160.0,85.0,,,32.0,0.0,,,1.0,0.0,26,0,26.0,0.0,,,46.0,0.0,12,1,12.0,1.0,826.092495,244.732105,102.817286,216.0,1800.0,1800.0,1800.0,1800.0,0.0,0.04782710242017956,0.0
1050,3317,957,95.283732,9,10,19,0,19,19,172,69,172.0,69.0,,,60.0,0.0,,,13.0,0.0,22,0,22.0,0.0,,,38.0,0.0,43,10,43.0,10.0,665.875045,303.196021,113.182714,288.0,1695.6118222165787,1800.0,1800.0,1800.0,0.0,0.0643893288340891,0.0
1200,3762,1155,89.183438,13,15,28,3,28,31,170,66,170.0,66.0,,,61.0,0.0,,,1.0,0.0,53,16,53.0,16.0,,,38.0,0.0,33,2,33.0,2.0,907.80783,298.852153,242.012001,386.223858,1800.0,1800.0,1800.0,1800.0,0.0,0.09993454647995975,0.0
1350,4136,1285,77.85851,7,4,27,1,11,28,166,73,166.0,73.0,,,78.0,0.0,,,9.0,0.0,75,49,75.0,49.0,,,29.0,0.0,31,6,31.0,6.0,921.629145,244.292132,206.021299,285.776142,1800.0,1800.0,1800.0,1800.0,0.0,0.0607253348474366,0.0
1500,4415,1463,65.598029,7,8,36,0,15,36,174,70,174.0,70.0,,,55.0,0.0,,,11.0,0.0,84,60,84.0,60.0,,,41.0,0.0,33,1,33.0,1.0,696.07746,372.927589,295.9667,336.0,498.4054061416841,1800.0,1800.0,1031.5945938583159,0.0018815421612363714,0.08098451924418854,0.0
1650,4716,1649,59.56413,12,16,44,4,28,48,166,72,166.0,72.0,,,52.0,0.0,,,11.0,0.0,104,79,104.0,79.0,,,47.0,0.0,33,0,33.0,0.0,743.148344,236.46409,130.432278,244.279443,798.4054061416841,1800.0,1800.0,1331.5945938583159,0.0,0.1251011344027264,0.0
1800,4999,1724,51.790728,17,9,24,3,26,27,158,63,158.0,63.0,,,58.0,0.0,,,10.0,1.0,95,53,95.0,53.0,,,36.0,0.0,36,4,36.0,4.0,769.723612,376.967862,282.501191,312.008447,1098.4054061416841,1800.0,1800.0,1631.5945938583159,0.0,0.0872420939646814,0.0
1950,5316,1894,44.261123,15,6,29,4,21,33,157,69,157.0,69.0,,,70.0,0.0,,,13.0,1.0,103,52,103.0,52.0,,,40.0,0.0,32,7,32.0,7.0,915.093009,442.568048,370.988668,403.71211,1398.4054061416841,1800.0,1800.0,1800.0,0.0,0.0860247100252347,0.0
