run,grp,n_veh,dwell_mean,dwell_p90,stop_s_mean,stop_veh_h,veh_h,L1stop_s_mean,L2pstop_s_mean,n_L1stop_lt1000,n_L1stop_lt1500,n_L1_lt1000
h0,exit/end,2550,63.6,140.0,0.0,0.0,45.0,0.0,0.0,1,1,1675
h0,ramp,1128,27.9,65.0,0.1,0.0,8.7,0.0,0.1,9,9,1110
h11,exit/end,2695,82.7,140.0,17.4,13.0,61.9,17.3,0.1,117,117,1870
h11,ramp,978,53.4,75.0,25.0,6.8,14.5,25.0,0.0,111,111,971
b0,exit/end,2569,66.2,140.0,0.0,0.0,47.2,0.0,0.0,4,4,1834
b0,ramp,1090,29.5,65.0,0.9,0.3,8.9,0.9,0.0,29,29,1080
