win,nstop_mean_L1_h0,nstop_mean_L2p_h0,qmin_pos_min_L1_h0,nstop_mean_L1_h11,nstop_mean_L2p_h11,qmin_pos_min_L1_h11,nstop_mean_L1_b0,nstop_mean_L2p_b0,qmin_pos_min_L1_b0
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1050,0.0,0.0,378.0,0.0,0.0,335.0,0.0,0.0,309.0
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0
1500,0.0,0.0,352.0,0.0,0.0,354.0,0.0,0.0,360.0
1650,0.0,0.0,0.0,0.0,0.0,732.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,734.0,0.0,0.0,0.0
1950,0.0,0.0,329.0,0.0,0.0,731.0,0.0,0.0,0.0
2100,0.0,0.0,0.0,6.0,0.0,659.0,0.0,0.0,715.0
2250,0.0,0.0,0.0,11.0,0.0,637.0,1.0,0.0,715.0
2400,0.0,0.0,0.0,5.0,0.0,345.0,0.0,0.0,350.0
2550,0.0,0.0,347.0,2.0,0.0,696.0,0.0,0.0,0.0
2700,0.0,0.0,0.0,3.0,0.0,703.0,0.0,0.0,0.0
2850,0.0,0.0,0.0,1.0,0.0,713.0,0.0,0.0,0.0
3000,0.0,0.0,247.0,2.0,0.0,709.0,0.0,0.0,411.0
3150,0.0,0.0,0.0,1.0,0.0,338.0,0.0,0.0,0.0
3300,0.0,0.0,0.0,2.0,0.0,695.0,0.0,0.0,619.0
3450,0.0,0.0,0.0,8.0,0.0,333.0,0.0,0.0,0.0
3600,0.0,0.0,362.0,14.0,0.0,622.0,0.0,0.0,0.0
3750,0.0,0.0,0.0,22.0,0.0,557.0,0.0,0.0,617.0
3900,0.0,0.0,324.0,28.0,0.0,354.0,0.0,0.0,0.0
4050,0.0,0.0,0.0,32.0,0.0,350.0,0.0,0.0,0.0
4200,0.0,0.0,0.0,27.0,0.0,497.0,0.0,0.0,0.0
4350,0.0,0.0,0.0,20.0,0.0,534.0,0.0,0.0,724.0
4500,0.0,0.0,0.0,22.0,0.0,553.0,0.0,0.0,732.0
4650,0.0,0.0,0.0,35.0,0.0,483.0,1.0,0.0,708.0
4800,0.0,0.0,0.0,45.0,0.0,448.0,3.0,0.0,708.0
4950,0.0,0.0,0.0,49.0,0.0,428.0,0.0,0.0,398.0
5100,0.0,0.0,0.0,60.0,0.0,311.0,0.0,0.0,0.0
5250,0.0,0.0,0.0,77.0,1.0,224.0,0.0,0.0,0.0
