object_type,category,segment_id,direction,name,no,link,lane,pos,segment_start_m,segment_end_m,default_speed_kph,veh_classes,purpose
"desSpeedDecision","segment_start_vsl","EB_S0_W_ENTRY_TO_D_DIVERGE","EB","EVAL_VSL_SEG_EB_S0_W_ENTRY_TO_D_DIVERGE_L33_LN1","1","33","1","1.000","1.000","499.032","120","10;20;30","Start of EB entry/upstream segment before D off-ramp diverge"
"desSpeedDecision","segment_start_vsl","EB_S0_W_ENTRY_TO_D_DIVERGE","EB","EVAL_VSL_SEG_EB_S0_W_ENTRY_TO_D_DIVERGE_L33_LN2","2","33","2","1.000","1.000","499.032","120","10;20;30","Start of EB entry/upstream segment before D off-ramp diverge"
"desSpeedDecision","segment_start_vsl","EB_S1_D_DIVERGE_TO_D_MERGE","EB","EVAL_VSL_SEG_EB_S1_D_DIVERGE_TO_D_MERGE_L33_LN1","3","33","1","499.032","499.032","812.391","120","10;20;30","Start of EB D weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","EB_S1_D_DIVERGE_TO_D_MERGE","EB","EVAL_VSL_SEG_EB_S1_D_DIVERGE_TO_D_MERGE_L33_LN2","4","33","2","499.032","499.032","812.391","120","10;20;30","Start of EB D weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","EB_S2_D_MERGE_TO_F_DIVERGE","EB","EVAL_VSL_SEG_EB_S2_D_MERGE_TO_F_DIVERGE_L33_LN1","5","33","1","812.391","812.391","1735.615","120","10;20;30","Start of EB mid-mainline segment between D and F"
"desSpeedDecision","segment_start_vsl","EB_S2_D_MERGE_TO_F_DIVERGE","EB","EVAL_VSL_SEG_EB_S2_D_MERGE_TO_F_DIVERGE_L33_LN2","6","33","2","812.391","812.391","1735.615","120","10;20;30","Start of EB mid-mainline segment between D and F"
"desSpeedDecision","segment_start_vsl","EB_S3_F_DIVERGE_TO_F_MERGE","EB","EVAL_VSL_SEG_EB_S3_F_DIVERGE_TO_F_MERGE_L33_LN1","7","33","1","1735.615","1735.615","2029.150","120","10;20;30","Start of EB F weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","EB_S3_F_DIVERGE_TO_F_MERGE","EB","EVAL_VSL_SEG_EB_S3_F_DIVERGE_TO_F_MERGE_L33_LN2","8","33","2","1735.615","1735.615","2029.150","120","10;20;30","Start of EB F weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","EB_S4_F_MERGE_TO_E_EXIT","EB","EVAL_VSL_SEG_EB_S4_F_MERGE_TO_E_EXIT_L33_LN1","9","33","1","2029.150","2029.150","2900.003","120","10;20;30","Start of EB downstream segment after F on-ramp merge"
"desSpeedDecision","segment_start_vsl","EB_S4_F_MERGE_TO_E_EXIT","EB","EVAL_VSL_SEG_EB_S4_F_MERGE_TO_E_EXIT_L33_LN2","10","33","2","2029.150","2029.150","2900.003","120","10;20;30","Start of EB downstream segment after F on-ramp merge"
"desSpeedDecision","segment_start_vsl","WB_S0_E_ENTRY_TO_F_DIVERGE","WB","EVAL_VSL_SEG_WB_S0_E_ENTRY_TO_F_DIVERGE_L34_LN1","11","34","1","1.000","1.000","537.739","120","10;20;30","Start of WB entry/upstream segment before F off-ramp diverge"
"desSpeedDecision","segment_start_vsl","WB_S0_E_ENTRY_TO_F_DIVERGE","WB","EVAL_VSL_SEG_WB_S0_E_ENTRY_TO_F_DIVERGE_L34_LN2","12","34","2","1.000","1.000","537.739","120","10;20;30","Start of WB entry/upstream segment before F off-ramp diverge"
"desSpeedDecision","segment_start_vsl","WB_S1_F_DIVERGE_TO_F_MERGE","WB","EVAL_VSL_SEG_WB_S1_F_DIVERGE_TO_F_MERGE_L34_LN1","13","34","1","537.739","537.739","1155.250","120","10;20;30","Start of WB F weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","WB_S1_F_DIVERGE_TO_F_MERGE","WB","EVAL_VSL_SEG_WB_S1_F_DIVERGE_TO_F_MERGE_L34_LN2","14","34","2","537.739","537.739","1155.250","120","10;20;30","Start of WB F weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","WB_S2_F_MERGE_TO_D_DIVERGE","WB","EVAL_VSL_SEG_WB_S2_F_MERGE_TO_D_DIVERGE_L34_LN1","15","34","1","1155.250","1155.250","1743.460","120","10;20;30","Start of WB mid-mainline segment between F and D"
"desSpeedDecision","segment_start_vsl","WB_S2_F_MERGE_TO_D_DIVERGE","WB","EVAL_VSL_SEG_WB_S2_F_MERGE_TO_D_DIVERGE_L34_LN2","16","34","2","1155.250","1155.250","1743.460","120","10;20;30","Start of WB mid-mainline segment between F and D"
"desSpeedDecision","segment_start_vsl","WB_S3_D_DIVERGE_TO_D_MERGE","WB","EVAL_VSL_SEG_WB_S3_D_DIVERGE_TO_D_MERGE_L34_LN1","17","34","1","1743.460","1743.460","2398.245","120","10;20;30","Start of WB D weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","WB_S3_D_DIVERGE_TO_D_MERGE","WB","EVAL_VSL_SEG_WB_S3_D_DIVERGE_TO_D_MERGE_L34_LN2","18","34","2","1743.460","1743.460","2398.245","120","10;20;30","Start of WB D weave/ramp influence segment"
"desSpeedDecision","segment_start_vsl","WB_S4_D_MERGE_TO_W_EXIT","WB","EVAL_VSL_SEG_WB_S4_D_MERGE_TO_W_EXIT_L34_LN1","19","34","1","2398.245","2398.245","2900.003","120","10;20;30","Start of WB downstream segment after D on-ramp merge"
"desSpeedDecision","segment_start_vsl","WB_S4_D_MERGE_TO_W_EXIT","WB","EVAL_VSL_SEG_WB_S4_D_MERGE_TO_W_EXIT_L34_LN2","20","34","2","2398.245","2398.245","2900.003","120","10;20;30","Start of WB downstream segment after D on-ramp merge"
