object_type,category,segment_id,direction,name,no,link,lane,pos,segment_start_m,segment_end_m,default_speed_kph,veh_classes,purpose
"link","mainline_extension","EB_S0_W_EXT_ENTRY","EB","FW_E entry extension","35","35","","0","0","500","","","new EB upstream entry link"
"link","mainline_extension","EB_S7_E_EXIT","EB","FW_E exit extension","36","36","","0","0","200","","","new EB downstream exit link"
"link","mainline_extension","WB_S0_E_EXT_ENTRY","WB","FW_W entry extension","37","37","","0","0","350","","","new WB upstream entry link"
"link","mainline_extension","WB_S7_W_EXIT","WB","FW_W exit extension","38","38","","0","0","250","","","new WB downstream exit link"
"connector","mainline_extension","EB_S0_W_EXT_ENTRY","EB","FW_E entry->main","10074","33","","0","0","0","","","gap connector entry->main"
"connector","mainline_extension","EB_S7_E_EXIT","EB","FW_E main->exit","10075","33","","0","0","0","","","gap connector main->exit"
"connector","mainline_extension","WB_S0_E_EXT_ENTRY","WB","FW_W entry->main","10076","34","","0","0","0","","","gap connector entry->main"
"connector","mainline_extension","WB_S7_W_EXIT","WB","FW_W main->exit","10077","34","","0","0","0","","","gap connector main->exit"
"vehicleInput","mainline_extension","","","VI_FW_E","10","35","","0","0","0","","","freeway input moved to entry extension link"
"vehicleInput","mainline_extension","","","VI_FW_W","11","37","","0","0","0","","","freeway input moved to entry extension link"
"desSpeedDecision","segment_start_vsl","EB_S0_W_EXT_ENTRY","EB","EVAL_VSL_SEG_EB_S0_W_EXT_ENTRY_L35_LN1","1","35","1","1.000","0.000","500.000","120","10;20;30","EB entry extension segment (upstream warmup)"
"desSpeedDecision","segment_start_vsl","EB_S0_W_EXT_ENTRY","EB","EVAL_VSL_SEG_EB_S0_W_EXT_ENTRY_L35_LN2","2","35","2","1.000","0.000","500.000","120","10;20;30","EB entry extension segment (upstream warmup)"
"desSpeedDecision","segment_start_vsl","EB_S1_W_APPROACH","EB","EVAL_VSL_SEG_EB_S1_W_APPROACH_L33_LN1","3","33","1","1.000","500.000","850.000","120","10;20;30","EB approach segment before D diverge"
"desSpeedDecision","segment_start_vsl","EB_S1_W_APPROACH","EB","EVAL_VSL_SEG_EB_S1_W_APPROACH_L33_LN2","4","33","2","1.000","500.000","850.000","120","10;20;30","EB approach segment before D diverge"
"desSpeedDecision","segment_start_vsl","EB_S2_D_DIVERGE","EB","EVAL_VSL_SEG_EB_S2_D_DIVERGE_L33_LN1","5","33","1","350.000","850.000","1300.000","120","10;20;30","EB segment containing OR_D off-ramp diverge (499.03)"
"desSpeedDecision","segment_start_vsl","EB_S2_D_DIVERGE","EB","EVAL_VSL_SEG_EB_S2_D_DIVERGE_L33_LN2","6","33","2","350.000","850.000","1300.000","120","10;20;30","EB segment containing OR_D off-ramp diverge (499.03)"
"desSpeedDecision","segment_start_vsl","EB_S3_D_MERGE","EB","EVAL_VSL_SEG_EB_S3_D_MERGE_L33_LN1","7","33","1","800.000","1300.000","1800.000","120","10;20;30","EB segment containing R_D on-ramp merge (812.39, metering)"
"desSpeedDecision","segment_start_vsl","EB_S3_D_MERGE","EB","EVAL_VSL_SEG_EB_S3_D_MERGE_L33_LN2","8","33","2","800.000","1300.000","1800.000","120","10;20;30","EB segment containing R_D on-ramp merge (812.39, metering)"
"desSpeedDecision","segment_start_vsl","EB_S4_F_DIVERGE","EB","EVAL_VSL_SEG_EB_S4_F_DIVERGE_L33_LN1","9","33","1","1300.000","1800.000","2300.000","120","10;20;30","EB segment containing OR_F off-ramp diverge (1735.61)"
"desSpeedDecision","segment_start_vsl","EB_S4_F_DIVERGE","EB","EVAL_VSL_SEG_EB_S4_F_DIVERGE_L33_LN2","10","33","2","1300.000","1800.000","2300.000","120","10;20;30","EB segment containing OR_F off-ramp diverge (1735.61)"
"desSpeedDecision","segment_start_vsl","EB_S5_F_MERGE","EB","EVAL_VSL_SEG_EB_S5_F_MERGE_L33_LN1","11","33","1","1800.000","2300.000","2800.000","120","10;20;30","EB segment containing R_F on-ramp merge (2029.15, metering)"
"desSpeedDecision","segment_start_vsl","EB_S5_F_MERGE","EB","EVAL_VSL_SEG_EB_S5_F_MERGE_L33_LN2","12","33","2","1800.000","2300.000","2800.000","120","10;20;30","EB segment containing R_F on-ramp merge (2029.15, metering)"
"desSpeedDecision","segment_start_vsl","EB_S6_POST_F","EB","EVAL_VSL_SEG_EB_S6_POST_F_L33_LN1","13","33","1","2300.000","2800.000","3100.000","120","10;20;30","EB post-F mainline segment"
"desSpeedDecision","segment_start_vsl","EB_S6_POST_F","EB","EVAL_VSL_SEG_EB_S6_POST_F_L33_LN2","14","33","2","2300.000","2800.000","3100.000","120","10;20;30","EB post-F mainline segment"
"desSpeedDecision","segment_start_vsl","EB_S7_E_EXIT","EB","EVAL_VSL_SEG_EB_S7_E_EXIT_L33_LN1","15","33","1","2600.000","3100.000","3600.003","120","10;20;30","EB exit segment (tail of main link + exit extension)"
"desSpeedDecision","segment_start_vsl","EB_S7_E_EXIT","EB","EVAL_VSL_SEG_EB_S7_E_EXIT_L33_LN2","16","33","2","2600.000","3100.000","3600.003","120","10;20;30","EB exit segment (tail of main link + exit extension)"
"desSpeedDecision","segment_start_vsl","WB_S0_E_EXT_ENTRY","WB","EVAL_VSL_SEG_WB_S0_E_EXT_ENTRY_L37_LN1","17","37","1","1.000","0.000","350.000","120","10;20;30","WB entry extension segment (upstream warmup)"
"desSpeedDecision","segment_start_vsl","WB_S0_E_EXT_ENTRY","WB","EVAL_VSL_SEG_WB_S0_E_EXT_ENTRY_L37_LN2","18","37","2","1.000","0.000","350.000","120","10;20;30","WB entry extension segment (upstream warmup)"
"desSpeedDecision","segment_start_vsl","WB_S1_E_APPROACH","WB","EVAL_VSL_SEG_WB_S1_E_APPROACH_L34_LN1","19","34","1","1.000","350.000","700.000","120","10;20;30","WB approach segment before F diverge"
"desSpeedDecision","segment_start_vsl","WB_S1_E_APPROACH","WB","EVAL_VSL_SEG_WB_S1_E_APPROACH_L34_LN2","20","34","2","1.000","350.000","700.000","120","10;20;30","WB approach segment before F diverge"
"desSpeedDecision","segment_start_vsl","WB_S2_F_DIVERGE","WB","EVAL_VSL_SEG_WB_S2_F_DIVERGE_L34_LN1","21","34","1","350.000","700.000","1200.000","120","10;20;30","WB segment containing OR_F off-ramp diverge (537.74)"
"desSpeedDecision","segment_start_vsl","WB_S2_F_DIVERGE","WB","EVAL_VSL_SEG_WB_S2_F_DIVERGE_L34_LN2","22","34","2","350.000","700.000","1200.000","120","10;20;30","WB segment containing OR_F off-ramp diverge (537.74)"
"desSpeedDecision","segment_start_vsl","WB_S3_F_MERGE","WB","EVAL_VSL_SEG_WB_S3_F_MERGE_L34_LN1","23","34","1","850.000","1200.000","1700.000","120","10;20;30","WB segment containing R_F on-ramp merge (1155.25, metering)"
"desSpeedDecision","segment_start_vsl","WB_S3_F_MERGE","WB","EVAL_VSL_SEG_WB_S3_F_MERGE_L34_LN2","24","34","2","850.000","1200.000","1700.000","120","10;20;30","WB segment containing R_F on-ramp merge (1155.25, metering)"
"desSpeedDecision","segment_start_vsl","WB_S4_D_DIVERGE","WB","EVAL_VSL_SEG_WB_S4_D_DIVERGE_L34_LN1","25","34","1","1350.000","1700.000","2250.000","120","10;20;30","WB segment containing OR_D off-ramp diverge (1743.46)"
"desSpeedDecision","segment_start_vsl","WB_S4_D_DIVERGE","WB","EVAL_VSL_SEG_WB_S4_D_DIVERGE_L34_LN2","26","34","2","1350.000","1700.000","2250.000","120","10;20;30","WB segment containing OR_D off-ramp diverge (1743.46)"
"desSpeedDecision","segment_start_vsl","WB_S5_D_MERGE","WB","EVAL_VSL_SEG_WB_S5_D_MERGE_L34_LN1","27","34","1","1900.000","2250.000","2800.000","120","10;20;30","WB segment containing R_D on-ramp merge (2398.24, metering)"
"desSpeedDecision","segment_start_vsl","WB_S5_D_MERGE","WB","EVAL_VSL_SEG_WB_S5_D_MERGE_L34_LN2","28","34","2","1900.000","2250.000","2800.000","120","10;20;30","WB segment containing R_D on-ramp merge (2398.24, metering)"
"desSpeedDecision","segment_start_vsl","WB_S6_POST_D","WB","EVAL_VSL_SEG_WB_S6_POST_D_L34_LN1","29","34","1","2450.000","2800.000","3100.000","120","10;20;30","WB post-D mainline segment"
"desSpeedDecision","segment_start_vsl","WB_S6_POST_D","WB","EVAL_VSL_SEG_WB_S6_POST_D_L34_LN2","30","34","2","2450.000","2800.000","3100.000","120","10;20;30","WB post-D mainline segment"
