object_type,category,name,no,link,lane,pos,section,default_speed_kph,veh_classes,purpose
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_PRE_D_L33_LN1","1","33","1","430.000","EB_PRE_D","120","10;20;30","EB upstream of D ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_PRE_D_L33_LN2","2","33","2","430.000","EB_PRE_D","120","10;20;30","EB upstream of D ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_D_BOT_L33_LN1","3","33","1","880.000","EB_D_BOT","120","10;20;30","EB D ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_D_BOT_L33_LN2","4","33","2","880.000","EB_D_BOT","120","10;20;30","EB D ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_PRE_F_L33_LN1","5","33","1","1680.000","EB_PRE_F","120","10;20;30","EB upstream of F ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_PRE_F_L33_LN2","6","33","2","1680.000","EB_PRE_F","120","10;20;30","EB upstream of F ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_F_BOT_L33_LN1","7","33","1","2070.000","EB_F_BOT","120","10;20;30","EB F ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_EB_F_BOT_L33_LN2","8","33","2","2070.000","EB_F_BOT","120","10;20;30","EB F ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_PRE_F_L34_LN1","9","34","1","430.000","WB_PRE_F","120","10;20;30","WB upstream of F ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_PRE_F_L34_LN2","10","34","2","430.000","WB_PRE_F","120","10;20;30","WB upstream of F ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_F_BOT_L34_LN1","11","34","1","1200.000","WB_F_BOT","120","10;20;30","WB F ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_F_BOT_L34_LN2","12","34","2","1200.000","WB_F_BOT","120","10;20;30","WB F ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_PRE_D_L34_LN1","13","34","1","1680.000","WB_PRE_D","120","10;20;30","WB upstream of D ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_PRE_D_L34_LN2","14","34","2","1680.000","WB_PRE_D","120","10;20;30","WB upstream of D ramp area"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_D_BOT_L34_LN1","15","34","1","2430.000","WB_D_BOT","120","10;20;30","WB D ramp bottleneck control point"
"desSpeedDecision","mainline_vsl","EVAL_VSL_WB_D_BOT_L34_LN2","16","34","2","2430.000","WB_D_BOT","120","10;20;30","WB D ramp bottleneck control point"
