tuning_name,case_count,mean_primary_rank_key,max_primary_rank_key,mean_vehicle_hours_total,max_vehicle_hours_total,mean_vehicle_hours_freeway,max_vehicle_hours_freeway,mean_vehicle_hours_urban,max_vehicle_hours_urban,mean_stopped_vehicle_hours,max_stopped_vehicle_hours,mean_mean_total_vehicles,max_mean_total_vehicles,mean_mean_speed_kph,max_mean_speed_kph,mean_freeway_mean_speed_kph,max_freeway_mean_speed_kph,mean_mean_decision_wall_sec,max_mean_decision_wall_sec,mean_vsl_mean_abs_step_kph,max_vsl_mean_abs_step_kph,mean_ramp_green_abs_step_sec,max_ramp_green_abs_step_sec,mean_signal_green_abs_step_sec,max_signal_green_abs_step_sec,mean_mean_vsl_kph,max_mean_vsl_kph,mean_mean_ramp_green_sec,max_mean_ramp_green_sec,mean_mean_signal_green_sec,max_mean_signal_green_sec,fallback_rows_total,seeds,rank
04_smooth_low,1,69.0045138888889,69.0045138888889,63.05694444444445,63.05694444444445,6.311111111111111,6.311111111111111,15.0125,15.0125,23.790277777777778,23.790277777777778,926.5510204081633,926.5510204081633,33.845504795918366,33.845504795918366,105.24089079591836,105.24089079591836,4.227557557377049,4.227557557377049,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,1
00_calibrated_base,1,69.05729166666667,69.05729166666667,63.06666666666667,63.06666666666667,6.311111111111111,6.311111111111111,14.975,14.975,23.9625,23.9625,926.6938775510204,926.6938775510204,33.76183536734694,33.76183536734694,105.24089079591836,105.24089079591836,4.401355868852459,4.401355868852459,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,2
01_freeway_priority,1,69.05729166666667,69.05729166666667,63.06666666666667,63.06666666666667,6.311111111111111,6.311111111111111,14.975,14.975,23.9625,23.9625,926.6938775510204,926.6938775510204,33.76183536734694,33.76183536734694,105.24089079591836,105.24089079591836,4.356387,4.356387,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,3
02_urban_priority,1,69.05729166666667,69.05729166666667,63.06666666666667,63.06666666666667,6.311111111111111,6.311111111111111,14.975,14.975,23.9625,23.9625,926.6938775510204,926.6938775510204,33.76183536734694,33.76183536734694,105.24089079591836,105.24089079591836,4.2500986557377045,4.2500986557377045,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,4
03_smooth_high,1,69.05729166666667,69.05729166666667,63.06666666666667,63.06666666666667,6.311111111111111,6.311111111111111,14.975,14.975,23.9625,23.9625,926.6938775510204,926.6938775510204,33.76183536734694,33.76183536734694,105.24089079591836,105.24089079591836,4.318455081967213,4.318455081967213,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,5
05_activation_early,1,69.05729166666667,69.05729166666667,63.06666666666667,63.06666666666667,6.311111111111111,6.311111111111111,14.975,14.975,23.9625,23.9625,926.6938775510204,926.6938775510204,33.76183536734694,33.76183536734694,105.24089079591836,105.24089079591836,4.246745114754098,4.246745114754098,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,6
06_activation_late,1,69.05729166666667,69.05729166666667,63.06666666666667,63.06666666666667,6.311111111111111,6.311111111111111,14.975,14.975,23.9625,23.9625,926.6938775510204,926.6938775510204,33.76183536734694,33.76183536734694,105.24089079591836,105.24089079591836,4.227657147540984,4.227657147540984,0.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,10.0,10.0,57.0,57.0,0,13,7
