sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
1020.0,FW_W,W,4,RW_FW_W_S4,26,100.0,13.0,61.045078,1.347212,4.0,18.556842,4531.215469294703
1020.0,FW_W,W,5,RW_FW_W_S5,26,70.0,1.0,82.36642,1.347212,4.0,12.989789,4279.689665941521
1020.0,FW_W,W,6,RW_FW_W_S6,26,65.0,0.0,106.805361,1.347212,4.0,12.061947,5153.122414791468
1020.0,FW_W,W,7,RW_FW_W_S7,26,49.0,0.0,115.095689,1.347212,4.0,9.092852,4186.192263660112
1080.0,FW_E,E,0,RW_FW_E_S0,2,147.0,0.0,61.858096,1.346639,4.0,27.290165,6752.47058570336
1080.0,FW_E,E,1,RW_FW_E_S1,2,127.0,0.0,77.152792,1.346639,4.0,23.577217,7276.192476559457
1080.0,FW_E,E,2,RW_FW_E_S2,2,266.0,23.0,31.069013,1.346639,4.0,49.382203,6137.025227902556
1080.0,FW_E,E,3,RW_FW_E_S3,2,191.0,11.0,37.298885,1.346639,4.0,35.458649,5290.27228522546
1080.0,FW_E,E,4,RW_FW_E_S4,2,75.0,0.0,95.44838,1.346639,4.0,13.923553,5315.92231077656
1080.0,FW_E,E,5,RW_FW_E_S5,2,85.0,0.0,71.933883,1.346639,4.0,15.780027,4540.474463819363
1080.0,FW_E,E,6,RW_FW_E_S6,2,42.0,0.0,116.898287,1.346639,4.0,7.79719,3645.91261765412
1080.0,FW_E,E,7,RW_FW_E_S7,2,36.0,0.0,116.280622,1.346639,4.0,6.683306,3108.555914785328
1080.0,FW_W,W,0,RW_FW_W_S0,26,169.0,3.0,53.260329,1.347212,4.0,31.361063,6681.202132678908
1080.0,FW_W,W,1,RW_FW_W_S1,26,278.0,32.0,27.826289,1.347212,4.0,51.58802,5742.01261383112
1080.0,FW_W,W,2,RW_FW_W_S2,26,253.0,29.0,32.319882,1.347212,4.0,46.94881,6069.519996961681
1080.0,FW_W,W,3,RW_FW_W_S3,26,56.0,0.0,99.732111,1.347212,4.0,10.391831,4145.596971140964
1080.0,FW_W,W,4,RW_FW_W_S4,26,73.0,0.0,91.346967,1.347212,4.0,13.546495,4949.72492692266
1080.0,FW_W,W,5,RW_FW_W_S5,26,87.0,0.0,81.787734,1.347212,4.0,16.144452,5281.672583007073
1080.0,FW_W,W,6,RW_FW_W_S6,26,46.0,0.0,103.145445,1.347212,4.0,8.536147,3521.8587236016597
1080.0,FW_W,W,7,RW_FW_W_S7,26,57.0,0.0,114.08384,1.347212,4.0,10.5774,4826.841636864
1140.0,FW_E,E,0,RW_FW_E_S0,2,147.0,3.0,64.97577,1.346639,4.0,27.290165,7092.797937208199
1140.0,FW_E,E,1,RW_FW_E_S1,2,128.0,2.0,72.846246,1.346639,4.0,23.762864,6924.141746434176
1140.0,FW_E,E,2,RW_FW_E_S2,2,300.0,30.0,25.081757,1.346639,4.0,55.694214,5587.634967415992
1140.0,FW_E,E,3,RW_FW_E_S3,2,175.0,7.0,41.922558,1.346639,4.0,32.488291,5447.969055073511
1140.0,FW_E,E,4,RW_FW_E_S4,2,73.0,0.0,105.756814,1.346639,4.0,13.552259,5732.974937371304
1140.0,FW_E,E,5,RW_FW_E_S5,2,92.0,0.0,81.234957,1.346639,4.0,17.079559,5549.828963775852
1140.0,FW_E,E,6,RW_FW_E_S6,2,48.0,0.0,109.553607,1.346639,4.0,8.911074,3904.9611957756715
1140.0,FW_E,E,7,RW_FW_E_S7,2,40.0,0.0,119.139161,1.346639,4.0,7.425895,3538.8595998963797
1140.0,FW_W,W,0,RW_FW_W_S0,26,201.0,9.0,45.158578,1.347212,4.0,37.299252,6737.524723134624
1140.0,FW_W,W,1,RW_FW_W_S1,26,299.0,32.0,25.813759,1.347212,4.0,55.484957,5729.101232493453
1140.0,FW_W,W,2,RW_FW_W_S2,26,199.0,14.0,37.815278,1.347212,4.0,36.928115,5585.78773896388
