sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
900.0,1366.0,1366.0,43441.704023000006,31.802125931918013,1366.0,43441.704023000006,31.802125931918013,2829.0,469.0
960.0,1490.0,1490.0,47794.853339,32.07708277785235,1490.0,47794.853339,32.07708277785235,3015.0,434.0
1020.0,1576.0,1576.0,52931.176553999976,33.58577192512689,1576.0,52931.176553999976,33.58577192512689,3178.0,448.0
1080.0,1659.0,1659.0,50074.80270400007,30.18372676552144,1659.0,50074.80270400007,30.18372676552144,3275.0,574.0
1140.0,1740.0,1740.0,59264.63979100001,34.06013781091954,1740.0,59264.63979100001,34.06013781091954,3370.0,435.0
1200.0,1817.0,1817.0,56557.722814000044,31.126980084755115,1817.0,56557.722814000044,31.126980084755115,3481.0,612.0
1260.0,1828.0,1828.0,55699.883764000006,30.470395932166305,1828.0,55699.883764000006,30.470395932166305,3476.0,596.0
1320.0,1881.0,1881.0,61271.11667099999,32.57369307336523,1881.0,61271.11667099999,32.57369307336523,3533.0,524.0
1380.0,1937.0,1937.0,58000.694877000016,29.943569890036148,1937.0,58000.694877000016,29.943569890036148,3564.0,675.0
1440.0,1929.0,1929.0,58591.22518899996,30.373885530844976,1929.0,58591.22518899996,30.373885530844976,3596.0,574.0
1500.0,2032.0,2032.0,60134.69318600005,29.593845071850417,2032.0,60134.69318600005,29.593845071850417,3759.0,691.0
1560.0,2109.0,2109.0,58020.986847,27.51113648506401,2109.0,58020.986847,27.51113648506401,3861.0,791.0
1620.0,2110.0,2110.0,62879.60749400007,29.800761845497664,2110.0,62879.60749400007,29.800761845497664,3832.0,673.0
1680.0,2197.0,2197.0,62786.69363000004,28.578376709148856,2197.0,62786.69363000004,28.578376709148856,3904.0,780.0
1740.0,2199.0,2199.0,66540.94071499999,30.259636523419733,2199.0,66540.94071499999,30.259636523419733,3911.0,602.0
1800.0,2187.0,2186.0,61632.11979600001,28.19401637511437,2186.0,61632.11979600001,28.19401637511437,3937.0,775.0
1860.0,2235.0,2235.0,61881.60444299994,27.687518766442924,2235.0,61881.60444299994,27.687518766442924,3966.0,775.0
1920.0,2307.0,2307.0,70462.09141900002,30.54273576896403,2307.0,70462.09141900002,30.54273576896403,4034.0,714.0
1980.0,2381.0,2381.0,62854.87543899994,26.398519713985696,2381.0,62854.87543899994,26.398519713985696,4109.0,890.0
2040.0,2379.0,2378.0,61417.51110700001,25.827380616904968,2378.0,61417.51110700001,25.827380616904968,4086.0,905.0
2100.0,2379.0,2379.0,63895.05209399998,26.85794539470365,2379.0,63895.05209399998,26.85794539470365,4113.0,924.0
2160.0,2454.0,2454.0,63164.11990000003,25.739250162999195,2454.0,63164.11990000003,25.739250162999195,4152.0,975.0
2220.0,2477.0,2477.0,67513.53170600001,27.25616944125959,2477.0,67513.53170600001,27.25616944125959,4194.0,880.0
2280.0,2516.0,2516.0,61382.03652699998,24.396675885135128,2516.0,61382.03652699998,24.396675885135128,4203.0,1039.0
2340.0,2622.0,2621.0,70011.11168799998,26.711603085845088,2621.0,70011.11168799998,26.711603085845088,4307.0,947.0
2400.0,2628.0,2627.0,69126.37002799998,26.31380663418347,2627.0,69126.37002799998,26.31380663418347,4309.0,1025.0
2460.0,2670.0,2670.0,63516.45270399997,23.788933597003734,2670.0,63516.45270399997,23.788933597003734,4311.0,1140.0
2520.0,2719.0,2719.0,66238.92294199999,24.361501633688853,2719.0,66238.92294199999,24.361501633688853,4404.0,1164.0
2580.0,2723.0,2723.0,67822.21397999996,24.9071663532868,2723.0,67822.21397999996,24.9071663532868,4405.0,1099.0
2640.0,2718.0,2718.0,63287.96365399996,23.28475483958792,2718.0,63287.96365399996,23.28475483958792,4444.0,1149.0
2700.0,2718.0,2718.0,65310.09646900005,24.028733064385595,2718.0,65310.09646900005,24.028733064385595,4482.0,1136.0
2760.0,2653.0,2653.0,61549.78489400002,23.20006969242368,2653.0,61549.78489400002,23.20006969242368,4393.0,1211.0
2820.0,2631.0,2631.0,60896.28579099997,23.14568065032306,2631.0,60896.28579099997,23.14568065032306,4437.0,1177.0
2880.0,2624.0,2624.0,61982.380601,23.621334070503046,2624.0,61982.380601,23.621334070503046,4452.0,1189.0
2940.0,2616.0,2616.0,60183.56367199999,23.005949415902137,2616.0,60183.56367199999,23.005949415902137,4481.0,1171.0
