model_link,density_bin_center_veh_km_lane,n,flow_mean_vph,flow_p85_vph,speed_mean_kph,count_mean_veh
FW_E,3.0,14,1136.960564620863,1258.755711630015,86.72855271428571,13.285714285714286
FW_E,5.0,35,1825.974693574562,2119.4858609605185,87.91287502857143,20.885714285714286
FW_E,7.0,60,2280.530500948146,2704.921839848733,79.35493115,28.916666666666668
FW_E,9.0,50,2781.464787810247,3160.862147387943,77.36229308,36.18
FW_E,11.0,47,3191.459005117959,3554.0428219064474,71.45027074468085,44.93617021276596
FW_E,13.0,50,3609.8415158430585,4004.681186457312,69.12611016,52.48
FW_E,15.0,49,3805.318142545198,4276.970513954339,64.24901536734694,59.57142857142857
FW_E,17.0,48,4138.676743894254,4587.499862863261,61.2410413125,68.02083333333333
FW_E,19.0,35,4492.534072186743,5013.418220682223,59.55609291428571,75.77142857142857
FW_E,21.0,33,4745.909683038182,5334.730876044516,56.16190224242424,84.9090909090909
FW_E,23.0,21,4929.221522331537,5456.4603329441925,53.68830323809524,92.23809523809524
FW_E,25.0,17,5193.780320967188,6007.3498727593105,51.859185294117644,100.70588235294117
FW_E,27.0,7,5831.57342607597,6527.727591286571,52.67852214285714,111.14285714285714
FW_E,29.0,11,5497.298209455462,6158.059305309616,47.29672563636363,116.63636363636364
FW_E,31.0,3,6352.245836448715,6581.2959192092385,51.34460033333333,124.33333333333333
FW_E,33.0,2,5784.406861369784,6016.191964192572,43.830662000000004,132.5
FW_E,35.0,3,5849.824086443884,6500.409424213129,42.14857166666666,139.33333333333334
FW_E,37.0,1,5612.193083634799,5612.193083634799,37.84735,149.0
FW_E,39.0,1,4694.38761483596,4694.38761483596,29.854582,158.0
FW_E,41.0,1,6167.686208258256,6167.686208258256,38.493334,161.0
FW_W,3.0,7,819.5599954935423,948.7907550561503,58.20616585714286,14.0
FW_W,5.0,24,1845.4770202008774,2202.887818058797,88.08973925,21.166666666666668
FW_W,7.0,29,2311.016055851716,2606.4753103331605,80.9380776551724,28.82758620689655
FW_W,9.0,57,2825.02830338111,3198.407117172616,77.08572473684211,36.85964912280702
FW_W,11.0,60,3249.369416211715,3630.491049037196,73.58255736666666,44.28333333333333
FW_W,13.0,56,3663.735945384985,3985.413808105717,70.01168125,52.57142857142857
FW_W,15.0,62,3915.5298636547836,4386.401769974776,65.18887411290322,60.37096774193548
FW_W,17.0,40,4271.910885741669,4710.676424969162,62.745530125,68.45
FW_W,19.0,32,4564.936742693839,5009.130959543136,60.0236966875,76.3125
FW_W,21.0,34,4735.762746183232,5107.309192170146,56.23686376470588,84.55882352941177
FW_W,23.0,29,5047.599521711859,5521.525172389209,55.459068482758624,91.41379310344827
FW_W,25.0,19,5244.441440014137,5777.308474605092,52.63482278947368,100.0
FW_W,27.0,12,5409.753228113792,5785.291003680641,50.46107308333333,107.66666666666667
FW_W,29.0,9,5655.4348828223965,6129.772314019332,48.450616000000004,117.22222222222223
FW_W,31.0,8,5686.466000944809,6090.865787056501,45.9526655,124.25
FW_W,33.0,3,5914.334664696294,6532.509342110769,45.231288,131.33333333333334
FW_W,35.0,2,5930.901011496857,6621.638580475562,42.690161,140.0
FW_W,37.0,2,5133.279329160336,5455.821883133085,34.792017,148.0
FW_W,39.0,2,4904.942869918204,5162.098449263661,31.7775355,155.0
FW_W,41.0,1,6451.392064166455,6451.392064166455,39.482047,164.0
