link,cls,n_parts,assignment,note
68,A,3,[10681] freeway:2 | [10646] freeway:26 | termination,"68 계열 — 램프 두 갈래로 분할, 나머지 termination"
10625,A,3,[10681] freeway:2 | [10646] freeway:26 | termination,"68 계열 — 램프 두 갈래로 분할, 나머지 termination"
10629,A,3,[10681] freeway:2 | [10646] freeway:26 | termination,"68 계열 — 램프 두 갈래로 분할, 나머지 termination"
10633,A,3,[10681] freeway:2 | [10646] freeway:26 | termination,"68 계열 — 램프 두 갈래로 분할, 나머지 termination"
10645,A,3,[10681] freeway:2 | [10646] freeway:26 | termination,"68 계열 — 램프 두 갈래로 분할, 나머지 termination"
10682,A,1,termination,서행 종단
31,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
78,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10119,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10121,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10698,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10703,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10721,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10723,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10726,B,3,[10484] freeway:24 | [10480] freeway:26 | termination,SC2001 가지는 경로 0건이라 termination 에 흡수
10479,B,1,termination,서행 종단
10483,B,1,termination,서행 종단
70,B,3,[10639] freeway:2 | 직·좌 SC1004 | 우 termination,10644 미경유
10637,B,3,[10639] freeway:2 | 직·좌 SC1004 | 우 termination,10644 미경유
10638,B,2,직·좌 SC1004 | 우 termination,
10643,B,2,직·좌 SC1004 | 우 termination,
69,B,5,[10644] freeway:26 | [10639] freeway:2 | [10640] SC1004 | [75→10701→56→10617] SC1005 | [75→10701→56→10621] SC107,종착지 5개 — 단독 처리
141,C,1,monitoring_only,
224,C,1,monitoring_only,
225,C,1,monitoring_only,
236,C,1,monitoring_only,
360,C,1,monitoring_only,
385,C,2,직진 지하차도 | 우 우회전 전량,
10610,C,2,직진 지하차도 | 우 우회전 전량,
10611,C,2,직진 지하차도 | 우 우회전 전량,
10618,C,2,직진 지하차도 | 우 우회전 전량,
10619,C,2,직진 지하차도 | 우 우회전 전량,
1220000102,C,2,직진 지하차도 | 우 우회전 전량,
52,U,2,SC1005 | [10501] SC107,상류
387,U,2,SC1005 | [10621] SC1004,상류
10614,U,2,SC1005 | [10621] SC1004,상류
10615,U,2,SC1005 | [10621] SC1004,상류
1220000201,U,2,SC1005 | [10621] SC1004,상류
