sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
900.0,2355.0,2355.0,62525.62401700002,26.550158818259032,2355.0,62525.62401700002,26.550158818259032,3524.0,885.0
960.0,2335.0,2335.0,60772.41148800002,26.026728688650973,2335.0,60772.41148800002,26.026728688650973,3498.0,876.0
1020.0,2370.0,2370.0,61173.564482999995,25.8116305835443,2370.0,61173.564482999995,25.8116305835443,3519.0,936.0
1080.0,2426.0,2426.0,59538.177572000015,24.54170551195384,2426.0,59538.177572000015,24.54170551195384,3518.0,991.0
1140.0,2417.0,2417.0,67602.54071100007,27.969607244931762,2417.0,67602.54071100007,27.969607244931762,3429.0,731.0
1200.0,2414.0,2414.0,61514.832341999965,25.482532038939507,2414.0,61514.832341999965,25.482532038939507,3443.0,1004.0
1260.0,2389.0,2389.0,58491.83223,24.483814244453747,2389.0,58491.83223,24.483814244453747,3409.0,974.0
1320.0,2401.0,2401.0,62548.14646099996,26.050873161599316,2401.0,62548.14646099996,26.050873161599316,3423.0,922.0
1380.0,2464.0,2464.0,60571.335624000014,24.58252257467533,2464.0,60571.335624000014,24.58252257467533,3432.0,1002.0
1440.0,2433.0,2433.0,60761.60284500003,24.973942805178805,2433.0,60761.60284500003,24.973942805178805,3374.0,919.0
1500.0,2462.0,2462.0,59915.429033000015,24.336080029650695,2462.0,59915.429033000015,24.336080029650695,3441.0,1035.0
1560.0,2497.0,2497.0,55401.82681200003,22.187355551461767,2497.0,55401.82681200003,22.187355551461767,3439.0,1137.0
1620.0,2410.0,2410.0,60729.09798500005,25.19879584439836,2410.0,60729.09798500005,25.19879584439836,3364.0,1002.0
1680.0,2450.0,2450.0,58061.977142000025,23.698766180408175,2450.0,58061.977142000025,23.698766180408175,3368.0,1097.0
1740.0,2421.0,2421.0,56122.57271300001,23.18156658942586,2421.0,56122.57271300001,23.18156658942586,3322.0,1078.0
1800.0,2431.0,2431.0,54578.06037399997,22.45086810941998,2431.0,54578.06037399997,22.45086810941998,3336.0,1129.0
1860.0,2478.0,2478.0,56804.698478999984,22.92360713438256,2478.0,56804.698478999984,22.92360713438256,3395.0,1122.0
