window,start_sec,end_sec,fixed_state_rows,fixed_vehicle_hours_total,fixed_stopped_vehicle_hours,fixed_mean_total_vehicles,fixed_mean_stopped_vehicles,fixed_mean_speed_kph,fixed_mean_urban_vehicles,fixed_mean_freeway_vehicles,fixed_mean_ramp_vehicles,fixed_mean_boundary_vehicles,fixed_final_total_vehicles,fixed_final_stopped_vehicles,pstack_state_rows,pstack_vehicle_hours_total,pstack_stopped_vehicle_hours,pstack_mean_total_vehicles,pstack_mean_stopped_vehicles,pstack_mean_speed_kph,pstack_mean_urban_vehicles,pstack_mean_freeway_vehicles,pstack_mean_ramp_vehicles,pstack_mean_boundary_vehicles,pstack_final_total_vehicles,pstack_final_stopped_vehicles,ttt_delta,ttt_delta_pct,stopped_delta,stopped_delta_pct,mean_total_delta,mean_stopped_delta,mean_boundary_delta,mean_ramp_delta
1800-2700,1800,2700,181,452.89444444444445,240.17638888888888,1811.5777777777778,960.7055555555555,21.30107647222222,593.9944444444444,311.93333333333334,94.82222222222222,651.3722222222223,1875.0,1053.0,181,452.4111111111111,240.55694444444444,1809.6444444444444,962.2277777777778,21.29273456111111,593.4944444444444,311.6388888888889,94.89444444444445,651.9277777777778,1873.0,1037.0,-0.4833333333333485,-0.1067209676034464,0.38055555555556,0.15844836260388018,-1.933333333333394,1.52222222222224,0.5555555555555429,0.07222222222222285
2700-3600,2700,3600,181,487.575,264.9236111111111,1950.3,1059.6944444444443,19.139566877777778,684.8555555555556,321.8611111111111,94.2611111111111,670.5722222222222,1981.0,1152.0,181,491.1361111111111,269.825,1964.5444444444445,1079.3,18.825524583333333,683.5222222222222,325.8611111111111,95.65555555555555,672.1388888888889,2004.0,1128.0,3.5611111111111313,0.7303719655665564,4.901388888888903,1.8501140265799965,14.244444444444525,19.60555555555561,1.5666666666667197,1.3944444444444457
3600-4500,3600,4500,181,510.9819444444444,288.42083333333335,2043.9277777777777,1153.6833333333334,18.042687894444445,743.9388888888889,328.8722222222222,89.45555555555555,714.9166666666666,2134.0,1271.0,181,508.49583333333334,283.0541666666667,2033.9833333333333,1132.2166666666667,18.67591678333333,735.5277777777778,313.99444444444447,91.35,722.8055555555555,2132.0,1168.0,-2.486111111111086,-0.4865359995868457,-5.366666666666674,-1.8607070108782042,-9.944444444444343,-21.466666666666697,7.888888888888914,1.8944444444444457
4500-5400,4500,5400,181,523.5916666666667,304.80833333333334,2094.366666666667,1219.2333333333333,17.366120194444445,728.6333333333333,322.31111111111113,93.93333333333334,751.9777777777778,2071.0,1181.0,181,531.5125,315.81388888888887,2126.05,1263.2555555555555,16.958024722222223,732.5777777777778,315.5833333333333,100.61666666666666,757.1666666666666,2157.0,1223.0,7.9208333333333485,1.5127882733045883,11.005555555555532,3.6106478570321787,31.683333333333394,44.022222222222126,5.188888888888869,6.683333333333323
