sim_sec,urban_state_vehicles,urban_state_aligned_accumulation_veh,urban_state_aligned_production_veh_km_h,urban_state_aligned_mean_speed_kph,urban_core_accumulation_veh,urban_core_production_veh_km_h,urban_core_mean_speed_kph,total_vehicles,stopped_vehicles
900.0,1850.0,1850.0,53668.61250700002,29.010060814594606,1850.0,53668.61250700002,29.010060814594606,2671.0,610.0
960.0,1999.0,1999.0,58042.35479699998,29.03569524612305,1999.0,58042.35479699998,29.03569524612305,2834.0,614.0
1020.0,2134.0,2134.0,58825.65999600001,27.565913775070296,2134.0,58825.65999600001,27.565913775070296,3011.0,750.0
1080.0,2277.0,2277.0,59435.370315999986,26.102490257356163,2277.0,59435.370315999986,26.102490257356163,3226.0,871.0
1140.0,2322.0,2322.0,72828.61255099994,31.3646048884582,2322.0,72828.61255099994,31.3646048884582,3304.0,579.0
1200.0,2450.0,2450.0,65170.715903000004,26.600292205306125,2450.0,65170.715903000004,26.600292205306125,3533.0,921.0
1260.0,2534.0,2534.0,64669.92099899995,25.52088437213889,2534.0,64669.92099899995,25.52088437213889,3653.0,930.0
1320.0,2600.0,2600.0,73723.94914399998,28.35536505538461,2600.0,73723.94914399998,28.35536505538461,3810.0,838.0
1380.0,2764.0,2764.0,72705.73315300002,26.304534425832134,2764.0,72705.73315300002,26.304534425832134,4011.0,1000.0
1440.0,2761.0,2761.0,75116.14255200002,27.206136382470127,2761.0,75116.14255200002,27.206136382470127,4035.0,916.0
1500.0,2859.0,2859.0,69951.42349200003,24.467094610703054,2859.0,69951.42349200003,24.467094610703054,4161.0,1163.0
1560.0,2913.0,2913.0,65491.82970000007,22.482605458290447,2913.0,65491.82970000007,22.482605458290447,4175.0,1278.0
1620.0,2965.0,2965.0,76746.82320100006,25.884257403372704,2965.0,76746.82320100006,25.884257403372704,4221.0,1090.0
1680.0,3054.0,3054.0,73186.279535,23.964073194171576,3054.0,73186.279535,23.964073194171576,4296.0,1270.0
1740.0,3132.0,3132.0,80185.631056,25.60205333844189,3132.0,80185.631056,25.60205333844189,4374.0,1161.0
1800.0,3121.0,3121.0,72755.91774299995,23.311732695610367,3121.0,72755.91774299995,23.311732695610367,4412.0,1329.0
1860.0,3211.0,3211.0,72633.75077299999,22.620289870133913,3211.0,72633.75077299999,22.620289870133913,4533.0,1398.0
1920.0,3308.0,3308.0,81003.46285299999,24.487141128476416,3308.0,81003.46285299999,24.487141128476416,4559.0,1323.0
1980.0,3350.0,3350.0,70505.00188299998,21.046269218805964,3350.0,70505.00188299998,21.046269218805964,4643.0,1554.0
2040.0,3448.0,3448.0,77655.64648499999,22.52193923578886,3448.0,77655.64648499999,22.52193923578886,4752.0,1473.0
2100.0,3470.0,3470.0,77804.280455,22.421982840057638,3470.0,77804.280455,22.421982840057638,4781.0,1510.0
2160.0,3615.0,3615.0,78977.16693000004,21.847072456431544,3615.0,78977.16693000004,21.847072456431544,4913.0,1640.0
2220.0,3659.0,3659.0,82539.096458,22.557829040174912,3659.0,82539.096458,22.557829040174912,4958.0,1580.0
2280.0,3703.0,3703.0,74818.07470699996,20.20471906751282,3703.0,74818.07470699996,20.20471906751282,4966.0,1767.0
2340.0,3794.0,3794.0,84618.50402000004,22.303243020558785,3794.0,84618.50402000004,22.303243020558785,5039.0,1633.0
2400.0,3771.0,3771.0,79800.41125699999,21.16160468231238,3771.0,79800.41125699999,21.16160468231238,5062.0,1769.0
2460.0,3803.0,3803.0,72336.657635,19.020945999211147,3803.0,72336.657635,19.020945999211147,5075.0,1902.0
2520.0,3909.0,3909.0,81102.592795,20.747657404707088,3909.0,81102.592795,20.747657404707088,5193.0,1837.0
