simsec,sc,states
13,1005,RRRGRRRG
14,1,RARRRARR
14,5,RRGRRRGRRGRRRGRRRRRGRRRG
14,6,RGRRRGRR
14,11,GRRRGRRR
14,12,RGRRRGRR
14,101,RARRRARR
14,105,RRGRRRGR
14,107,RGRRRGRR
14,108,RGRRRGRR
14,109,RGRRRGRR
14,1001,RRRGRRRG
14,1002,RRRGRRRG
14,1003,RRRGRRRG
14,1004,RRRGRRRG
14,1005,RRRGRRRG
15,1,RARRRARR
15,5,RRGRRRGRRGRRRGRRRRRGRRRG
15,6,RGRRRGRR
15,11,ARRRARRR
15,12,RGRRRGRR
15,101,RARRRARR
15,105,RRGRRRGR
15,107,RGRRRGRR
15,108,RGRRRGRR
15,109,RGRRRGRR
15,1001,RRRGRRRG
15,1002,RRRGRRRG
15,1003,RRRGRRRG
15,1004,RRRGRRRG
15,1005,RRRGRRRG
16,1,GRRRGRRR
16,5,RRGRRRGRRGRRRGRRRRRGRRRG
16,6,RGRRRGRR
16,11,ARRRARRR
16,12,RGRRRGRR
16,101,RARRRARR
16,105,RRGRRRGR
16,107,RGRRRGRR
16,108,RGRRRGRR
16,109,RGRRRGRR
16,1001,RRRGRRRG
16,1002,RRRGRRRG
16,1003,RRRGRRRG
16,1004,RRRGRRRG
16,1005,RRRGRRRG
17,1,GRRRGRRR
17,5,RRGRRRGRRGRRRGRRRRRGRRRG
17,6,RGRRRGRR
17,11,ARRRARRR
17,12,RGRRRGRR
17,101,GRRRGRRR
17,105,RRGRRRGR
17,107,RGRRRGRR
17,108,RGRRRGRR
17,109,RGRRRGRR
17,1001,RRRGRRRG
17,1002,RRRGRRRG
17,1003,RRRGRRRG
17,1004,RRRGRRRG
17,1005,RRRGRRRG
18,1,GRRRGRRR
18,5,RRGRRRGRRGRRRGRRRRRGRRRG
18,6,RGRRRGRR
18,11,RRRGRRRG
18,12,RGRRRGRR
18,101,GRRRGRRR
18,105,RRGRRRGR
18,107,RGRRRGRR
18,108,RGRRRGRR
18,109,RGRRRGRR
18,1001,RRRGRRRG
18,1002,RRRGRRRG
18,1003,RRRGRRRG
18,1004,RRRGRRRG
18,1005,RRRGRRRG
19,1,GRRRGRRR
19,5,RRGRRRGRRGRRRGRRRRRGRRRG
19,6,RGRRRGRR
19,11,RRRGRRRG
19,12,RGRRRGRR
19,101,GRRRGRRR
19,105,RRGRRRGR
19,107,RGRRRGRR
19,108,RGRRRGRR
19,109,RGRRRGRR
19,1001,RRRGRRRG
19,1002,RRRGRRRG
19,1003,RRRGRRRG
19,1004,RRRGRRRG
19,1005,RRRGRRRG
20,1,GRRRGRRR
20,5,RRGRRRGRRGRRRGRRRRRGRRRG
20,6,RGRRRGRR
20,11,RRRGRRRG
20,12,RGRRRGRR
20,101,GRRRGRRR
20,105,RRGRRRGR
20,107,RGRRRGRR
