window,decision_count,pstack_d_rate_mean,pstack_d_rate_min,pstack_f_rate_mean,pstack_vsl_mean,pstack_signal_major_mean,pstack_signal_minor_mean
1800-2700,5,1385.72,1378.65,237.073,120.0,57.0,57.0
2700-3600,5,1350.37,1343.3,237.073,120.0,57.0,57.0
3600-4500,5,1369.4142,1343.3,237.073,120.0,57.0,57.0
4500-5400,5,1357.44,1343.3,237.073,120.0,57.0,57.0
