sim_sec,model_link,direction,segment_index,segment_id,physical_link,count,stopped_count,mean_speed_kph,length_km,lanes,density_veh_km_lane,flow_vph
1020.0,FW_W,W,4,RW_FW_W_S4,26,36.0,0.0,111.051787,1.347212,4.0,6.680463,2967.509416549524
1020.0,FW_W,W,5,RW_FW_W_S5,26,41.0,0.0,92.288525,1.347212,4.0,7.608305,2808.6369848005
1020.0,FW_W,W,6,RW_FW_W_S6,26,33.0,0.0,116.048375,1.347212,4.0,6.123758,2842.6086591729995
1020.0,FW_W,W,7,RW_FW_W_S7,26,35.0,0.0,114.699649,1.347212,4.0,6.494895,2979.84870716742
1080.0,FW_E,E,0,RW_FW_E_S0,2,49.0,0.0,99.599694,1.346639,4.0,9.096722,3624.1229104122717
1080.0,FW_E,E,1,RW_FW_E_S1,2,42.0,0.0,117.85459,1.346639,4.0,7.79719,3675.7385224084
1080.0,FW_E,E,2,RW_FW_E_S2,2,38.0,0.0,116.816297,1.346639,4.0,7.0546,3296.3689952648
1080.0,FW_E,E,3,RW_FW_E_S3,2,43.0,0.0,104.923116,1.346639,4.0,7.982837,3350.3365302403677
1080.0,FW_E,E,4,RW_FW_E_S4,2,43.0,0.0,111.455162,1.346639,4.0,7.982837,3558.913564218376
1080.0,FW_E,E,5,RW_FW_E_S5,2,19.0,0.0,98.564612,1.346639,4.0,3.5273,1390.6678236303999
1080.0,FW_E,E,6,RW_FW_E_S6,2,32.0,0.0,115.242224,1.346639,4.0,5.940716,2738.485295969536
1080.0,FW_E,E,7,RW_FW_E_S7,2,20.0,0.0,121.921336,1.346639,4.0,3.712948,1810.7503226341119
1080.0,FW_W,W,0,RW_FW_W_S0,26,61.0,0.0,91.408037,1.347212,4.0,11.319674,4138.836719279751
1080.0,FW_W,W,1,RW_FW_W_S1,26,50.0,0.0,113.876754,1.347212,4.0,9.278421,4226.385862901736
1080.0,FW_W,W,2,RW_FW_W_S2,26,50.0,1.0,92.906005,1.347212,4.0,9.278421,3448.0841112724197
1080.0,FW_W,W,3,RW_FW_W_S3,26,58.0,0.0,108.039261,1.347212,4.0,10.762968,4651.292435546592
1080.0,FW_W,W,4,RW_FW_W_S4,26,33.0,0.0,117.401697,1.347212,4.0,6.123758,2875.7583248693036
1080.0,FW_W,W,5,RW_FW_W_S5,26,37.0,0.0,98.229763,1.347212,4.0,6.866031,2697.7943915226124
1080.0,FW_W,W,6,RW_FW_W_S6,26,31.0,0.0,116.757146,1.347212,4.0,5.752621,2686.6384399186645
1080.0,FW_W,W,7,RW_FW_W_S7,26,30.0,0.0,118.954894,1.347212,4.0,5.567053,2648.9127980295275
1140.0,FW_E,E,0,RW_FW_E_S0,2,56.0,0.0,94.982039,1.346639,4.0,10.396253,3949.829231599468
1140.0,FW_E,E,1,RW_FW_E_S1,2,41.0,0.0,118.977176,1.346639,4.0,7.611543,3622.399564570272
1140.0,FW_E,E,2,RW_FW_E_S2,2,42.0,0.0,116.313544,1.346639,4.0,7.79719,3627.67520856544
1140.0,FW_E,E,3,RW_FW_E_S3,2,39.0,0.0,108.525699,1.346639,4.0,7.240248,3143.011900533408
1140.0,FW_E,E,4,RW_FW_E_S4,2,33.0,0.0,113.353583,1.346639,4.0,6.126363,2777.7807872345156
1140.0,FW_E,E,5,RW_FW_E_S5,2,31.0,0.0,99.497412,1.346639,4.0,5.755069,2290.457885525712
1140.0,FW_E,E,6,RW_FW_E_S6,2,28.0,0.0,122.8495,1.346639,4.0,5.198127,2554.3492115460003
1140.0,FW_E,E,7,RW_FW_E_S7,2,24.0,0.0,116.74208,1.346639,4.0,4.455537,2080.59462758784
1140.0,FW_W,W,0,RW_FW_W_S0,26,58.0,0.0,94.198686,1.347212,4.0,10.762968,4055.429772240192
1140.0,FW_W,W,1,RW_FW_W_S1,26,55.0,0.0,115.070009,1.347212,4.0,10.206263,4697.739101065468
1140.0,FW_W,W,2,RW_FW_W_S2,26,46.0,0.0,99.115793,1.347212,4.0,8.536147,3384.267916278284
1140.0,FW_W,W,3,RW_FW_W_S3,26,44.0,0.0,110.20006,1.347212,4.0,8.16501,3599.1383676024
1140.0,FW_W,W,4,RW_FW_W_S4,26,53.0,0.0,112.391548,1.347212,4.0,9.835126,4421.540143660192
1140.0,FW_W,W,5,RW_FW_W_S5,26,35.0,0.0,108.472621,1.347212,4.0,6.494895,2818.07313507918
1140.0,FW_W,W,6,RW_FW_W_S6,26,33.0,0.0,116.287415,1.347212,4.0,6.123758,2848.4639516222796
1140.0,FW_W,W,7,RW_FW_W_S7,26,35.0,0.0,117.608288,1.347212,4.0,6.494895,3055.41392675904
