scenario,sec,total_vph,urban_vph,freeway_vph,total_vs_peak_pct
original,0,16461.76,10301.76,6160.0,66.667
original,900,23516.8,14716.8,8800.0,95.238
original,1800,24692.64,15452.64,9240.0,100.0
original,2700,21165.12,13245.12,7920.0,85.714
original,3600,16461.76,10301.76,6160.0,66.667
original,4500,11758.4,7358.4,4400.0,47.619
peakplateau,0,16461.76,10301.76,6160.0,66.667
peakplateau,900,23516.8,14716.8,8800.0,95.238
peakplateau,1800,24692.64,15452.64,9240.0,100.0
peakplateau,2700,24692.64,15452.64,9240.0,100.0
peakplateau,3600,24692.64,15452.64,9240.0,100.0
peakplateau,4500,24692.64,15452.64,9240.0,100.0
