run,demand,sim_sec,link,segment,density_veh_km_lane,speed_kph,count
nocontrolstep_20260826,1.0,900.0,FW_E,0,7.240247757565316,110.14255646153845,39.0
nocontrolstep_20260826,1.0,900.0,FW_E,1,4.269889703179546,120.30336839130435,23.0
nocontrolstep_20260826,1.0,900.0,FW_E,2,5.198126595175099,120.39671378571428,28.0
nocontrolstep_20260826,1.0,900.0,FW_E,3,8.911074163157313,92.1109403125,48.0
nocontrolstep_20260826,1.0,900.0,FW_E,4,4.269889703179546,115.1403035652174,23.0
nocontrolstep_20260826,1.0,900.0,FW_E,5,5.569421351973321,81.67280116666667,30.0
nocontrolstep_20260826,1.0,900.0,FW_E,6,6.868953000767095,117.05851935135136,37.0
nocontrolstep_20260826,1.0,900.0,FW_E,7,6.497658243968874,121.56710765714286,35.0
nocontrolstep_20260826,1.0,900.0,FW_W,0,7.608305151676202,97.36902119512195,41.0
nocontrolstep_20260826,1.0,900.0,FW_W,1,7.422736733342636,118.85666995,40.0
nocontrolstep_20260826,1.0,900.0,FW_W,2,7.23716831500907,107.0076117948718,39.0
nocontrolstep_20260826,1.0,900.0,FW_W,3,9.278420916678295,110.7179713,50.0
nocontrolstep_20260826,1.0,900.0,FW_W,4,8.53614724334403,101.38975226086956,46.0
nocontrolstep_20260826,1.0,900.0,FW_W,5,9.278420916678295,69.04627064,50.0
nocontrolstep_20260826,1.0,900.0,FW_W,6,8.721715661677598,119.51209817021277,47.0
nocontrolstep_20260826,1.0,900.0,FW_W,7,5.195915713339845,117.02716507142857,28.0
nocontrolstep_20260826,1.0,1050.0,FW_E,0,8.911074163157313,102.56066650000001,48.0
nocontrolstep_20260826,1.0,1050.0,FW_E,1,7.6115425143635385,117.20202597560974,41.0
nocontrolstep_20260826,1.0,1050.0,FW_E,2,9.096721541556423,113.83638785714285,49.0
nocontrolstep_20260826,1.0,1050.0,FW_E,3,7.797189892762649,99.79821871428571,42.0
nocontrolstep_20260826,1.0,1050.0,FW_E,4,6.6833056223679845,107.39330044444445,36.0
