link,inside_omega,group,nc_ttt_veh_h,nc_slow_veh_h,cl_ttt_veh_h,cl_slow_veh_h,delta_ttt_veh_h,delta_slow_veh_h
1,False,urban_and_ramps,1.3725000000000889,0,1.4072222222223134,0,0.03472222222222454,0
2,True,freeway_E,837.5684722222095,299.23194444444584,813.5291666666648,277.06611111111624,-24.03930555554473,-22.1658333333296
3,False,urban_and_ramps,0.6897222222222714,0,0.6897222222222714,0,0.0,0
4,False,urban_and_ramps,0.143333333333331,0,0.14666666666666414,0,0.0033333333333331328,0
5,False,urban_and_ramps,0.23638888888888202,0,0.23638888888888202,0,0.0,0
6,False,urban_and_ramps,0.1647222222222182,0,0.1647222222222182,0,0.0,0
7,False,urban_and_ramps,0.08083333333333298,0,0.08527777777777724,0,0.004444444444444265,0
8,False,urban_and_ramps,0.04916666666666681,0,0.051944444444444605,0,0.0027777777777777957,0
12,False,urban_and_ramps,0.2238888888888829,0,0.22194444444443864,0,-0.0019444444444442488,0
13,False,urban_and_ramps,1.060000000000094,0,1.060000000000094,0,0.0,0
14,False,urban_and_ramps,0.3291666666666654,0,0.34694444444444433,0,0.017777777777778947,0
17,True,urban_and_ramps,0.019166666666666644,0,0.017222222222222187,0,-0.001944444444444457,0
18,True,urban_and_ramps,0.0016666666666666668,0,0.001388888888888889,0,-0.00027777777777777783,0
19,True,urban_and_ramps,0.005555555555555556,0,0.008333333333333331,0,0.0027777777777777757,0
20,False,urban_and_ramps,0.6255555555555883,0,0.6505555555555951,0,0.025000000000006795,0
21,True,urban_and_ramps,2.7687500000002756,1.1252777777778402,2.8716666666669575,1.2095833333334107,0.10291666666668187,0.08430555555557051
22,False,urban_and_ramps,0.2577777777777722,0,0.2588888888888832,0,0.0011111111111109517,0
23,False,urban_and_ramps,0.29861111111111033,0,0.3044444444444447,0,0.005833333333334356,0
24,True,freeway_E,135.53763888889063,0.020000000000000004,133.91166666666678,0.011388888888888872,-1.6259722222238508,-0.008611111111111132
25,False,urban_and_ramps,3.350277777778012,0,3.350277777778012,0,0.0,0
26,True,freeway_W,446.6618055555821,16.68472222222196,444.97958333335913,15.829722222222196,-1.682222222222947,-0.8549999999997642
27,False,urban_and_ramps,0.04611111111111126,0.0016666666666666668,0.04611111111111126,0.0016666666666666668,0.0,0.0
