run,start_sec,end_sec,meter,direction,merge_cell_index,approach_link,connector,mainline_link,connector_start_n,connector_end_n,connector_ttt_veh_h,connector_stopped_veh_h,connector_all_observed_entries,observed_approach_to_connector,observed_connector_to_mainline,approach_all_destinations_start_n,approach_all_destinations_end_n,approach_all_destinations_stopped_veh_h
nc,1800,1950,RM_C10480,FW_W,6,124,10480,26,0,0,0.023333333333333303,0.0,8,8,8,2,2,0.0
nc,1950,2100,RM_C10480,FW_W,6,124,10480,26,0,3,0.02069444444444443,0.0,8,8,5,2,5,0.0005555555555555556
nc,2100,2250,RM_C10480,FW_W,6,124,10480,26,3,1,0.04888888888888892,0.0011111111111111111,12,12,14,5,6,0.0
nc,2250,2400,RM_C10480,FW_W,6,124,10480,26,1,0,0.031249999999999993,0.0,8,8,9,6,4,0.0
nc,2400,2550,RM_C10480,FW_W,6,124,10480,26,0,0,0.042499999999999934,0.0,10,10,10,4,12,0.0006944444444444444
nc,2550,2700,RM_C10480,FW_W,6,124,10480,26,0,1,0.06263888888888883,0.0,17,17,16,12,5,0.0006944444444444445
nc,2700,2850,RM_C10480,FW_W,6,124,10480,26,1,2,0.04097222222222219,0.0,11,11,10,5,4,0.0011111111111111111
nc,2850,3000,RM_C10480,FW_W,6,124,10480,26,2,0,0.04361111111111105,0.0,13,13,15,4,6,0.0
nc,3000,3150,RM_C10480,FW_W,6,124,10480,26,0,5,0.04624999999999999,0.0,15,15,10,6,4,0.0
nc,3150,3300,RM_C10480,FW_W,6,124,10480,26,5,1,0.05666666666666661,0.0,15,15,19,4,2,0.0
nc,1800,1950,RM_C10482,FW_W,7,32,10482,120,3,4,0.14097222222222217,0.0,16,16,15,16,23,0.0
nc,1950,2100,RM_C10482,FW_W,7,32,10482,120,4,3,0.19097222222222202,0.0,20,20,21,23,15,0.0
nc,2100,2250,RM_C10482,FW_W,7,32,10482,120,3,5,0.11055555555555548,0.0,14,14,12,15,16,0.0
nc,2250,2400,RM_C10482,FW_W,7,32,10482,120,5,1,0.1552777777777774,0.0,15,15,19,16,24,0.0
nc,2400,2550,RM_C10482,FW_W,7,32,10482,120,1,10,0.21902777777777793,0.0,28,28,19,24,13,0.0
nc,2550,2700,RM_C10482,FW_W,7,32,10482,120,10,5,0.18125000000000008,0.0,16,16,21,13,24,0.0
nc,2700,2850,RM_C10482,FW_W,7,32,10482,120,5,5,0.18944444444444442,0.0,21,21,21,24,18,0.0
nc,2850,3000,RM_C10482,FW_W,7,32,10482,120,5,3,0.17305555555555555,0.0,18,18,20,18,14,0.0
nc,3000,3150,RM_C10482,FW_W,7,32,10482,120,3,7,0.15888888888888872,0.0,19,19,15,14,17,0.0
nc,3150,3300,RM_C10482,FW_W,7,32,10482,120,7,2,0.12124999999999984,0.0,11,11,16,17,9,0.0
nc,1800,1950,RM_C10646,FW_W,11,121,10646,120,5,6,0.15125,0.0,20,20,19,7,11,0.009444444444444443
nc,1950,2100,RM_C10646,FW_W,11,121,10646,120,6,8,0.19194444444444453,0.0,30,30,28,11,13,0.006111111111111111
nc,2100,2250,RM_C10646,FW_W,11,121,10646,120,8,10,0.2469444444444442,0.0,34,34,32,13,13,0.009722222222222217
nc,2250,2400,RM_C10646,FW_W,11,121,10646,120,10,7,0.2468055555555556,0.0005555555555555556,33,33,36,13,12,0.018055555555555526
nc,2400,2550,RM_C10646,FW_W,11,121,10646,120,7,10,0.22486111111111098,0.0,31,31,28,12,14,0.007500000000000001
nc,2550,2700,RM_C10646,FW_W,11,121,10646,120,10,6,0.2338888888888888,0.0,29,29,33,14,16,0.029722222222222205
nc,2700,2850,RM_C10646,FW_W,11,121,10646,120,6,8,0.2547222222222221,0.0,35,35,33,16,18,0.0447222222222222
nc,2850,3000,RM_C10646,FW_W,11,121,10646,120,8,9,0.2420833333333333,0.0,37,37,36,18,14,0.036666666666666646
nc,3000,3150,RM_C10646,FW_W,11,121,10646,120,9,4,0.21069444444444438,0.0,31,31,36,14,20,0.052083333333333315
nc,3150,3300,RM_C10646,FW_W,11,121,10646,120,4,8,0.220833333333333,0.0,36,36,32,20,12,0.033055555555555546
nc,1800,1950,RM_C10644,FW_W,13,69,10644,120,20,16,0.5038888888888886,0.0,24,24,28,31,39,0.0
nc,1950,2100,RM_C10644,FW_W,13,69,10644,120,16,12,0.5155555555555554,0.0005555555555555556,24,24,28,39,36,0.0
