run,start_sec,end_sec,meter,direction,merge_cell_index,approach_link,connector,mainline_link,connector_start_n,connector_end_n,connector_ttt_veh_h,connector_stopped_veh_h,connector_all_observed_entries,observed_approach_to_connector,observed_connector_to_mainline,approach_all_destinations_start_n,approach_all_destinations_end_n,approach_all_destinations_stopped_veh_h
nc,2100,2250,RM_C10644,FW_W,13,69,10644,120,12,14,0.47527777777777797,0.0,27,27,25,36,36,0.0
nc,2250,2400,RM_C10644,FW_W,13,69,10644,120,14,14,0.46305555555555633,0.0,23,23,23,36,29,0.0
nc,2400,2550,RM_C10644,FW_W,13,69,10644,120,14,13,0.6829166666666672,0.0022222222222222222,26,26,27,29,27,0.0
nc,2550,2700,RM_C10644,FW_W,13,69,10644,120,13,6,0.3195833333333335,0.0,16,16,23,27,31,0.0
nc,2700,2850,RM_C10644,FW_W,13,69,10644,120,6,12,0.4266666666666671,0.0011111111111111111,21,21,15,31,37,0.0005555555555555556
nc,2850,3000,RM_C10644,FW_W,13,69,10644,120,12,12,0.4736111111111108,0.0016666666666666666,24,24,24,37,28,0.0
nc,3000,3150,RM_C10644,FW_W,13,69,10644,120,12,7,0.43819444444444405,0.0,19,19,24,28,16,0.0
nc,3150,3300,RM_C10644,FW_W,13,69,10644,120,7,1,0.26222222222222213,0.0,11,11,17,16,34,0.0
nc,1800,1950,RM_C10639,FW_E,8,70,10639,2,2,0,0.06111111111111109,0.0005555555555555556,7,7,9,1,0,0.0
nc,1950,2100,RM_C10639,FW_E,8,70,10639,2,0,1,0.06402777777777764,0.007222222222222223,7,7,6,0,3,0.0
nc,2100,2250,RM_C10639,FW_E,8,70,10639,2,1,2,0.04319444444444441,0.0,6,6,5,3,2,0.0
nc,2250,2400,RM_C10639,FW_E,8,70,10639,2,2,3,0.044861111111111,0.013194444444444446,4,4,3,2,0,0.0
nc,2400,2550,RM_C10639,FW_E,8,70,10639,2,3,0,0.02541666666666661,0.0001388888888888889,2,2,5,0,1,0.0
nc,2550,2700,RM_C10639,FW_E,8,70,10639,2,0,2,0.035555555555555486,0.003888888888888889,5,5,3,1,1,0.0
nc,2700,2850,RM_C10639,FW_E,8,70,10639,2,2,3,0.04652777777777776,0.0,6,6,5,1,0,0.0
nc,2850,3000,RM_C10639,FW_E,8,70,10639,2,3,4,0.06513888888888873,0.002777777777777778,7,7,6,0,0,0.0
nc,3000,3150,RM_C10639,FW_E,8,70,10639,2,4,2,0.11222222222222228,0.031388888888888855,6,6,8,0,7,0.0
nc,3150,3300,RM_C10639,FW_E,8,70,10639,2,2,4,0.21250000000000022,0.09277777777777775,10,10,8,7,0,0.0
nc,1800,1950,RM_C10681,FW_E,9,68,10681,2,0,0,0.05472222222222219,0.0,10,10,10,0,0,0.0025
nc,1950,2100,RM_C10681,FW_E,9,68,10681,2,0,0,0.060833333333333336,0.0,11,11,11,0,0,0.0
nc,2100,2250,RM_C10681,FW_E,9,68,10681,2,0,0,0.06805555555555558,0.0,10,10,10,0,4,0.003888888888888889
nc,2250,2400,RM_C10681,FW_E,9,68,10681,2,0,0,0.031111111111111086,0.0,7,7,7,4,0,0.0008333333333333333
nc,2400,2550,RM_C10681,FW_E,9,68,10681,2,0,0,0.059444444444444404,0.0,11,11,11,0,1,0.0002777777777777778
nc,2550,2700,RM_C10681,FW_E,9,68,10681,2,0,0,0.07083333333333329,0.0,14,14,14,1,2,0.0033333333333333335
nc,2700,2850,RM_C10681,FW_E,9,68,10681,2,0,0,0.03944444444444447,0.0,6,6,6,2,5,0.013194444444444441
nc,2850,3000,RM_C10681,FW_E,9,68,10681,2,0,0,0.06499999999999999,0.0,10,10,10,5,4,0.01347222222222222
nc,3000,3150,RM_C10681,FW_E,9,68,10681,2,0,0,0.06888888888888887,0.0,11,11,11,4,0,0.0011111111111111111
nc,3150,3300,RM_C10681,FW_E,9,68,10681,2,0,0,0.035555555555555556,0.0,7,7,7,0,0,0.0
nc,1800,1950,RM_C10490,FW_E,13,129,10490,119,3,4,0.07902777777777772,0.0,12,12,11,4,4,0.0
nc,1950,2100,RM_C10490,FW_E,13,129,10490,119,4,1,0.0790277777777776,0.0,10,10,13,4,4,0.00041666666666666664
nc,2100,2250,RM_C10490,FW_E,13,129,10490,119,1,2,0.10458333333333342,0.0,15,15,14,4,5,0.0001388888888888889
nc,2250,2400,RM_C10490,FW_E,13,129,10490,119,2,0,0.05583333333333325,0.0,7,7,9,5,4,0.0
nc,2400,2550,RM_C10490,FW_E,13,129,10490,119,0,4,0.10277777777777769,0.0,14,14,10,4,3,0.0025
nc,2550,2700,RM_C10490,FW_E,13,129,10490,119,4,3,0.08236111111111108,0.0005555555555555556,12,12,13,3,4,0.0
nc,2700,2850,RM_C10490,FW_E,13,129,10490,119,3,2,0.13041666666666657,0.0,17,17,18,4,5,0.0
nc,2850,3000,RM_C10490,FW_E,13,129,10490,119,2,1,0.1084722222222224,0.0,15,15,16,5,4,0.0008333333333333334
nc,3000,3150,RM_C10490,FW_E,13,129,10490,119,1,4,0.09013888888888882,0.0,15,15,12,4,3,0.0
nc,3150,3300,RM_C10490,FW_E,13,129,10490,119,4,4,0.12222222222222213,0.0,19,19,19,3,2,0.0
nc,1800,1950,RM_C10484,FW_E,14,31,10484,24,9,9,0.2405555555555553,0.0,26,26,26,0,4,0.0
nc,1950,2100,RM_C10484,FW_E,14,31,10484,24,9,5,0.20611111111111102,0.0,18,18,22,4,3,0.0
nc,2100,2250,RM_C10484,FW_E,14,31,10484,24,5,2,0.15597222222222215,0.0,16,16,19,3,0,0.0
nc,2250,2400,RM_C10484,FW_E,14,31,10484,24,2,5,0.16791666666666652,0.0,20,20,17,0,2,0.0
nc,2400,2550,RM_C10484,FW_E,14,31,10484,24,5,1,0.19111111111111104,0.0,18,18,22,2,2,0.0005555555555555556
nc,2550,2700,RM_C10484,FW_E,14,31,10484,24,1,5,0.12333333333333331,0.0,17,17,13,2,0,0.0
nc,2700,2850,RM_C10484,FW_E,14,31,10484,24,5,6,0.18569444444444425,0.0,19,19,18,0,3,0.0
nc,2850,3000,RM_C10484,FW_E,14,31,10484,24,6,6,0.14305555555555535,0.0,18,18,18,3,0,0.0
nc,3000,3150,RM_C10484,FW_E,14,31,10484,24,6,3,0.1518055555555554,0.0,14,14,17,0,0,0.0
nc,3150,3300,RM_C10484,FW_E,14,31,10484,24,3,11,0.17472222222222222,0.0,22,22,14,0,3,0.0
cl,1800,1950,RM_C10480,FW_W,6,124,10480,26,1,0,0.038472222222222255,0.0,11,11,12,2,2,0.0
cl,1950,2100,RM_C10480,FW_W,6,124,10480,26,0,0,0.0413888888888889,0.0,12,12,12,2,3,0.0
cl,2100,2250,RM_C10480,FW_W,6,124,10480,26,0,0,0.03722222222222221,0.0,9,9,9,3,3,0.0002777777777777778
cl,2250,2400,RM_C10480,FW_W,6,124,10480,26,0,0,0.04166666666666664,0.0,10,10,10,3,3,0.0002777777777777778
cl,2400,2550,RM_C10480,FW_W,6,124,10480,26,0,0,0.04722222222222219,0.0,13,13,13,3,0,0.0
cl,2550,2700,RM_C10480,FW_W,6,124,10480,26,0,0,0.042777777777777824,0.0,12,12,12,0,5,0.0005555555555555556
cl,2700,2850,RM_C10480,FW_W,6,124,10480,26,0,0,0.03249999999999995,0.0,9,9,9,5,0,0.0
cl,2850,3000,RM_C10480,FW_W,6,124,10480,26,0,1,0.04013888888888889,0.0016666666666666668,10,10,9,0,6,0.0
cl,3000,3150,RM_C10480,FW_W,6,124,10480,26,1,0,0.03430555555555555,0.0,8,8,9,6,8,0.0
cl,3150,3300,RM_C10480,FW_W,6,124,10480,26,0,0,0.04027777777777775,0.0,11,11,11,8,3,0.0
cl,1800,1950,RM_C10482,FW_W,7,32,10482,120,3,4,0.14097222222222217,0.0,16,16,15,16,23,0.0
cl,1950,2100,RM_C10482,FW_W,7,32,10482,120,4,3,0.19097222222222202,0.0,20,20,21,23,15,0.0
cl,2100,2250,RM_C10482,FW_W,7,32,10482,120,3,5,0.11055555555555548,0.0,14,14,12,15,16,0.0
cl,2250,2400,RM_C10482,FW_W,7,32,10482,120,5,1,0.1552777777777774,0.0,15,15,19,16,24,0.0
cl,2400,2550,RM_C10482,FW_W,7,32,10482,120,1,10,0.21902777777777793,0.0,28,28,19,24,13,0.0
cl,2550,2700,RM_C10482,FW_W,7,32,10482,120,10,5,0.18152777777777787,0.0,16,16,21,13,24,0.0
cl,2700,2850,RM_C10482,FW_W,7,32,10482,120,5,5,0.18944444444444442,0.0,21,21,21,24,18,0.0
cl,2850,3000,RM_C10482,FW_W,7,32,10482,120,5,3,0.17305555555555555,0.0,18,18,20,18,14,0.0
cl,3000,3150,RM_C10482,FW_W,7,32,10482,120,3,7,0.15888888888888872,0.0,19,19,15,14,17,0.0
cl,3150,3300,RM_C10482,FW_W,7,32,10482,120,7,2,0.12124999999999984,0.0,11,11,16,17,9,0.0
cl,1800,1950,RM_C10646,FW_W,11,121,10646,120,0,0,0.16055555555555542,0.0,27,27,27,10,8,0.0033333333333333335
cl,1950,2100,RM_C10646,FW_W,11,121,10646,120,0,1,0.17208333333333334,0.0,28,28,27,8,11,0.017222222222222226
cl,2100,2250,RM_C10646,FW_W,11,121,10646,120,1,5,0.2388888888888889,0.0,36,36,32,11,10,0.01916666666666666
cl,2250,2400,RM_C10646,FW_W,11,121,10646,120,5,3,0.17305555555555552,0.0005555555555555556,34,34,36,10,17,0.05361111111111112
cl,2400,2550,RM_C10646,FW_W,11,121,10646,120,3,6,0.2620833333333333,0.0005555555555555556,40,40,37,17,8,0.038472222222222255
cl,2550,2700,RM_C10646,FW_W,11,121,10646,120,6,5,0.24736111111111095,0.0005555555555555556,35,35,36,8,11,0.01305555555555554
cl,2700,2850,RM_C10646,FW_W,11,121,10646,120,5,3,0.20555555555555555,0.0,31,31,33,11,8,0.010972222222222215
cl,2850,3000,RM_C10646,FW_W,11,121,10646,120,3,6,0.21263888888888888,0.0,34,34,31,8,14,0.016111111111111093
cl,3000,3150,RM_C10646,FW_W,11,121,10646,120,6,5,0.26263888888888876,0.0,34,34,35,14,9,0.04583333333333333
cl,3150,3300,RM_C10646,FW_W,11,121,10646,120,5,5,0.14861111111111092,0.0,25,25,25,9,9,0.005694444444444445
cl,1800,1950,RM_C10644,FW_W,13,69,10644,120,20,16,0.5047222222222221,0.0,24,24,28,31,39,0.0
cl,1950,2100,RM_C10644,FW_W,13,69,10644,120,16,12,0.5155555555555554,0.0005555555555555556,24,24,28,39,36,0.0
cl,2100,2250,RM_C10644,FW_W,13,69,10644,120,12,14,0.47527777777777797,0.0,27,27,25,36,36,0.0
cl,2250,2400,RM_C10644,FW_W,13,69,10644,120,14,14,0.46305555555555633,0.0,23,23,23,36,29,0.0
cl,2400,2550,RM_C10644,FW_W,13,69,10644,120,14,13,0.6829166666666672,0.0022222222222222222,26,26,27,29,27,0.0
cl,2550,2700,RM_C10644,FW_W,13,69,10644,120,13,6,0.3195833333333335,0.0,16,16,23,27,31,0.0
cl,2700,2850,RM_C10644,FW_W,13,69,10644,120,6,12,0.4266666666666671,0.0011111111111111111,21,21,15,31,37,0.0005555555555555556
cl,2850,3000,RM_C10644,FW_W,13,69,10644,120,12,12,0.4736111111111108,0.0016666666666666666,24,24,24,37,28,0.0
cl,3000,3150,RM_C10644,FW_W,13,69,10644,120,12,7,0.4384722222222219,0.0,19,19,24,28,16,0.0
cl,3150,3300,RM_C10644,FW_W,13,69,10644,120,7,1,0.26222222222222213,0.0,11,11,17,16,34,0.0
cl,1800,1950,RM_C10639,FW_E,8,70,10639,2,2,0,0.06444444444444433,0.0036111111111111114,7,7,9,3,2,0.0
cl,1950,2100,RM_C10639,FW_E,8,70,10639,2,0,1,0.05236111111111099,0.0,7,7,6,2,3,0.0
cl,2100,2250,RM_C10639,FW_E,8,70,10639,2,1,2,0.04319444444444441,0.0,6,6,5,3,4,0.0
cl,2250,2400,RM_C10639,FW_E,8,70,10639,2,2,2,0.027499999999999965,0.0,4,4,4,4,0,0.0
cl,2400,2550,RM_C10639,FW_E,8,70,10639,2,2,0,0.03249999999999991,0.0030555555555555557,2,2,4,0,4,0.0
cl,2550,2700,RM_C10639,FW_E,8,70,10639,2,0,2,0.03166666666666659,0.0016666666666666668,5,5,3,4,2,0.0
cl,2700,2850,RM_C10639,FW_E,8,70,10639,2,2,3,0.05347222222222223,0.003888888888888889,6,6,5,2,1,0.0
cl,2850,3000,RM_C10639,FW_E,8,70,10639,2,3,4,0.07597222222222222,0.009722222222222219,7,7,6,1,1,0.0
cl,3000,3150,RM_C10639,FW_E,8,70,10639,2,4,2,0.09499999999999985,0.018333333333333326,6,6,8,1,7,0.0
cl,3150,3300,RM_C10639,FW_E,8,70,10639,2,2,1,0.13680555555555557,0.021944444444444423,10,10,11,7,2,0.0
cl,1800,1950,RM_C10681,FW_E,9,68,10681,2,3,3,0.054166666666666655,0.0,8,8,8,4,6,0.0
cl,1950,2100,RM_C10681,FW_E,9,68,10681,2,3,2,0.09013888888888899,0.0,13,13,14,6,2,0.0008333333333333334
cl,2100,2250,RM_C10681,FW_E,9,68,10681,2,2,3,0.052083333333333336,0.0,10,10,9,2,3,0.0025
cl,2250,2400,RM_C10681,FW_E,9,68,10681,2,3,2,0.062361111111111124,0.0,11,11,12,3,5,0.00861111111111111
cl,2400,2550,RM_C10681,FW_E,9,68,10681,2,2,0,0.05000000000000007,0.0,8,8,10,5,0,0.026111111111111106
cl,2550,2700,RM_C10681,FW_E,9,68,10681,2,0,3,0.06986111111111115,0.0,15,15,12,0,0,0.0002777777777777778
cl,2700,2850,RM_C10681,FW_E,9,68,10681,2,3,0,0.03458333333333331,0.0,4,4,7,0,0,0.0005555555555555556
cl,2850,3000,RM_C10681,FW_E,9,68,10681,2,0,1,0.0743055555555556,0.0,13,13,12,0,3,0.0016666666666666668
cl,3000,3150,RM_C10681,FW_E,9,68,10681,2,1,0,0.035972222222222204,0.0,8,8,9,3,0,0.0
cl,3150,3300,RM_C10681,FW_E,9,68,10681,2,0,3,0.047083333333333276,0.0,9,9,6,0,0,0.0
cl,1800,1950,RM_C10490,FW_E,13,129,10490,119,2,3,0.07124999999999998,0.0,11,11,10,2,5,0.0
cl,1950,2100,RM_C10490,FW_E,13,129,10490,119,3,2,0.10097222222222206,0.0,13,13,14,5,4,0.0
cl,2100,2250,RM_C10490,FW_E,13,129,10490,119,2,2,0.07500000000000002,0.0,11,11,11,4,6,0.0002777777777777778
cl,2250,2400,RM_C10490,FW_E,13,129,10490,119,2,1,0.07041666666666661,0.0,8,8,9,6,4,0.0
cl,2400,2550,RM_C10490,FW_E,13,129,10490,119,1,3,0.10583333333333331,0.0,15,15,13,4,1,0.0002777777777777778
cl,2550,2700,RM_C10490,FW_E,13,129,10490,119,3,4,0.0748611111111111,0.0,11,11,10,1,3,0.0
cl,2700,2850,RM_C10490,FW_E,13,129,10490,119,4,1,0.12819444444444428,0.0,16,16,19,3,4,0.0
cl,2850,3000,RM_C10490,FW_E,13,129,10490,119,1,3,0.08694444444444449,0.0,12,12,10,4,4,0.0011111111111111111
cl,3000,3150,RM_C10490,FW_E,13,129,10490,119,3,4,0.08041666666666665,0.0,12,12,11,4,3,0.0
cl,3150,3300,RM_C10490,FW_E,13,129,10490,119,4,2,0.09861111111111091,0.0,12,12,14,3,1,0.0
cl,1800,1950,RM_C10484,FW_E,14,31,10484,24,8,6,0.18888888888888902,0.0,21,21,23,13,15,0.0
cl,1950,2100,RM_C10484,FW_E,14,31,10484,24,6,2,0.19749999999999993,0.0,18,18,22,15,11,0.0
cl,2100,2250,RM_C10484,FW_E,14,31,10484,24,2,1,0.1573611111111108,0.0,18,18,19,11,11,0.0
cl,2250,2400,RM_C10484,FW_E,14,31,10484,24,1,2,0.1706944444444441,0.0,20,20,19,11,8,0.0
cl,2400,2550,RM_C10484,FW_E,14,31,10484,24,2,3,0.1806944444444444,0.005277777777777778,17,17,16,8,12,0.0
cl,2550,2700,RM_C10484,FW_E,14,31,10484,24,3,3,0.12638888888888897,0.0,16,16,16,12,10,0.0
cl,2700,2850,RM_C10484,FW_E,14,31,10484,24,3,2,0.17958333333333287,0.0011111111111111111,18,18,19,10,14,0.0
cl,2850,3000,RM_C10484,FW_E,14,31,10484,24,2,5,0.1793055555555556,0.0,21,21,18,14,10,0.0
cl,3000,3150,RM_C10484,FW_E,14,31,10484,24,5,3,0.1158333333333334,0.0,12,12,14,10,10,0.0
cl,3150,3300,RM_C10484,FW_E,14,31,10484,24,3,8,0.2026388888888889,0.0,23,23,18,10,3,0.0
