input_no,start_sec,volume_vph
114,0,54.88
114,900,78.4
114,1800,82.32
114,2700,70.56
114,3600,54.88
114,4500,39.2
194,0,27.16
194,900,38.8
194,1800,40.74
194,2700,34.92
194,3600,27.16
194,4500,19.4
282,0,43.96
282,900,62.8
282,1800,65.94
282,2700,56.52
282,3600,43.96
282,4500,31.4
1013,0,292.88
1013,900,418.4
1013,1800,439.32
1013,2700,376.56
1013,3600,292.88
1013,4500,209.2
1023,0,208.04
1023,900,297.2
1023,1800,312.06
1023,2700,267.48
1023,3600,208.04
1023,4500,148.6
1032,0,625.24
1032,900,893.2
1032,1800,937.86
1032,2700,803.88
1032,3600,625.24
1032,4500,446.6
1033,0,267.96
1033,900,382.8
1033,1800,401.94
1033,2700,344.52
1033,3600,267.96
1033,4500,191.4
1052,0,103.6
1052,900,148.0
1052,1800,155.4
1052,2700,133.2
1052,3600,103.6
1052,4500,74.0
1053,0,253.4
1053,900,362.0
1053,1800,380.1
1053,2700,325.8
1053,3600,253.4
1053,4500,181.0
1054,0,249.76
1054,900,356.8
1054,1800,374.64
1054,2700,321.12
1054,3600,249.76
1054,4500,178.4
1064,0,134.68
1064,900,192.4
1064,1800,202.02
1064,2700,173.16
1064,3600,134.68
1064,4500,96.2
1065,0,445.2
1065,900,636.0
1065,1800,667.8
1065,2700,572.4
1065,3600,445.2
1065,4500,318.0
1074,0,298.48
1074,900,426.4
1074,1800,447.72
1074,2700,383.76
1074,3600,298.48
1074,4500,213.2
1082,0,448.56
1082,900,640.8
1082,1800,672.84
1082,2700,576.72
1082,3600,448.56
1082,4500,320.4
1083,0,140.0
1083,900,200.0
1083,1800,210.0
1083,2700,180.0
1083,3600,140.0
1083,4500,100.0
1085,0,140.0
1085,900,200.0
1085,1800,210.0
1085,2700,180.0
1085,3600,140.0
1085,4500,100.0
1086,0,98.0
1086,900,140.0
1086,1800,147.0
1086,2700,126.0
1086,3600,98.0
1086,4500,70.0
1087,0,98.0
1087,900,140.0
1087,1800,147.0
1087,2700,126.0
1087,3600,98.0
1087,4500,70.0
1091,0,56.0
1091,900,80.0
1091,1800,84.0
1091,2700,72.0
1091,3600,56.0
1091,4500,40.0
1092,0,21.0
1092,900,30.0
1092,1800,31.5
1092,2700,27.0
1092,3600,21.0
1092,4500,15.0
1093,0,21.0
1093,900,30.0
1093,1800,31.5
1093,2700,27.0
1093,3600,21.0
1093,4500,15.0
1095,0,84.0
1095,900,120.0
1095,1800,126.0
1095,2700,108.0
1095,3600,84.0
1095,4500,60.0
1096,0,28.0
1096,900,40.0
1096,1800,42.0
1096,2700,36.0
1096,3600,28.0
1096,4500,20.0
1097,0,56.0
1097,900,80.0
1097,1800,84.0
1097,2700,72.0
1097,3600,56.0
1097,4500,40.0
1098,0,3695.8521600000004
1098,900,5279.7888
1098,1800,5543.778240000001
1098,2700,4751.809920000001
1098,3600,3695.8521600000004
1098,4500,2639.8944
1099,0,3695.8521600000004
1099,900,5279.7888
1099,1800,5543.778240000001
1099,2700,4751.809920000001
1099,3600,3695.8521600000004
1099,4500,2639.8944
1100,0,283.08
1100,900,404.4
1100,1800,424.62
1100,2700,363.96
1100,3600,283.08
1100,4500,202.2
1101,0,467.0
1101,900,666.5
1101,1800,700.0
1101,2700,600.0
1101,3600,467.0
1101,4500,333.5
1102,0,466.5
1102,900,666.5
1102,1800,700.0
1102,2700,600.0
1102,3600,466.5
1102,4500,333.5
1103,0,84.0
1103,900,120.0
1103,1800,126.0
1103,2700,108.0
1103,3600,84.0
1103,4500,60.0
1104,0,28.0
1104,900,40.0
1104,1800,42.0
1104,2700,36.0
1104,3600,28.0
1104,4500,20.0
1105,0,283.08
1105,900,404.4
1105,1800,424.62
1105,2700,363.96
1105,3600,283.08
1105,4500,202.2
1106,0,283.08
1106,900,404.4
1106,1800,424.62
1106,2700,363.96
1106,3600,283.08
1106,4500,202.2
1107,0,283.08
1107,900,404.4
1107,1800,424.62
1107,2700,363.96
1107,3600,283.08
1107,4500,202.2
