sim_sec,controller_mode,dsd_no,section,link,lane,set_speed_kph,car_read_kph,hgv_read_kph,bus_read_kph
15,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
15,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
15,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
15,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
15,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
20,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
20,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
20,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
20,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
20,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
20,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
20,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
20,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
20,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
20,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
20,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
20,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
20,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
20,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
20,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
20,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
25,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
25,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
25,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
25,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
25,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
25,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
25,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
25,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
25,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
25,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
25,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
25,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
25,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
25,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
25,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
25,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
30,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
30,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
30,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
30,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
30,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
30,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
30,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
30,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
30,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
30,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
30,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
30,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
30,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
30,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
30,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
30,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
35,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
35,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
35,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
35,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
35,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
35,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
35,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
35,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
35,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
35,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
35,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
35,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
35,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
35,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
35,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
35,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
40,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
40,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
40,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
40,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
40,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
40,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
40,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
40,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
40,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
40,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
40,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
40,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
40,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
40,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
40,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
40,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
45,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
45,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
45,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
45,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
45,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
45,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
45,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
45,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
45,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
45,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
45,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
45,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
45,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
45,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
45,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
45,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
50,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
50,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
50,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
50,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
50,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
50,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
50,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
50,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
50,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
50,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
50,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
50,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
50,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
50,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
50,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
50,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
55,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,120,120,120,120
55,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,120,120,120,120
55,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,120,120,120,120
55,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,120,120,120,120
55,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,120,120,120,120
55,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,120,120,120,120
55,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,120,120,120,120
55,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,120,120,120,120
55,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,120,120,120,120
55,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,120,120,120,120
55,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,120,120,120,120
55,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,120,120,120,120
55,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,120,120,120,120
55,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,120,120,120,120
55,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,120,120,120,120
55,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,120,120,120,120
60,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
60,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
60,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
60,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
60,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
60,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
60,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
60,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
60,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
60,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
60,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
60,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
60,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
60,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
60,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
60,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
65,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
65,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
65,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
65,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
65,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
65,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
65,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
65,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
65,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
65,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
65,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
65,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
65,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
65,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
65,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
65,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
70,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
70,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
70,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
70,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
70,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
70,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
70,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
70,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
70,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
70,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
70,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
70,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
70,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
70,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
70,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
70,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
75,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
75,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
75,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
75,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
75,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
75,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
75,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
75,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
75,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
75,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
75,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
75,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
75,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
75,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
75,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
75,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
80,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
80,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
80,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
80,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
80,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
80,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
80,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
80,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
80,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
80,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
80,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
80,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
80,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
80,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
80,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
80,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
85,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
85,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
85,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
85,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
85,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
85,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
85,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
85,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
85,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
85,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
85,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
85,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
85,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
85,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
85,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
85,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
90,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
90,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
90,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
90,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
90,COM_VSL_STEP_TEST,5,EB_PRE_F,33,1,100,100,100,100
90,COM_VSL_STEP_TEST,6,EB_PRE_F,33,2,100,100,100,100
90,COM_VSL_STEP_TEST,7,EB_F_BOT,33,1,80,80,80,80
90,COM_VSL_STEP_TEST,8,EB_F_BOT,33,2,80,80,80,80
90,COM_VSL_STEP_TEST,9,WB_PRE_F,34,1,100,100,100,100
90,COM_VSL_STEP_TEST,10,WB_PRE_F,34,2,100,100,100,100
90,COM_VSL_STEP_TEST,11,WB_F_BOT,34,1,80,80,80,80
90,COM_VSL_STEP_TEST,12,WB_F_BOT,34,2,80,80,80,80
90,COM_VSL_STEP_TEST,13,WB_PRE_D,34,1,100,100,100,100
90,COM_VSL_STEP_TEST,14,WB_PRE_D,34,2,100,100,100,100
90,COM_VSL_STEP_TEST,15,WB_D_BOT,34,1,80,80,80,80
90,COM_VSL_STEP_TEST,16,WB_D_BOT,34,2,80,80,80,80
95,COM_VSL_STEP_TEST,1,EB_PRE_D,33,1,100,100,100,100
95,COM_VSL_STEP_TEST,2,EB_PRE_D,33,2,100,100,100,100
95,COM_VSL_STEP_TEST,3,EB_D_BOT,33,1,80,80,80,80
95,COM_VSL_STEP_TEST,4,EB_D_BOT,33,2,80,80,80,80
