input_no,head,road,sg,lane,green_start_sec,green_end_sec,departure_ordinal,previous_vehicle_id,vehicle_id,linear_estimate_headway_sec,lower_headway_sec,upper_headway_sec,all_prehead_queued,near20_queued,downstream_stopped_witness,ambiguous_crossing_count,both_departures_previously_stopped_same_lane,minimum_nearest_stopped_distance_m,maximum_nearest_stopped_distance_m,queued_after_third_departure,qualified_broad_only
90030875,90030875,66,3,4,349,372,6,253,237,1.7975432255864234,1,3,True,False,False,0,True,60.667367307855784,66.7373673078555,False,True
90030875,90030875,66,3,4,349,372,7,237,11,2.9656004520171564,2,4,True,False,False,0,True,73.00736730785547,84.17736730785555,False,True
90030875,90030875,66,3,4,349,372,8,11,88,2.317306939835703,1,3,False,False,False,0,True,90.8373673078554,90.8373673078554,False,False
90030875,90030875,66,3,4,349,372,9,88,365,2.2703287570987527,1,3,False,False,False,0,True,,,False,False
90030875,90030875,66,3,4,349,372,10,365,444,1.9335073978504056,1,3,False,False,False,0,True,,,False,False
90030875,90030875,66,3,4,349,372,11,444,673,1.9078004630044916,1,3,False,False,False,0,True,,,False,False
90030875,90030875,66,3,4,499,522,2,856,701,2.7081100463947223,2,4,False,False,False,0,True,7.047367307855438,18.787367307855675,False,False
90030875,90030875,66,3,4,499,522,3,701,911,3.1769877807139437,2,4,False,False,False,0,True,24.017367307855693,35.537367307855675,False,False
90030875,90030875,66,3,4,499,522,4,911,945,1.4199564652526533,0.0,2,True,False,False,0,True,41.55736730785566,41.55736730785566,False,True
90030875,90030875,66,3,4,499,522,5,945,1009,1.418021694900517,1,3,True,False,False,0,True,47.21736730785551,53.137367307855584,False,True
90030875,90030875,66,3,4,499,522,6,1009,1016,1.986123068354516,1,3,True,False,False,0,True,59.20736730785575,65.77736730785546,False,True
90030875,90030875,66,3,4,499,522,7,1016,951,1.757890404652585,1,3,True,False,False,0,True,63.49736730785571,71.09736730785562,False,True
90030875,90030875,66,3,4,499,522,8,951,1047,1.5504085866900823,0.0,2,True,False,False,0,True,76.7373673078555,76.7373673078555,False,True
90030875,90030875,66,3,4,499,522,9,1047,1054,2.1248420907101035,1,3,True,False,False,0,True,82.90736730785557,89.0173673078557,False,True
90030875,90030875,66,3,4,499,522,10,1054,1134,2.020161142465213,1,3,True,False,False,0,True,94.31736730785542,94.95736730785575,False,True
90030875,90030875,66,3,4,499,522,11,1134,1083,1.8227628641867568,1,3,True,False,False,0,True,93.29736730785544,106.27736730785546,False,True
90030875,90030875,66,3,4,499,522,12,1083,1129,1.7733953802404585,1,3,True,False,False,0,True,106.27736730785546,111.90736730785557,False,True
90030875,90030875,66,3,4,649,672,2,1309,1327,3.235406504485468,3,5,False,False,False,0,True,7.137367307855584,13.077367307855639,False,False
90030875,90030875,66,3,4,649,672,3,1327,1455,2.1593762154249134,1,3,False,False,False,0,True,24.417367307855784,30.037367307855675,False,False
90030875,90030875,66,3,4,649,672,4,1455,1522,1.8092154522634019,1,3,True,False,False,0,True,35.5873673078554,41.73736730785549,False,True
90030875,90030875,66,3,4,649,672,5,1522,1646,2.003192381455051,1,3,True,False,False,0,True,47.357367307855384,53.59736730785562,False,True
90030875,90030875,66,3,4,649,672,6,1646,1677,1.8029957487494812,0.0,2,True,False,False,0,True,59.07736730785564,59.07736730785564,False,True
90030875,90030875,66,3,4,649,672,7,1677,1721,1.6444042303253354,1,3,True,False,False,0,True,65.62736730785582,72.16736730785578,False,True
90030875,90030875,66,3,4,649,672,8,1721,1692,1.817482330860571,1,3,True,False,False,0,True,53.857367307855384,60.917367307855784,False,True
90030875,90030875,66,3,4,649,672,9,1692,1814,1.7087143503588322,0.0,2,True,False,False,0,True,59.70736730785575,59.70736730785575,False,True
90030875,90030875,66,3,4,649,672,10,1814,1893,1.8290263855637932,1,3,True,False,False,0,True,74.96736730785551,82.15736730785557,False,True
90030875,90030875,66,3,4,649,672,11,1893,1967,1.5704123892670623,1,3,True,False,False,0,True,96.13736730785558,96.13736730785558,False,True
90030875,90030875,66,3,4,649,672,12,1967,1946,2.1493254741056944,1,3,True,False,False,0,True,102.37736730785582,108.35736730785538,False,True
90030875,90030875,66,3,4,799,822,2,1913,1979,2.8182005087596735,2,4,False,False,False,0,True,7.787367307855675,19.24736730785571,False,False
90030875,90030875,66,3,4,799,822,3,1979,2011,2.354353494596694,1,3,False,False,False,0,True,25.517367307855693,31.47736730785573,False,False
90030875,90030875,66,3,4,799,822,4,2011,2068,1.8940805024994916,1,3,True,False,False,0,True,37.87736730785582,44.407367307855566,False,True
90030875,90030875,66,3,4,799,822,5,2068,2133,2.040659464238388,1,3,True,False,False,0,True,50.507367307855475,56.537367307855675,False,True
90030875,90030875,66,3,4,799,822,6,2133,2144,1.9077313074147924,1,3,True,False,False,0,True,61.907367307855566,67.67736730785555,False,True
90030875,90030875,66,3,4,799,822,7,2144,2184,1.9431778329543477,1,3,True,False,False,0,True,48.99736730785571,50.12736730785582,False,True
90030875,90030875,66,3,4,799,822,8,2184,2162,1.9638579780802274,1,3,True,False,False,0,True,54.98736730785549,60.73736730785549,False,True
90030875,90030875,66,3,4,799,822,9,2162,2178,1.723396441407317,1,3,True,False,False,0,True,59.3673673078556,97.80736730785566,False,True
90030875,90030875,66,3,4,799,822,10,2178,2319,1.474373522867495,0.0,2,True,False,False,0,True,79.7673673078557,79.7673673078557,False,True
90030875,90030875,66,3,4,799,822,11,2319,2395,1.5174125906921745,1,3,True,False,False,0,True,87.29736730785544,103.53736730785567,False,True
90030875,90030875,66,3,4,799,822,12,2395,2521,2.1276981878108927,1,3,True,False,False,0,True,103.07736730785564,108.66736730785578,False,True
90030875,90030875,66,3,4,949,972,2,2275,2643,3.6286277133641534,3,5,False,False,False,0,True,12.707367307855748,24.37736730785582,False,False
90030875,90030875,66,3,4,949,972,3,2643,2652,1.8004176986361244,1,3,False,False,False,0,True,29.657367307855566,30.31736730785542,False,False
90030875,90030875,66,3,4,949,972,4,2652,2651,2.104262858245079,1,3,True,False,False,0,True,35.5873673078554,41.31736730785542,False,True
90030875,90030875,66,3,4,949,972,5,2651,2734,1.9114485933960168,1,3,True,False,False,0,True,47.5873673078554,58.907367307855566,False,True
90030875,90030875,66,3,4,949,972,6,2734,2773,1.610261471294507,0.0,2,True,False,False,0,True,63.67736730785555,63.67736730785555,False,True
90030875,90030875,66,3,4,949,972,7,2773,2831,2.126590106827962,2,4,True,False,False,0,True,63.3973673078558,74.82736730785564,False,True
90030875,90030875,66,3,4,949,972,8,2831,2683,3.005861830058734,2,4,True,False,False,0,True,80.8973673078558,93.21736730785551,False,True
90030875,90030875,66,3,4,949,972,9,2683,3042,2.0281749891787513,1,3,True,False,False,0,True,98.9873673078555,105.05736730785566,False,True
90030875,90030875,66,3,4,949,972,10,3042,3082,1.5045240668259794,0.0,2,True,False,False,0,True,104.6473673078558,104.6473673078558,False,True
90030875,90030875,66,3,4,949,972,11,3082,3194,1.1421186730094632,0.0,2,True,False,False,0,True,110.65736730785557,110.65736730785557,False,True
90030875,90030875,66,3,4,1099,1122,2,3148,3293,2.4438060378092814,2,4,False,False,False,0,True,6.8273673078556385,19.07736730785564,False,False
90030875,90030875,66,3,4,1099,1122,3,3293,3322,2.368612291295449,1,3,False,False,False,0,True,25.157367307855566,30.707367307855748,False,False
90030875,90030875,66,3,4,1099,1122,4,3322,3394,2.072579297667062,1,3,True,False,False,0,True,36.3973673078558,41.57736730785564,False,True
90030875,90030875,66,3,4,1099,1122,5,3394,3355,2.069765649969213,1,3,True,False,False,0,True,41.57736730785564,45.02736730785546,False,True
90030875,90030875,66,3,4,1099,1122,6,3355,3349,1.7115767173186214,1,3,True,False,False,0,True,45.02736730785546,50.757367307855475,False,True
90030875,90030875,66,3,4,1099,1122,7,3349,3445,1.8858641103881837,1,3,True,False,False,0,True,56.55736730785566,63.12736730785582,False,True
90030875,90030875,66,3,4,1099,1122,8,3445,3561,1.5321419436224915,0.0,2,True,False,False,0,True,69.02736730785546,69.02736730785546,False,True
90030875,90030875,66,3,4,1099,1122,9,3561,3511,1.5226710487638684,1,3,True,False,False,0,True,67.74736730785571,68.56736730785542,False,True
90030875,90030875,66,3,4,1099,1122,10,3511,3690,1.6724748536328207,0.0,2,True,False,False,0,True,73.80736730785566,73.80736730785566,False,True
90030875,90030875,66,3,4,1099,1122,11,3690,3712,1.8456559598948843,1,3,True,False,False,0,True,79.9873673078555,85.80736730785566,False,True
90030875,90030875,66,3,4,1099,1122,12,3712,3719,1.8735428839329415,1,3,True,False,False,0,True,91.21736730785551,97.6173673078556,False,True
90030875,90030875,66,3,4,1249,1272,2,3776,3914,2.484794025966721,2,4,False,False,False,0,True,6.81736730785542,18.557367307855657,False,False
90030875,90030875,66,3,4,1249,1272,3,3914,4003,2.2499320565423204,1,3,False,False,False,0,True,23.72736730785573,29.277367307855457,False,False
90030875,90030875,66,3,4,1249,1272,4,4003,4122,2.3422225661240645,1,3,True,False,False,0,True,34.84736730785562,40.1173673078556,False,True
90030875,90030875,66,3,4,1249,1272,5,4122,4127,1.8026123814599941,1,3,True,False,False,0,True,45.5873673078554,51.8673673078556,False,True
90030875,90030875,66,3,4,1249,1272,6,4127,4287,2.166961816684079,1,3,True,False,False,0,True,58.1473673078558,64.1173673078556,False,True
