vehicle_id,link,lower_sec,upper_sec,lane_before,pos_before_m,lane_after,pos_after_m,to_link,head,SC,sg,lane,pos_m,road,post_head_connectors,pre_head_bypasses,linear_estimate_sec,method,kind,guaranteed_green,input_no,physical_resource,prior_same_lane_stopped_samples,nearest_prior_stopped_distance_m,repeated_head_vehicle_id,observed_subsequent_connector,resource_join_verified,connector,branch_connector
5,71,225,226,2,77.83,2,79.58,71,90030882,1004,2,2,78.87435771713787,71,['10634'],[],225.5967758383645,same_source_position_bracket,head_crossing,True,90030882,10634,13,1.0443577171378706,False,10634,True,,
116,71,225,226,3,77.64,3,79.3,71,90030881,1004,2,3,78.91142117780679,71,['10634'],[],225.76591637217277,same_source_position_bracket,head_crossing,True,90030881,10634,38,1.2714211778067863,False,10634,True,,
229,71,227,228,3,74.37,3,79.32,71,90030881,1004,2,3,78.91142117780679,71,['10634'],[],227.91745882379936,same_source_position_bracket,head_crossing,True,90030881,10634,35,6.261421177806781,False,10634,True,,
279,71,229,230,3,73.08,3,79.61,71,90030881,1004,2,3,78.91142117780679,71,['10634'],[],229.89302008848497,same_source_position_bracket,head_crossing,True,90030881,10634,32,11.821421177806783,False,10634,True,,
331,71,231,232,3,73.33,3,0.27,10634,90030881,1004,2,3,78.91142117780679,71,['10634'],[],231.68248253318214,source_to_observed_connector_bracket,head_crossing,True,90030881,10634,16,17.051421177806787,False,10634,True,10634,10634
301,71,248,249,2,73.62,2,16.68,10634,90030882,1004,2,2,78.87435771713787,71,['10634'],[],248.21624548024903,source_to_observed_connector_bracket,head_crossing,True,90030882,10634,0,,False,10634,True,10634,10634
4,71,273,274,4,77.91,4,79.58,71,90030880,1004,5,4,78.86932923744655,71,['10635'],[],273.5744486451776,same_source_position_bracket,head_crossing,True,90030880,10635,120,0.9593292374465534,False,10635,True,,
203,71,273,274,5,78.05,5,79.8,71,90030879,1004,5,5,78.9296892094976,71,['10635'],[],273.50267954828433,same_source_position_bracket,head_crossing,True,90030879,10635,13,0.8796892094975988,False,10635,True,,
230,71,276,277,5,74.69,5,79.6,71,90030879,1004,5,5,78.9296892094976,71,['10635'],[],276.8634804907327,same_source_position_bracket,head_crossing,True,90030879,10635,3,6.309689209497591,False,10635,True,,
594,71,277,278,4,78.48,1,3.52,10635,90030880,1004,5,4,78.86932923744655,71,['10635'],[],277.0656941093589,source_to_observed_connector_bracket,head_crossing,True,90030880,10635,0,,False,10635,True,10635,10635
193,71,280,281,5,72.85,2,1.85,10635,90030879,1004,5,5,78.9296892094976,71,['10635'],[],280.61495512216044,source_to_observed_connector_bracket,head_crossing,True,90030879,10635,0,,False,10635,True,10635,10635
267,71,284,285,4,77.49,1,10.94,10635,90030880,1004,5,4,78.86932923744655,71,['10635'],[],284.09621172149576,source_to_observed_connector_bracket,head_crossing,True,90030880,10635,0,,False,10635,True,10635,10635
461,71,296,297,4,64.62,1,1.92,10635,90030880,1004,5,4,78.86932923744655,71,['10635'],[],296.78351588000913,source_to_observed_connector_bracket,head_crossing,True,90030880,10635,0,,False,10635,True,10635,10635
6,66,300,301,1,2657.77,1,2659.52,66,90030878,1004,8,1,2658.8419334135556,66,['10631'],['10632'],300.61253337917464,same_source_position_bracket,head_crossing,True,90030878,10631,73,1.0719334135555982,False,10631,True,,
364,66,300,301,3,2657.89,3,2659.64,66,90030876,1004,8,3,2658.7703026862664,66,['10631'],[],300.503030106438,same_source_position_bracket,head_crossing,True,90030876,10631,18,0.880302686266532,False,10631,True,,
540,66,326,327,1,2656.88,1,7.83,10631,90030878,1004,8,1,2658.8419334135556,66,['10631'],['10632'],326.18077973474766,source_to_observed_connector_bracket,head_crossing,True,90030878,10631,0,,False,10631,True,10631,10631
70,66,349,350,4,2657.55,4,2659.18,66,90030875,1004,3,4,2658.6173673078556,66,['10633'],[],349.6548265692366,same_source_position_bracket,head_crossing,True,90030875,10633,108,1.0673673078554202,False,10633,True,,
220,66,352,353,4,2657.64,1,3.11,10633,90030875,1004,3,4,2658.6173673078556,66,['10633'],[],352.1784008445943,source_to_observed_connector_bracket,head_crossing,True,90030875,10633,96,6.457367307855748,False,10633,True,10633,10633
