run,start_sec,end_sec,kind,estimated_count_observed,estimated_count_inferred,definitely_within_observed,possibly_within_observed,interval_only_observed,ambiguous_crossing_lane_count,later_endpoint_lane_1,later_endpoint_lane_2,later_endpoint_lane_3,later_endpoint_lane_4
zero,3150,3300,diverge_before_1m,101,0,101,101,0,1,44,0,1,56
zero,3150,3300,diverge_after_1m,68,0,68,68,0,1,11,0,1,56
zero,3150,3300,connector_10682_entry,33,0,33,33,0,0,0,0,0,0
zero,3150,3300,connector_10682_exit,32,0,32,32,0,0,0,0,0,0
zero,3150,3300,connector_10639_exit,12,0,12,12,0,0,0,0,0,0
zero,3150,3300,connector_10681_exit,13,0,13,13,0,0,0,0,0,0
zero,3300,3450,e8_e9,120,0,120,120,0,0,31,12,5,72
zero,3300,3450,diverge_before_1m,121,0,121,121,0,2,49,1,0,71
zero,3300,3450,diverge_after_1m,89,0,89,89,0,0,17,1,0,71
zero,3300,3450,connector_10682_entry,32,0,32,32,0,0,0,0,0,0
zero,3300,3450,connector_10682_exit,32,0,32,32,0,0,0,0,0,0
zero,3300,3450,connector_10639_exit,15,0,15,15,0,0,0,0,0,0
zero,3300,3450,connector_10681_exit,6,0,6,6,0,0,0,0,0,0
offset10,1050,1200,e8_e9,190,0,190,190,0,5,41,40,48,61
offset10,1050,1200,diverge_before_1m,192,0,192,192,0,3,46,43,48,55
offset10,1050,1200,diverge_after_1m,146,0,146,146,0,4,0,44,47,55
offset10,1050,1200,connector_10682_entry,46,0,46,46,0,0,0,0,0,0
offset10,1050,1200,connector_10682_exit,45,0,45,45,0,0,0,0,0,0
offset10,1050,1200,connector_10639_exit,8,0,8,8,0,0,0,0,0,0
offset10,1050,1200,connector_10681_exit,13,0,13,13,0,0,0,0,0,0
offset10,1200,1350,e8_e9,189,0,189,189,0,7,41,42,43,63
offset10,1200,1350,diverge_before_1m,181,0,181,181,0,11,35,36,51,59
offset10,1200,1350,diverge_after_1m,147,0,147,147,0,12,1,36,52,58
offset10,1200,1350,connector_10682_entry,34,0,34,34,0,0,0,0,0,0
offset10,1200,1350,connector_10682_exit,34,0,34,34,0,0,0,0,0,0
offset10,1200,1350,connector_10639_exit,9,0,9,9,0,0,0,0,0,0
offset10,1200,1350,connector_10681_exit,14,0,14,14,0,0,0,0,0,0
offset10,3150,3300,e8_e9,120,0,120,120,0,0,27,9,7,77
offset10,3150,3300,diverge_before_1m,113,0,113,113,0,1,37,1,0,75
offset10,3150,3300,diverge_after_1m,83,0,83,83,0,0,7,1,0,75
offset10,3150,3300,connector_10682_entry,30,0,30,30,0,0,0,0,0,0
offset10,3150,3300,connector_10682_exit,31,0,31,31,0,0,0,0,0,0
offset10,3150,3300,connector_10639_exit,7,0,7,7,0,0,0,0,0,0
offset10,3150,3300,connector_10681_exit,11,0,11,11,0,0,0,0,0,0
offset10,3300,3450,e8_e9,106,0,106,106,0,0,21,9,9,67
offset10,3300,3450,diverge_before_1m,108,0,108,108,0,1,41,0,0,67
offset10,3300,3450,diverge_after_1m,76,0,76,76,0,0,9,0,0,67
offset10,3300,3450,connector_10682_entry,32,0,32,32,0,0,0,0,0,0
offset10,3300,3450,connector_10682_exit,31,0,31,31,0,0,0,0,0,0
offset10,3300,3450,connector_10639_exit,9,0,9,9,0,0,0,0,0,0
offset10,3300,3450,connector_10681_exit,8,0,8,8,0,0,0,0,0,0
