group,decision,signal_weight,direct_weight,through_weight,total_off_prior,current_total_ratio,model_cell,model_accepted_veh,model_gross_sending_integral_veh,observed_branch_entries_veh,blocked_veh,fixed_q_algebra_native_weights_veh
OR_F_E,1130,1.6,4.0,8.0,0.4117647058823529,0.2,8,38.512834373528996,192.56417186764494,68,0.0,79.29112959255967
OR_D_E,1131,4.0,3.0,8.0,0.4666666666666667,0.2,13,26.888184369458653,134.44092184729323,67,0.0,62.73909686207018
OR_D_W,1132,3.0,3.0,10.0,0.375,0.2,6,42.81232592246575,214.06162961232874,77,0.0,80.27311110462328
OR_F_W,1133,1.0,3.0,8.0,0.3333333333333333,0.2,11,33.14265393692679,165.71326968463396,83,0.0,55.23775656154464
