cell,sim_sec,metric,series,value
8,3300.0,Speed (km/h),Model,2.42384374904943
8,3310.0,Speed (km/h),Model,20.269488358487642
8,3320.0,Speed (km/h),Model,25.975720267722984
8,3330.0,Speed (km/h),Model,24.951006033082713
8,3340.0,Speed (km/h),Model,22.10239454064346
8,3350.0,Speed (km/h),Model,19.400072703332498
8,3360.0,Speed (km/h),Model,17.45742395770264
8,3370.0,Speed (km/h),Model,16.335641342798024
8,3380.0,Speed (km/h),Model,15.786403589866913
8,3390.0,Speed (km/h),Model,15.475220683598348
8,3400.0,Speed (km/h),Model,15.156785191312924
8,3410.0,Speed (km/h),Model,14.722606052540215
8,3420.0,Speed (km/h),Model,14.194862024305504
8,3430.0,Speed (km/h),Model,13.660097096678662
8,3440.0,Speed (km/h),Model,13.207018359740502
8,3450.0,Speed (km/h),Model,12.885552948190565
8,3300.0,Speed (km/h),Physical,2.423844
8,3330.0,Speed (km/h),Physical,3.199181
8,3360.0,Speed (km/h),Physical,2.740438
8,3390.0,Speed (km/h),Physical,2.333828
8,3420.0,Speed (km/h),Physical,2.064382
8,3450.0,Speed (km/h),Physical,1.952227
8,3300.0,Vehicles in cell,Model,263.0
8,3310.0,Vehicles in cell,Model,263.3539930964696
8,3320.0,Vehicles in cell,Model,241.54149056409784
8,3330.0,Vehicles in cell,Model,214.65615011953912
8,3340.0,Vehicles in cell,Model,192.73124630014183
8,3350.0,Vehicles in cell,Model,178.87102730551004
8,3360.0,Vehicles in cell,Model,172.87378760264227
8,3370.0,Vehicles in cell,Model,171.88986637966826
8,3380.0,Vehicles in cell,Model,172.61049508346284
8,3390.0,Vehicles in cell,Model,172.7785941566255
8,3400.0,Vehicles in cell,Model,171.5474769000678
8,3410.0,Vehicles in cell,Model,169.05782499292363
8,3420.0,Vehicles in cell,Model,165.91065761108771
8,3430.0,Vehicles in cell,Model,162.74219386412094
8,3440.0,Vehicles in cell,Model,160.02097561929068
8,3450.0,Vehicles in cell,Model,157.97234242646903
8,3300.0,Vehicles in cell,Physical,263.0
8,3330.0,Vehicles in cell,Physical,255.0
8,3360.0,Vehicles in cell,Physical,261.0
8,3390.0,Vehicles in cell,Physical,271.0
8,3420.0,Vehicles in cell,Physical,278.0
8,3450.0,Vehicles in cell,Physical,289.0
9,3300.0,Speed (km/h),Model,5.625282949152542
9,3310.0,Speed (km/h),Model,41.2041762060112
9,3320.0,Speed (km/h),Model,49.382512188563595
9,3330.0,Speed (km/h),Model,43.321112303839584
9,3340.0,Speed (km/h),Model,36.6300974830285
9,3350.0,Speed (km/h),Model,32.16358438602907
9,3360.0,Speed (km/h),Model,29.40356955586779
9,3370.0,Speed (km/h),Model,27.728096482459517
9,3380.0,Speed (km/h),Model,26.721321039491773
9,3390.0,Speed (km/h),Model,26.08096211233307
9,3400.0,Speed (km/h),Model,25.611684889996642
9,3410.0,Speed (km/h),Model,25.21704755867301
9,3420.0,Speed (km/h),Model,24.868465357609924
9,3430.0,Speed (km/h),Model,24.57500021071456
9,3440.0,Speed (km/h),Model,24.356375903500204
9,3450.0,Speed (km/h),Model,24.22637331949537
9,3300.0,Speed (km/h),Physical,5.625283
9,3330.0,Speed (km/h),Physical,1.922396
9,3360.0,Speed (km/h),Physical,0.899219
9,3390.0,Speed (km/h),Physical,2.905284
9,3420.0,Speed (km/h),Physical,2.067739
9,3450.0,Speed (km/h),Physical,3.303116
9,3300.0,Vehicles in cell,Model,59.0
9,3310.0,Vehicles in cell,Model,64.96346150991275
9,3320.0,Vehicles in cell,Model,78.58543366974129
9,3330.0,Vehicles in cell,Model,89.74553351846312
9,3340.0,Vehicles in cell,Model,96.89244892200404
9,3350.0,Vehicles in cell,Model,101.12787869574935
9,3360.0,Vehicles in cell,Model,103.5497056285122
9,3370.0,Vehicles in cell,Model,105.13924036216298
9,3380.0,Vehicles in cell,Model,106.52005337593364
9,3390.0,Vehicles in cell,Model,107.91454665204793
9,3400.0,Vehicles in cell,Model,109.2600874714024
9,3410.0,Vehicles in cell,Model,110.37427734487811
9,3420.0,Vehicles in cell,Model,111.08872600768089
9,3430.0,Vehicles in cell,Model,111.33570223808793
9,3440.0,Vehicles in cell,Model,111.15488642849935
9,3450.0,Vehicles in cell,Model,110.65490240455678
9,3300.0,Vehicles in cell,Physical,59.0
9,3330.0,Vehicles in cell,Physical,73.0
9,3360.0,Vehicles in cell,Physical,73.0
9,3390.0,Vehicles in cell,Physical,69.0
9,3420.0,Vehicles in cell,Physical,74.0
9,3450.0,Vehicles in cell,Physical,72.0
