link,start_sec,end_sec,one_second_departures,thirty_second_departures,lost_departures,loss_pct_of_1s,one_second_endpoint_absence,thirty_second_endpoint_absence,one_second_events_by_downsampling_reason,repeated_same_vehicle_departures_in_30s_bin,native_union_green_sec,native_lane_green_sec,unexecuted_model_green_denominator_sec,raw_actual900_com_counter,com_minus_same_window_nc_fzp_30s,conservative_head_crossings,head_and_departure_classifications,one_second_departures_by_path,one_second_departures_unrepresented_at_30s_by_path,arrived_already_post_head
66,720,870,17,17,0,0.0,0,0,"{""represented_by_30s_endpoint_departure"": 17}",0,69.0,161.0,34.5,17.0,0.0,13,"{""already_post_head_departure"": 3, ""head_crossing"": 13, ""pre_head_bypass"": 4}","{""pre_head_bypass"": 4, ""verified_head_path_departure"": 13}",{},0
71,720,870,54,26,28,51.851851851851855,0,0,"{""not_on_source_at_30s_bin_start"": 28, ""represented_by_30s_endpoint_departure"": 26}",0,69.0,183.0,34.5,26.0,0.0,28,"{""already_post_head_departure"": 8, ""head_crossing"": 28, ""pre_head_bypass"": 16, ""unresolved_departure_lane"": 10}","{""pre_head_bypass"": 16, ""unresolved_departure_lane"": 10, ""verified_head_path_departure"": 28}","{""pre_head_bypass"": 14, ""unresolved_departure_lane"": 10, ""verified_head_path_departure"": 4}",0
30,720,870,48,38,10,20.833333333333332,0,0,"{""not_on_source_at_30s_bin_start"": 10, ""represented_by_30s_endpoint_departure"": 38}",0,69.0,114.0,34.5,38.0,0.0,21,"{""already_post_head_departure"": 3, ""head_crossing"": 21, ""no_head_on_branch_source_lane"": 26, ""unresolved_departure_lane"": 1}","{""no_head_on_branch_source_lane"": 26, ""unresolved_departure_lane"": 1, ""verified_head_path_departure"": 21}","{""no_head_on_branch_source_lane"": 7, ""verified_head_path_departure"": 3}",0
403,720,870,48,41,7,14.583333333333334,0,0,"{""not_on_source_at_30s_bin_start"": 7, ""represented_by_30s_endpoint_departure"": 41}",0,23.0,46.0,69.0,41.0,0.0,25,"{""already_post_head_departure"": 3, ""head_crossing"": 25, ""no_head_on_branch_source_lane"": 23}","{""no_head_on_branch_source_lane"": 23, ""verified_head_path_departure"": 25}","{""no_head_on_branch_source_lane"": 7}",0
1220011503,720,870,58,56,2,3.4482758620689653,0,0,"{""not_on_source_at_30s_bin_start"": 2, ""represented_by_30s_endpoint_departure"": 56}",0,75.0,198.0,34.5,56.0,0.0,53,"{""already_post_head_departure"": 53, ""head_crossing"": 53, ""pre_head_bypass"": 5}","{""pre_head_bypass"": 5, ""verified_head_path_departure"": 53}","{""pre_head_bypass"": 2}",0
1220021201,720,870,49,31,18,36.734693877551024,0,0,"{""not_on_source_at_30s_bin_start"": 18, ""represented_by_30s_endpoint_departure"": 31}",0,74.0,230.0,34.5,31.0,0.0,26,"{""already_post_head_departure"": 13, ""head_crossing"": 26, ""pre_head_bypass"": 23}","{""pre_head_bypass"": 23, ""verified_head_path_departure"": 26}","{""pre_head_bypass"": 11, ""verified_head_path_departure"": 7}",0
127,720,870,61,61,0,0.0,0,0,"{""represented_by_30s_endpoint_departure"": 61}",0,69.0,114.0,,61.0,0.0,61,"{""already_post_head_departure"": 25, ""head_crossing"": 61}","{""verified_head_path_departure"": 61}",{},0
66,750,900,16,16,0,0.0,0,0,"{""represented_by_30s_endpoint_departure"": 16}",0,69.0,161.0,34.5,,,13,"{""already_post_head_departure"": 3, ""head_crossing"": 13, ""pre_head_bypass"": 3}","{""pre_head_bypass"": 3, ""verified_head_path_departure"": 13}",{},0
71,750,900,60,30,30,50.0,0,0,"{""not_on_source_at_30s_bin_start"": 30, ""represented_by_30s_endpoint_departure"": 30}",0,69.0,183.0,34.5,,,32,"{""already_post_head_departure"": 11, ""head_crossing"": 32, ""pre_head_bypass"": 20, ""unresolved_departure_lane"": 8}","{""pre_head_bypass"": 20, ""unresolved_departure_lane"": 8, ""verified_head_path_departure"": 32}","{""pre_head_bypass"": 16, ""unresolved_departure_lane"": 8, ""verified_head_path_departure"": 6}",0
30,750,900,31,24,7,22.580645161290324,0,0,"{""not_on_source_at_30s_bin_start"": 7, ""represented_by_30s_endpoint_departure"": 24}",0,69.0,114.0,34.5,,,14,"{""already_post_head_departure"": 1, ""head_crossing"": 14, ""no_head_on_branch_source_lane"": 17}","{""no_head_on_branch_source_lane"": 17, ""verified_head_path_departure"": 14}","{""no_head_on_branch_source_lane"": 5, ""verified_head_path_departure"": 2}",0
403,750,900,46,40,6,13.043478260869565,0,0,"{""not_on_source_at_30s_bin_start"": 6, ""represented_by_30s_endpoint_departure"": 40}",0,23.0,46.0,69.0,,,25,"{""already_post_head_departure"": 3, ""head_crossing"": 25, ""no_head_on_branch_source_lane"": 21}","{""no_head_on_branch_source_lane"": 21, ""verified_head_path_departure"": 25}","{""no_head_on_branch_source_lane"": 6}",0
1220011503,750,900,55,54,1,1.8181818181818181,0,0,"{""not_on_source_at_30s_bin_start"": 1, ""represented_by_30s_endpoint_departure"": 54}",0,75.0,198.0,34.5,,,50,"{""already_post_head_departure"": 50, ""head_crossing"": 50, ""pre_head_bypass"": 5}","{""pre_head_bypass"": 5, ""verified_head_path_departure"": 50}","{""pre_head_bypass"": 1}",0
1220021201,750,900,45,27,18,40.0,0,0,"{""not_on_source_at_30s_bin_start"": 18, ""represented_by_30s_endpoint_departure"": 27}",0,74.0,230.0,34.5,,,24,"{""already_post_head_departure"": 11, ""head_crossing"": 24, ""pre_head_bypass"": 19}","{""pre_head_bypass"": 19, ""verified_head_path_departure"": 26}","{""pre_head_bypass"": 11, ""verified_head_path_departure"": 7}",0
127,750,900,58,58,0,0.0,0,0,"{""represented_by_30s_endpoint_departure"": 58}",0,69.0,114.0,,,,58,"{""already_post_head_departure"": 24, ""head_crossing"": 58}","{""verified_head_path_departure"": 58}",{},0
