link,cell_index_zero_based,chain_start_m,chain_end_m,initial_model_count_veh,initial_observed_count_veh,predicted_count_veh,observed_count_veh,count_error_veh,initial_model_speed_kph,initial_observed_speed_kph,predicted_speed_kph,observed_speed_kph,speed_error_kph,predicted_speed_change_kph,observed_speed_change_kph,predicted_density_veh_km_lane,observed_density_veh_km_lane,density_error_physical_geometry_veh_km_lane,observed_density_in_model_continuity_units,density_error_same_continuity_geometry,observed_length_km,observed_lanes,model_continuity_length_km,model_effective_lanes,predicted_endpoint_evolution,observed_endpoint_evolution,false_recovery_at_endpoint,missed_onset_at_endpoint,predicted_threshold_crossings
FW_W,0,0.0,513.357,45.0,45.0,43.73058232555384,44.0,-0.26941767444616005,68.19240500000001,68.19240500000001,76.75566754554977,61.902216045454544,14.853451500095225,8.563262545549762,-6.290188954545464,28.390527392990844,28.570111377981927,-0.1795839849910834,28.56543724920033,-0.17490985620948507,0.513357,3.0,0.513441,3.0,persistent_uncongested,persistent_uncongested,False,False,[]
FW_W,1,513.357,1026.714,34.0,34.0,51.28849266139885,27.0,24.28849266139885,78.57193467647059,78.57193467647059,63.14705891538449,110.47514907407407,-47.32809015868958,-15.4248757610861,31.903214397603477,33.297232243755914,17.53165925467073,15.765572989085186,17.52879103928202,15.768441204473895,0.513357,3.0,0.513441,3.0,persistent_uncongested,persistent_uncongested,False,False,[]
FW_W,2,1026.714,1540.071,28.0,28.0,51.53267175114897,43.0,8.532671751148968,104.69326607142857,104.69326607142857,59.30387798686842,76.06666555813953,-16.76278757127111,-45.389388084560146,-28.626600513289034,33.45575684525191,27.920790664845978,5.5349661804059345,27.916222766263957,5.5395340789879555,0.513357,3.0,0.513441,3.0,congestion_onset,persistent_uncongested,False,False,"[{""elapsed_sec"": 150.0, ""from"": ""at_or_above_threshold"", ""to"": ""below_threshold""}]"
FW_W,3,1540.071,2053.429,39.0,39.0,48.75370551413329,59.0,-10.246294485866713,72.14889448717949,72.14889448717949,59.24779371358994,46.20563625423729,13.042157459352651,-12.901100773589548,-25.9432582329422,31.651611716590143,38.30992207502122,-6.658310358431077,38.303654493245894,-6.652042776655751,0.513357,3.0,0.513441,3.0,congestion_onset,congestion_onset,False,False,"[{""elapsed_sec"": 150.0, ""from"": ""at_or_above_threshold"", ""to"": ""below_threshold""}]"
FW_W,4,2053.429,2566.786,62.0,62.0,50.010656732346355,73.0,-22.989343267653645,46.060101612903225,46.060101612903225,55.07778355525739,33.62646523287671,21.45131832238068,9.017681942354166,-12.433636380026513,32.467642651798585,47.400412058924566,-14.932769407125981,47.39265725435509,-14.925014602556509,0.513357,3.0,0.513441,3.0,persistent_congestion,persistent_congestion,False,False,[]
FW_W,5,2566.786,3080.143,50.0,50.0,59.47051857832453,53.0,6.47051857832453,49.18119546,49.18119546,43.88071256119098,42.00584569811321,1.87486686307777,-5.300482898809015,-7.175349761886785,38.60912196878481,34.41399779620551,4.195124172579305,34.408367595627666,4.200754373157146,0.513357,3.0,0.513441,3.0,persistent_congestion,persistent_congestion,False,False,[]
FW_W,6,3080.143,3593.5,25.0,25.0,43.939328991583075,28.0,15.939328991583075,88.40112668,88.40112668,58.553315865655115,78.1669547857143,-19.61363892005918,-29.84781081434489,-10.234171894285709,32.61170410750666,18.18097996780668,14.43072413969998,20.781558024818796,11.830146082687865,0.513357,3.0,0.513441,2.624154382531224,congestion_onset,persistent_uncongested,False,False,"[{""elapsed_sec"": 120.0, ""from"": ""at_or_above_threshold"", ""to"": ""below_threshold""}]"
FW_W,7,3593.5,4106.857,24.0,24.0,30.207992778202016,6.0,24.207992778202016,55.273635291666665,55.273635291666665,68.01240141920697,123.163876,-55.151474580793035,12.738766127540302,67.89024070833334,14.70859980903454,3.8959242788157176,10.812675530218822,2.92146517321367,11.78713463582087,0.513357,3.0,0.513441,4.0,recovery,recovery,False,False,"[{""elapsed_sec"": 10.0, ""from"": ""below_threshold"", ""to"": ""at_or_above_threshold""}]"
FW_W,8,4106.857,4620.214,17.0,17.0,24.16426007640535,12.0,12.164260076405348,106.35307011764705,106.35307011764705,85.29290305874896,113.34232575,-28.04942269125104,-21.060167058898088,6.98925563235295,11.765840708282619,7.791848557631435,3.973992150651184,5.84293034642734,5.922910361855279,0.513357,3.0,0.513441,4.0,persistent_uncongested,persistent_uncongested,False,False,[]
FW_W,9,4620.214,5133.572,23.0,23.0,21.060760997084426,17.0,4.060760997084426,110.15791552173913,110.15791552173913,97.89435576183679,111.03701447058823,-13.14265870875144,-12.263559759902336,0.879098948849105,10.254713295726493,11.038452123311199,-0.7837388275847061,8.277484657438732,1.9772286382877606,0.513357,3.0,0.513441,4.0,persistent_uncongested,persistent_uncongested,False,False,[]
