movement,signal,phase,kind,beta,projected_queue_veh,source_class,initial_lane_base_veh_h,final_capacity_veh_h,local_cached_capacity_veh_h,actual_control_capacity_veh_h
SC1_E_SC11_to_W_SC105,SC1,SC1_p3,internal,0.4409510054438395,0.0,measured_lane_group_assignment,413.0612244897959,1378.082976251798,1378.082976251798,1378.082976251798
SC1_E_SC11_to_N_SC101,SC1,SC1_p3,internal,0.24841684257304744,0.0,measured_lane_group_assignment,206.53061224489795,776.365214134296,776.365214134296,776.365214134296
SC1_E_SC11_to_S_SC107,SC1,SC1_p3,internal,0.31063215198311295,0.0,measured_lane_group_assignment,206.53061224489795,970.8037293020982,970.8037293020982,970.8037293020982
SC1_N_SC101_to_S_SC107,SC1,SC1_p1,internal,0.7146666666666667,0.3333333333333333,measured_lane_group_assignment,826.1224489795918,878.1969076568266,878.1969076568266,878.1969076568266
SC1_N_SC101_to_E_SC11,SC1,SC1_p2,internal,0.12200000000000001,0.3333333333333333,measured_lane_group_assignment,206.53061224489795,277.6175158244267,277.6175158244267,277.6175158244267
SC1_N_SC101_to_W_SC105,SC1,SC1_p1,internal,0.16333333333333336,0.3333333333333333,measured_lane_group_assignment,206.53061224489795,200.7073156491815,200.7073156491815,200.7073156491815
SC1_S_SC107_to_N_SC101,SC1,SC1_p1,internal,0.7235555555555555,4.666666666666667,measured_lane_group_assignment,826.1224489795918,787.7589106924142,787.7589106924142,787.7589106924142
SC1_S_SC107_to_E_SC11,SC1,SC1_p1,internal,0.15022222222222223,4.666666666666667,measured_lane_group_assignment,206.53061224489795,163.55191143368307,163.55191143368307,163.55191143368307
SC1_S_SC107_to_W_SC105,SC1,SC1_p2,internal,0.12622222222222224,4.666666666666667,measured_lane_group_assignment,206.53061224489795,719.5704982895546,719.5704982895546,719.5704982895546
SC1_W_SC105_to_E_SC11,SC1,SC1_p3,internal,0.5492723030774358,0.0,measured_lane_group_assignment,413.0612244897959,1716.6143196243108,1716.6143196243108,1716.6143196243108
SC1_W_SC105_to_N_SC101,SC1,SC1_p3,internal,0.2277524719475614,0.0,measured_lane_group_assignment,206.53061224489795,711.7838501678474,711.7838501678474,711.7838501678474
SC1_W_SC105_to_S_SC107,SC1,SC1_p3,internal,0.22297522497500277,0.0,measured_lane_group_assignment,206.53061224489795,696.853749896034,696.853749896034,696.853749896034
SC1_S_to_N_SC101,SC1,SC1_p1,boundary_in,0.5555555555555556,0.0,unchanged_normalized_lane_base,413.0612244897959,413.0612244897959,413.0612244897959,413.0612244897959
SC1_S_to_E_SC11,SC1,SC1_p1,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_S_to_W_SC105,SC1,SC1_p2,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_E_to_W_SC105,SC1,SC1_p3,boundary_in,0.5555555555555556,0.0,unchanged_normalized_lane_base,413.0612244897959,413.0612244897959,413.0612244897959,413.0612244897959
SC1_E_to_N_SC101,SC1,SC1_p3,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_E_to_S_SC107,SC1,SC1_p3,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_N_to_S_SC107,SC1,SC1_p1,boundary_in,0.5555555555555556,0.0,unchanged_normalized_lane_base,413.0612244897959,413.0612244897959,413.0612244897959,413.0612244897959
SC1_N_to_E_SC11,SC1,SC1_p2,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_N_to_W_SC105,SC1,SC1_p1,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_W_to_E_SC11,SC1,SC1_p3,boundary_in,0.5555555555555556,0.0,unchanged_normalized_lane_base,413.0612244897959,413.0612244897959,413.0612244897959,413.0612244897959
SC1_W_to_N_SC101,SC1,SC1_p4,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC1_W_to_S_SC107,SC1,SC1_p3,boundary_in,0.22222222222222224,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC5_E_SC6_to_W_SC101,SC5,SC5_p3,internal,0.6382361763823617,5.5,measured_lane_group_assignment,826.1224489795918,419.966617204638,419.966617204638,419.966617204638
SC5_E_SC6_to_N_SC102,SC5,SC5_p3,internal,0.10358964103589641,5.5,measured_lane_group_assignment,206.53061224489795,68.16315453924565,68.16315453924565,68.16315453924565
SC5_E_SC6_to_S_SC11,SC5,SC5_p4,internal,0.2581741825817418,11.0,measured_lane_group_assignment,206.53061224489795,904.3246297570897,904.3246297570897,904.3246297570897
SC5_N_SC102_to_S_SC11,SC5,SC5_p1,internal,0.6214999999999999,3.5,measured_lane_group_assignment,413.0612244897959,1670.422730496643,1670.422730496643,1670.422730496643
SC5_N_SC102_to_E_SC6,SC5,SC5_p2,internal,0.1847,1.75,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC5_N_SC102_to_W_SC101,SC5,SC5_p1,internal,0.1938,1.75,measured_lane_group_assignment,206.53061224489795,520.881617329444,520.881617329444,520.881617329444
SC5_S_SC11_to_N_SC102,SC5,SC5_p1,internal,0.6497480201583874,0.3333333333333333,measured_lane_group_assignment,413.0612244897959,2626.6085899598884,2626.6085899598884,2626.6085899598884
SC5_S_SC11_to_E_SC6,SC5,SC5_p1,internal,0.12335013198944086,0.3333333333333333,measured_lane_group_assignment,206.53061224489795,498.64332972830385,498.64332972830385,498.64332972830385
SC5_S_SC11_to_W_SC101,SC5,SC5_p2,internal,0.22690184785217182,0.3333333333333333,measured_lane_group_assignment,206.53061224489795,1562.625959844096,1562.625959844096,1562.625959844096
SC5_W_SC101_to_E_SC6,SC5,SC5_p3,internal,0.6527347265273473,3.1109389061093893,measured_lane_group_assignment,826.1224489795918,4630.423180146283,4630.423180146283,4630.423180146283
SC5_W_SC101_to_N_SC102,SC5,SC5_p4,internal,0.11888811118888112,0.9755524447555245,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC5_W_SC101_to_S_SC11,SC5,SC5_p3,internal,0.2283771622837716,1.9135086491350863,measured_lane_group_assignment,206.53061224489795,1620.0806592301021,1620.0806592301021,1620.0806592301021
SC5_S_to_N_SC102,SC5,SC5_p1,boundary_in,0.6000000000000001,0.0,unchanged_normalized_lane_base,413.0612244897959,413.0612244897959,413.0612244897959,413.0612244897959
SC5_S_to_E_SC6,SC5,SC5_p1,boundary_in,0.2,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC5_S_to_W_SC101,SC5,SC5_p2,boundary_in,0.2,0.0,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC6_E_SC104_to_W_SC5,SC6,SC6_p3,internal,0.522047795220478,17.75,measured_lane_group_assignment,826.1224489795918,3638.019830163379,3638.019830163379,3638.019830163379
SC6_E_SC104_to_N_SC103,SC6,SC6_p3,internal,0.25787421257874216,7.416666666666666,measured_lane_group_assignment,206.53061224489795,1797.0605519998767,1797.0605519998767,1797.0605519998767
SC6_E_SC104_to_S_SC12,SC6,SC6_p4,internal,0.22007799220077992,14.833333333333332,unchanged_normalized_lane_base,206.53061224489795,206.53061224489795,206.53061224489795,206.53061224489795
SC6_N_SC103_to_S_SC12,SC6,SC6_p1,internal,0.6708670867086709,1.5,measured_lane_group_assignment,619.5918367346939,3708.725653485386,3708.725653485386,3708.725653485386
SC6_N_SC103_to_E_SC104,SC6,SC6_p2,internal,0.15201520152015202,0.75,measured_lane_group_assignment,206.53061224489795,1562.625959844096,1562.625959844096,1562.625959844096
SC6_N_SC103_to_W_SC5,SC6,SC6_p1,internal,0.17711771177117713,0.75,measured_lane_group_assignment,206.53061224489795,979.152226046902,979.152226046902,979.152226046902
