cell,sim_sec,metric,series,value
8,1200.0,Speed (km/h),Model,36.17325558333334
8,1210.0,Speed (km/h),Model,66.66752566753594
8,1220.0,Speed (km/h),Model,75.95385062633815
8,1230.0,Speed (km/h),Model,77.83646176569968
8,1240.0,Speed (km/h),Model,83.38570102494766
8,1250.0,Speed (km/h),Model,87.7609311897048
8,1260.0,Speed (km/h),Model,93.82702009138603
8,1270.0,Speed (km/h),Model,94.03611849147569
8,1280.0,Speed (km/h),Model,95.47670411985689
8,1290.0,Speed (km/h),Model,96.95808973069397
8,1300.0,Speed (km/h),Model,96.70240817713325
8,1310.0,Speed (km/h),Model,96.85643180018234
8,1320.0,Speed (km/h),Model,96.95174872292502
8,1330.0,Speed (km/h),Model,96.66915721147922
8,1340.0,Speed (km/h),Model,96.41085844753495
8,1350.0,Speed (km/h),Model,96.11586826615016
8,1200.0,Speed (km/h),Physical,36.173256
8,1230.0,Speed (km/h),Physical,38.716636
8,1260.0,Speed (km/h),Physical,31.276242
8,1290.0,Speed (km/h),Physical,38.85745
8,1320.0,Speed (km/h),Physical,35.158315
8,1350.0,Speed (km/h),Physical,40.48474
8,1200.0,Vehicles in cell,Model,60.0
8,1210.0,Vehicles in cell,Model,64.91083939320951
8,1220.0,Vehicles in cell,Model,58.78860220494163
8,1230.0,Vehicles in cell,Model,49.1931612125642
8,1240.0,Vehicles in cell,Model,42.91701858493582
8,1250.0,Vehicles in cell,Model,37.105942504248965
8,1260.0,Vehicles in cell,Model,35.66571256504759
8,1270.0,Vehicles in cell,Model,33.384567293413596
8,1280.0,Vehicles in cell,Model,32.554737810890984
8,1290.0,Vehicles in cell,Model,32.717034646094255
8,1300.0,Vehicles in cell,Model,32.49337965742741
8,1310.0,Vehicles in cell,Model,32.569748403058874
8,1320.0,Vehicles in cell,Model,32.78554037166574
8,1330.0,Vehicles in cell,Model,32.922147106450886
8,1340.0,Vehicles in cell,Model,33.105333064289844
8,1350.0,Vehicles in cell,Model,33.31296198302814
8,1200.0,Vehicles in cell,Physical,60.0
8,1230.0,Vehicles in cell,Physical,75.0
8,1260.0,Vehicles in cell,Physical,81.0
8,1290.0,Vehicles in cell,Physical,67.0
8,1320.0,Vehicles in cell,Physical,65.0
8,1350.0,Vehicles in cell,Physical,66.0
9,1200.0,Speed (km/h),Model,51.286624297872336
9,1210.0,Speed (km/h),Model,60.259640901121266
9,1220.0,Speed (km/h),Model,70.72044566542924
9,1230.0,Speed (km/h),Model,71.70329468787607
9,1240.0,Speed (km/h),Model,70.39851946851539
9,1250.0,Speed (km/h),Model,72.27870278986612
9,1260.0,Speed (km/h),Model,74.60541808295268
9,1270.0,Speed (km/h),Model,78.09942692386335
9,1280.0,Speed (km/h),Model,79.24114290170068
9,1290.0,Speed (km/h),Model,80.78380006408592
9,1300.0,Speed (km/h),Model,82.41564619950118
9,1310.0,Speed (km/h),Model,83.08123849392798
9,1320.0,Speed (km/h),Model,83.75649186167152
9,1330.0,Speed (km/h),Model,84.3346394494956
9,1340.0,Speed (km/h),Model,84.60938746725988
9,1350.0,Speed (km/h),Model,84.79052545273515
9,1200.0,Speed (km/h),Physical,51.286624
9,1230.0,Speed (km/h),Physical,55.368938
9,1260.0,Speed (km/h),Physical,70.794027
9,1290.0,Speed (km/h),Physical,84.019716
9,1320.0,Speed (km/h),Physical,86.122109
9,1350.0,Speed (km/h),Physical,43.16775
9,1200.0,Vehicles in cell,Model,47.0
9,1210.0,Vehicles in cell,Model,43.352739685117996
9,1220.0,Vehicles in cell,Model,47.948829355777335
9,1230.0,Vehicles in cell,Model,48.92921889717055
9,1240.0,Vehicles in cell,Model,46.520801355595985
9,1250.0,Vehicles in cell,Model,44.29149081792306
9,1260.0,Vehicles in cell,Model,41.066139990677115
9,1270.0,Vehicles in cell,Model,38.97442221716429
9,1280.0,Vehicles in cell,Model,36.094095930528574
9,1290.0,Vehicles in cell,Model,34.07307957117438
9,1300.0,Vehicles in cell,Model,32.91094289110329
9,1310.0,Vehicles in cell,Model,31.83635131055236
9,1320.0,Vehicles in cell,Model,31.179931606976652
9,1330.0,Vehicles in cell,Model,30.80863875476333
9,1340.0,Vehicles in cell,Model,30.526282014140502
9,1350.0,Vehicles in cell,Model,30.367012611264922
9,1200.0,Vehicles in cell,Physical,47.0
9,1230.0,Vehicles in cell,Physical,35.0
9,1260.0,Vehicles in cell,Physical,21.0
9,1290.0,Vehicles in cell,Physical,28.0
9,1320.0,Vehicles in cell,Physical,31.0
9,1350.0,Vehicles in cell,Physical,26.0
