sim_sec,elapsed_sec,link,cell_index_zero_based,count_veh,speed_kph,density_veh_km_lane,effective_lanes
1200,0,FW_W,0,45.0,68.19240500000001,29.214651732136698,3.0
1200,0,FW_W,1,34.0,78.57193467647059,22.073292419836616,3.0
1200,0,FW_W,2,28.0,104.69326607142857,18.178005522218392,3.0
1200,0,FW_W,3,39.0,72.14889448717949,25.319364834518474,3.0
1200,0,FW_W,4,62.0,46.060101612903225,40.25129794205501,3.0
1200,0,FW_W,5,50.0,49.18119546,32.460724146818556,3.0
1200,0,FW_W,6,25.0,88.40112668,16.230362073409278,3.0
1200,0,FW_W,7,24.0,55.273635291666665,11.68586069285468,4.0
1200,0,FW_W,8,17.0,106.35307011764705,8.277484657438732,4.0
1200,0,FW_W,9,23.0,110.15791552173913,11.198949830652401,4.0
1200,0,FW_W,10,17.0,105.94000070588235,8.277484657438732,4.0
1200,0,FW_W,11,18.0,117.63908344444445,8.76439551964101,4.0
1200,0,FW_W,12,16.0,114.7638791875,7.790573795236453,4.0
1200,0,FW_W,13,24.0,77.90625470833334,11.68586069285468,4.0
1200,0,FW_W,14,22.0,68.99500931818181,10.712038968450123,4.0
1200,0,FW_W,15,44.0,55.1133885,21.424077936900247,4.0
1200,0,FW_W,16,12.0,116.23041475000001,5.84293034642734,4.0
1200,0,FW_W,17,12.0,116.04417783333334,5.84293034642734,4.0
1200,0,FW_W,18,11.0,109.19344672727271,5.356019484225062,4.0
1200,0,FW_W,19,9.0,118.63665677777777,4.382197759820505,4.0
1200,0,FW_W,20,11.0,123.82378518181818,5.356019484225062,4.0
1200,0,FW_E,0,37.0,82.89265535135135,18.0157019014843,4.0
1200,0,FW_E,1,37.0,99.84701818918919,18.0157019014843,4.0
1200,0,FW_E,2,29.0,108.85576793103448,14.120415003866071,4.0
1200,0,FW_E,3,42.0,72.77547452380952,20.450256212495688,4.0
1200,0,FW_E,4,33.0,110.63104193939394,16.068058452675185,4.0
1200,0,FW_E,5,18.0,116.97361727777778,8.76439551964101,4.0
1200,0,FW_E,6,33.0,115.38516809090909,16.068058452675185,4.0
1200,0,FW_E,7,28.0,109.93245710714287,13.633504141663792,4.0
1200,0,FW_E,8,60.0,36.17325558333334,29.214651732136698,4.0
1200,0,FW_E,9,47.0,51.286624297872336,22.88481052350708,4.0
1200,0,FW_E,10,14.0,107.89240642857143,6.816752070831896,4.0
1200,0,FW_E,11,12.0,114.55252758333334,5.84293034642734,4.0
1200,0,FW_E,12,14.0,112.14263007142857,6.816752070831896,4.0
1200,0,FW_E,13,16.0,115.578699,10.387431726981937,3.0
1200,0,FW_E,14,32.0,64.41469528125,20.774863453963874,3.0
1200,0,FW_E,15,29.0,50.80830996551724,18.82722000515476,3.0
1200,0,FW_E,16,12.0,108.65560541666667,7.790573795236453,3.0
1200,0,FW_E,17,7.0,120.62410657142857,4.544501380554598,3.0
1200,0,FW_E,18,7.0,119.58389542857142,4.544501380554598,3.0
1200,0,FW_E,19,12.0,120.90301749999999,7.790573795236453,3.0
1200,0,FW_E,20,8.0,121.774708,5.193715863490969,3.0
1210.0,10.0,FW_W,0,46.73078864290153,78.66859224582178,30.338304786010156,3.0
1210.0,10.0,FW_W,1,36.148967272881514,76.65759719195394,23.46843309674757,3.0
1210.0,10.0,FW_W,2,26.593554344337733,77.41568016991664,17.264920633099507,3.0
1210.0,10.0,FW_W,3,39.6362548904786,77.66515975755019,25.73243072425627,3.0
1210.0,10.0,FW_W,4,61.773210905548176,52.330549206630025,40.10406317736486,3.0
1210.0,10.0,FW_W,5,52.14601378520392,56.853672023659506,33.85394737675404,3.0
1210.0,10.0,FW_W,6,26.34729104436753,71.54345481318391,17.894416310016275,2.867661504427286
1210.0,10.0,FW_W,7,26.388326380246223,78.65426872356662,12.848762749880814,4.0
1210.0,10.0,FW_W,8,14.395378842619373,73.41790997822257,7.009266323988234,4.0
1210.0,10.0,FW_W,9,19.074254853256967,108.07227022538203,9.287461876465342,4.0
1210.0,10.0,FW_W,10,20.963735988057916,111.32342942731785,10.20747076492621,4.0
1210.0,10.0,FW_W,11,16.287569717520288,101.98769464957117,7.937465617256491,3.9965374323491716
1210.0,10.0,FW_W,12,15.230576609581238,106.32810826222135,7.415933188809054,4.0
1210.0,10.0,FW_W,13,25.798609224602025,94.58316075315496,12.561623061170623,4.0
1210.0,10.0,FW_W,14,23.90360456865216,71.62329962352256,11.638924710264742,4.0
1210.0,10.0,FW_W,15,39.09248553171424,71.65965486178271,19.03455583587707,4.0
1210.0,10.0,FW_W,16,17.573636811889454,75.17225489745887,8.556794652106792,4.0
1210.0,10.0,FW_W,17,12.012090770355742,116.08570878060273,5.848817473845944,4.0
1210.0,10.0,FW_W,18,12.035509110751446,117.90189642201778,5.860220118159363,4.0
