run_label,run,seed,sim_sec,vehicle_id,physical_link,lane,local_pos_m,chain_pos_m,cell,speed_kph,speed_class
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,12841,2,1,1805.72,4540.247,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,12907,2,1,1840.52,4575.0470000000005,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,12924,2,1,1859.36,4593.887,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,12970,2,2,1867.58,4602.107,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,12975,2,2,1949.26,4683.787,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,12999,2,1,1853.1,4587.627,8,5.79,slow
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13014,2,2,1925.1,4659.627,9,2.69,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13058,2,2,1564.13,4298.657,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13122,2,2,1575.93,4310.457,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13160,2,1,1460.05,4194.577,8,1.87,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13206,2,1,1647.85,4382.377,8,4.59,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13215,2,1,1453.44,4187.967000000001,8,1.69,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13216,2,2,1908.17,4642.697,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13253,2,1,1811.23,4545.757,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13375,2,1,1608.29,4342.817,8,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13376,2,2,1996.13,4730.657,9,0.0,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13459,2,1,1668.16,4402.687,8,2.79,stopped
NC,codex_nc_s13_6056c94_20260909_retry,13,3301,13462,2,1,1904.59,4639.117,9,0.0,stopped
