input_no,physical_source,target_storage,target_kind,desired_veh,model_admitted_generation_veh,model_unadmitted_demand_veh,source_first_seen_ids_veh,source_attribution_topology_verified,observed_admitted_lower_bound_veh,source_reappearance_events_veh,source_initial_fzp,source_final_fzp,source_interval,model_target_initial_veh,model_target_final_veh,target_physical_support_links,target_stock_comparison,physical_source_incoming_connectors,generation_scope
1091,236,in_SC1_E,common_approach,6.666666666666669,6.666666666666669,0.0,6,True,6,0,"{""count_veh"": 0}","{""count_veh"": 0}","{""residence_veh_h"": 0.006944444444444445, ""mean_count_veh"": 0.16666666666666666, ""slow_below5kph_veh_h"": 0.0, ""peak_count_veh"": 2, ""observed_entries_veh"": 0, ""observed_departures_veh"": 6, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10381"": 6}, ""appeared_veh"": 6, ""disappeared_veh"": 0}",2.5,6.666666666666856,"[""236"", ""240"", ""242"", ""249"", ""251"", ""254"", ""10381"", ""10385"", ""10391"", ""10393"", ""10396"", ""10397"", ""10402"", ""10403"", ""10404"", ""1210008202"", ""1210008203"", ""1220008201"", ""1220008202"", ""1220008203""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1085,138,SC12_to_SC6,common_approach,16.666666666666664,16.666666666666664,0.0,17,True,17,0,"{""count_veh"": 1, ""stopped_lt5_veh"": 0, ""speed_sum_kph"": 41.55}","{""count_veh"": 2, ""stopped_lt5_veh"": 0, ""speed_sum_kph"": 89.27000000000001}","{""residence_veh_h"": 0.07708333333333317, ""mean_count_veh"": 1.8499999999999963, ""slow_below5kph_veh_h"": 0.014722222222222206, ""peak_count_veh"": 6, ""observed_entries_veh"": 0, ""observed_departures_veh"": 16, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10215"": 16}, ""appeared_veh"": 17, ""disappeared_veh"": 0}",24.0,25.171033949018295,"[""136"", ""138"", ""141"", ""10205"", ""10207"", ""10209"", ""10210"", ""10211"", ""10212"", ""10213"", ""10214"", ""10215"", ""10216"", ""10220"", ""10239"", ""10242"", ""10244"", ""1210018302"", ""1220015100"", ""1220018301"", ""1220018302""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1095,164,SC109_to_SC16,common_approach,10.0,10.0,0.0,7,True,7,0,"{""count_veh"": 0}","{""count_veh"": 0}","{""residence_veh_h"": 0.007500000000000001, ""mean_count_veh"": 0.18000000000000002, ""slow_below5kph_veh_h"": 0.0, ""peak_count_veh"": 2, ""observed_entries_veh"": 0, ""observed_departures_veh"": 7, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10269"": 6, ""1220009503"": 1}, ""appeared_veh"": 7, ""disappeared_veh"": 0}",4.0,4.068000000000325,"[""164"", ""172"", ""10247"", ""10249"", ""10251"", ""10253"", ""10263"", ""10269"", ""10273"", ""10274"", ""10275"", ""10276"", ""10286"", ""10602"", ""1210009502"", ""1210009503"", ""1220009502"", ""1220009503""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1097,256,SC11_to_SC5,common_approach,6.666666666666669,6.666666666666669,0.0,9,True,9,0,"{""count_veh"": 0}","{""count_veh"": 1, ""stopped_lt5_veh"": 0, ""speed_sum_kph"": 42.38}","{""residence_veh_h"": 0.050416666666666735, ""mean_count_veh"": 1.2100000000000017, ""slow_below5kph_veh_h"": 0.011666666666666645, ""peak_count_veh"": 3, ""observed_entries_veh"": 0, ""observed_departures_veh"": 8, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10415"": 8}, ""appeared_veh"": 9, ""disappeared_veh"": 0}",7.0,7.885875753681631,"[""256"", ""10116"", ""10366"", ""10372"", ""10376"", ""10414"", ""10415"", ""10418"", ""1220011101"", ""1220011103"", ""1220014100""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1083,21,in_SC108_W,selected_signal_source,16.666666666666664,16.666666666666664,0.0,22,True,22,0,"{""count_veh"": 12, ""stopped_lt5_veh"": 0, ""speed_sum_kph"": 385.90999999999997}","{""count_veh"": 12, ""stopped_lt5_veh"": 11, ""speed_sum_kph"": 23.25}","{""residence_veh_h"": 0.34527777777777874, ""mean_count_veh"": 8.28666666666669, ""slow_below5kph_veh_h"": 0.24069444444444354, ""peak_count_veh"": 13, ""observed_entries_veh"": 0, ""observed_departures_veh"": 22, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10112"": 22}, ""appeared_veh"": 22, ""disappeared_veh"": 0}",5.0,11.111111111111143,"[""21""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1092,217,SC11_to_SC12,common_approach,2.5,2.5,0.0,3,True,3,0,"{""count_veh"": 0}","{""count_veh"": 0}","{""residence_veh_h"": 0.046944444444444455, ""mean_count_veh"": 1.126666666666667, ""slow_below5kph_veh_h"": 0.04416666666666666, ""peak_count_veh"": 2, ""observed_entries_veh"": 0, ""observed_departures_veh"": 3, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10350"": 3}, ""appeared_veh"": 3, ""disappeared_veh"": 0}",7.0,1.3622481252883745,"[""19"", ""217"", ""222"", ""224"", ""10108"", ""10109"", ""10241"", ""10242"", ""10346"", ""10348"", ""10350"", ""10354"", ""10356"", ""10358"", ""10360"", ""10369"", ""10370"", ""10375"", ""1210012101"", ""1210012103"", ""1220012101"", ""1220012102"", ""1220012103""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1086,343,native_1086_choice,route_choice,11.666666666666673,11.666666666666673,0.0,8,True,8,0,"{""count_veh"": 3, ""stopped_lt5_veh"": 2, ""speed_sum_kph"": 27.39}","{""count_veh"": 0}","{""residence_veh_h"": 0.1479166666666666, ""mean_count_veh"": 3.5499999999999985, ""slow_below5kph_veh_h"": 0.121388888888889, ""peak_count_veh"": 9, ""observed_entries_veh"": 0, ""observed_departures_veh"": 11, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10553"": 6, ""10554"": 5}, ""appeared_veh"": 8, ""disappeared_veh"": 0}",3.0,1.979166666666682,"[""343""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1087,341,native_1087_choice,route_choice,11.666666666666673,11.666666666666673,0.0,20,True,20,0,"{""count_veh"": 3, ""stopped_lt5_veh"": 2, ""speed_sum_kph"": 38.01}","{""count_veh"": 4, ""stopped_lt5_veh"": 1, ""speed_sum_kph"": 68.87}","{""residence_veh_h"": 0.2584722222222222, ""mean_count_veh"": 6.203333333333333, ""slow_below5kph_veh_h"": 0.2129166666666662, ""peak_count_veh"": 10, ""observed_entries_veh"": 0, ""observed_departures_veh"": 19, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10556"": 11, ""10555"": 5, ""1220008502"": 3}, ""appeared_veh"": 20, ""disappeared_veh"": 0}",3.0,2.802259887005656,"[""341""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1093,225,SC12_to_SC11,native_choice_prehead,2.5,2.5,0.0,3,True,3,0,"{""count_veh"": 1, ""stopped_lt5_veh"": 0, ""speed_sum_kph"": 44.47}","{""count_veh"": 0}","{""residence_veh_h"": 0.0031944444444444446, ""mean_count_veh"": 0.07666666666666666, ""slow_below5kph_veh_h"": 0.0, ""peak_count_veh"": 1, ""observed_entries_veh"": 0, ""observed_departures_veh"": 4, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""1220012001"": 4}, ""appeared_veh"": 3, ""disappeared_veh"": 0}",3.0,5.90299375656349,"[""213"", ""223"", ""224"", ""225"", ""10236"", ""10238"", ""10245"", ""10345"", ""10347"", ""10349"", ""10355"", ""10357"", ""10359"", ""10364"", ""10365"", ""1210012001"", ""1220012001"", ""1220012002"", ""1220012003""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
1096,201,SC16_to_SC7,native_fixed_route,3.3333333333333344,3.3333333333333344,0.0,0,True,0,0,"{""count_veh"": 1, ""stopped_lt5_veh"": 0, ""speed_sum_kph"": 38.76}","{""count_veh"": 0}","{""residence_veh_h"": 0.0001388888888888889, ""mean_count_veh"": 0.0033333333333333335, ""slow_below5kph_veh_h"": 0.0, ""peak_count_veh"": 1, ""observed_entries_veh"": 0, ""observed_departures_veh"": 1, ""observed_entry_source_links"": {}, ""observed_departure_target_links"": {""10319"": 1}, ""appeared_veh"": 0, ""disappeared_veh"": 0}",6.0,3.114362844444514,"[""194"", ""197"", ""199"", ""201"", ""10251"", ""10252"", ""10257"", ""10314"", ""10316"", ""10319"", ""10322"", ""10324"", ""1210009600"", ""1220009600""]","Physical source and model target have different scopes; target may include shared roads, transit, or pre-head partition.",[],"Admitted internal generation is a source term, not an Omega boundary entry."
