head,sec,stopped_before_head,stopped_near_head_20m,stopped_first20m_after_head,nearest_prehead_stopped_distance_m
90030888,1,0,0,0,
90030888,2,0,0,0,
90030888,3,0,0,0,
90030888,4,0,0,0,
90030888,5,0,0,0,
90030888,6,0,0,0,
90030888,7,0,0,0,
90030888,8,0,0,0,
90030888,9,0,0,0,
90030888,10,0,0,0,
90030888,11,0,0,0,
90030888,12,0,0,0,
90030888,13,0,0,0,
90030888,14,0,0,0,
90030888,15,0,0,0,
90030888,16,0,0,0,
90030888,17,0,0,0,
90030888,18,0,0,0,
90030888,19,0,0,0,
90030888,20,0,0,0,
90030888,21,0,0,0,
90030888,22,0,0,0,
90030888,23,0,0,0,
90030888,24,0,0,0,
90030888,25,0,0,0,
90030888,26,0,0,0,
90030888,27,0,0,0,
90030888,28,0,0,0,
90030888,29,0,0,0,
90030888,30,0,0,0,
90030888,31,0,0,0,
90030888,32,0,0,0,
90030888,33,0,0,0,
90030888,34,0,0,0,
90030888,35,0,0,0,
90030888,36,0,0,0,
90030888,37,0,0,0,
90030888,38,0,0,0,
90030888,39,0,0,0,
90030888,40,0,0,0,
90030888,41,0,0,0,
90030888,42,0,0,0,
90030888,43,0,0,0,
90030888,44,0,0,0,
90030888,45,0,0,0,
90030888,46,0,0,0,
90030888,47,0,0,0,
90030888,48,0,0,0,
90030888,49,0,0,0,
90030888,50,0,0,0,
90030888,51,0,0,0,
90030888,52,0,0,0,
90030888,53,0,0,0,
90030888,54,0,0,0,
90030888,55,0,0,0,
90030888,56,0,0,0,
90030888,57,0,0,0,
90030888,58,0,0,0,
90030888,59,0,0,0,
90030888,60,0,0,0,
90030888,61,0,0,0,
90030888,62,0,0,0,
90030888,63,0,0,0,
90030888,64,0,0,0,
90030888,65,0,0,0,
90030888,66,0,0,0,
90030888,67,0,0,0,
90030888,68,0,0,0,
90030888,69,0,0,0,
90030888,70,0,0,0,
90030888,71,0,0,0,
90030888,72,0,0,0,
90030888,73,0,0,0,
90030888,74,0,0,0,
90030888,75,0,0,0,
90030888,76,0,0,0,
90030888,77,0,0,0,
90030888,78,0,0,0,
90030888,79,0,0,0,
90030888,80,0,0,0,
90030888,81,0,0,0,
90030888,82,0,0,0,
90030888,83,0,0,0,
90030888,84,0,0,0,
90030888,85,0,0,0,
90030888,86,0,0,0,
90030888,87,0,0,0,
90030888,88,0,0,0,
90030888,89,0,0,0,
90030888,90,0,0,0,
90030888,91,0,0,0,
90030888,92,0,0,0,
90030888,93,0,0,0,
90030888,94,0,0,0,
90030888,95,0,0,0,
90030888,96,0,0,0,
90030888,97,0,0,0,
90030888,98,0,0,0,
90030888,99,0,0,0,
90030888,100,0,0,0,
90030888,101,0,0,0,
90030888,102,0,0,0,
90030888,103,0,0,0,
90030888,104,0,0,0,
90030888,105,0,0,0,
90030888,106,0,0,0,
90030888,107,0,0,0,
90030888,108,0,0,0,
90030888,109,0,0,0,
90030888,110,0,0,0,
90030888,111,0,0,0,
90030888,112,0,0,0,
90030888,113,0,0,0,
90030888,114,0,0,0,
90030888,115,0,0,0,
90030888,116,0,0,0,
90030888,117,0,0,0,
90030888,118,0,0,0,
90030888,119,0,0,0,
90030888,120,0,0,0,
90030888,121,0,0,0,
90030888,122,0,0,0,
90030888,123,0,0,0,
90030888,124,0,0,0,
90030888,125,0,0,0,
90030888,126,0,0,0,
90030888,127,0,0,0,
90030888,128,0,0,0,
90030888,129,0,0,0,
90030888,130,0,0,0,
90030888,131,0,0,0,
90030888,132,0,0,0,
90030888,133,0,0,0,
90030888,134,0,0,0,
90030888,135,0,0,0,
90030888,136,0,0,0,
90030888,137,0,0,0,
90030888,138,0,0,0,
90030888,139,0,0,0,
90030888,140,0,0,0,
90030888,141,0,0,0,
90030888,142,0,0,0,
90030888,143,0,0,0,
90030888,144,0,0,0,
90030888,145,0,0,0,
90030888,146,0,0,0,
90030888,147,0,0,0,
90030888,148,0,0,0,
90030888,149,0,0,0,
90030888,150,0,0,0,
90030888,151,0,0,0,
90030888,152,0,0,0,
90030888,153,0,0,0,
90030888,154,0,0,0,
90030888,155,0,0,0,
90030888,156,0,0,0,
90030888,157,0,0,0,
90030888,158,0,0,0,
90030888,159,0,0,0,
90030888,160,0,0,0,
90030888,161,0,0,0,
90030888,162,0,0,0,
90030888,163,0,0,0,
90030888,164,0,0,0,
90030888,165,0,0,0,
90030888,166,0,0,0,
90030888,167,0,0,0,
90030888,168,0,0,0,
90030888,169,0,0,0,
90030888,170,0,0,0,
90030888,171,0,0,0,
90030888,172,0,0,0,
90030888,173,0,0,0,
90030888,174,0,0,0,
90030888,175,0,0,0,
90030888,176,0,0,0,
90030888,177,0,0,0,
90030888,178,0,0,0,
90030888,179,0,0,0,
90030888,180,0,0,0,
90030888,181,0,0,0,
90030888,182,0,0,0,
90030888,183,0,0,0,
90030888,184,0,0,0,
90030888,185,0,0,0,
90030888,186,0,0,0,
90030888,187,0,0,0,
90030888,188,0,0,0,
90030888,189,0,0,0,
90030888,190,0,0,0,
90030888,191,0,0,0,
90030888,192,0,0,0,
90030888,193,0,0,0,
90030888,194,0,0,0,
90030888,195,0,0,0,
90030888,196,0,0,0,
90030888,197,0,0,0,
90030888,198,0,0,0,
90030888,199,0,0,0,
90030888,200,0,0,0,
90030888,201,0,0,0,
90030888,202,0,0,0,
90030888,203,0,0,0,
90030888,204,0,0,0,
90030888,205,0,0,0,
90030888,206,0,0,0,
90030888,207,0,0,0,
90030888,208,0,0,0,
90030888,209,0,0,0,
90030888,210,0,0,0,
90030888,211,0,0,0,
90030888,212,0,0,0,
90030888,213,0,0,0,
90030888,214,0,0,0,
90030888,215,0,0,0,
90030888,216,0,0,0,
90030888,217,0,0,0,
90030888,218,0,0,0,
90030888,219,0,0,0,
90030888,220,0,0,0,
90030888,221,0,0,0,
90030888,222,0,0,0,
90030888,223,0,0,0,
90030888,224,0,0,0,
90030888,225,0,0,0,
90030888,226,0,0,0,
90030888,227,0,0,0,
90030888,228,0,0,0,
90030888,229,0,0,0,
90030888,230,0,0,0,
90030888,231,0,0,0,
90030888,232,0,0,0,
90030888,233,0,0,0,
90030888,234,0,0,0,
90030888,235,0,0,0,
90030888,236,0,0,0,
90030888,237,0,0,0,
90030888,238,0,0,0,
90030888,239,0,0,0,
90030888,240,0,0,0,
90030888,241,0,0,0,
90030888,242,0,0,0,
90030888,243,0,0,0,
90030888,244,0,0,0,
90030888,245,0,0,0,
90030888,246,0,0,0,
90030888,247,0,0,0,
90030888,248,0,0,0,
90030888,249,0,0,0,
90030888,250,0,0,0,
90030888,251,0,0,0,
90030888,252,0,0,0,
90030888,253,0,0,0,
90030888,254,0,0,0,
90030888,255,0,0,0,
90030888,256,0,0,0,
90030888,257,0,0,0,
90030888,258,0,0,0,
90030888,259,0,0,0,
90030888,260,0,0,0,
90030888,261,0,0,0,
90030888,262,0,0,0,
90030888,263,0,0,0,
90030888,264,0,0,0,
90030888,265,0,0,0,
90030888,266,0,0,0,
90030888,267,0,0,0,
90030888,268,0,0,0,
90030888,269,0,0,0,
90030888,270,0,0,0,
90030888,271,0,0,0,
90030888,272,0,0,0,
90030888,273,0,0,0,
90030888,274,0,0,0,
90030888,275,0,0,0,
90030888,276,0,0,0,
90030888,277,0,0,0,
90030888,278,0,0,0,
90030888,279,0,0,0,
90030888,280,0,0,0,
90030888,281,0,0,0,
90030888,282,0,0,0,
90030888,283,0,0,0,
90030888,284,0,0,0,
90030888,285,0,0,0,
90030888,286,0,0,0,
90030888,287,0,0,0,
90030888,288,0,0,0,
90030888,289,0,0,0,
90030888,290,0,0,0,
90030888,291,0,0,0,
90030888,292,0,0,0,
90030888,293,0,0,0,
90030888,294,0,0,0,
90030888,295,0,0,0,
90030888,296,0,0,0,
90030888,297,0,0,0,
90030888,298,0,0,0,
90030888,299,0,0,0,
90030888,300,0,0,0,
90030888,301,0,0,0,
90030888,302,0,0,0,
90030888,303,0,0,0,
90030888,304,0,0,0,
90030888,305,0,0,0,
90030888,306,0,0,0,
90030888,307,0,0,0,
90030888,308,0,0,0,
90030888,309,0,0,0,
90030888,310,0,0,0,
90030888,311,0,0,0,
90030888,312,0,0,0,
90030888,313,0,0,0,
90030888,314,0,0,0,
90030888,315,0,0,0,
90030888,316,0,0,0,
90030888,317,0,0,0,
90030888,318,0,0,0,
90030888,319,0,0,0,
90030888,320,0,0,0,
90030888,321,0,0,0,
90030888,322,0,0,0,
90030888,323,0,0,0,
90030888,324,0,0,0,
90030888,325,0,0,0,
90030888,326,0,0,0,
90030888,327,0,0,0,
90030888,328,0,0,0,
90030888,329,0,0,0,
90030888,330,0,0,0,
90030888,331,0,0,0,
90030888,332,0,0,0,
90030888,333,0,0,0,
90030888,334,0,0,0,
90030888,335,0,0,0,
90030888,336,0,0,0,
90030888,337,0,0,0,
90030888,338,0,0,0,
90030888,339,0,0,0,
90030888,340,0,0,0,
90030888,341,0,0,0,
90030888,342,0,0,0,
90030888,343,0,0,0,
90030888,344,0,0,0,
90030888,345,0,0,0,
90030888,346,0,0,0,
90030888,347,0,0,0,
90030888,348,0,0,0,
90030888,349,0,0,0,
90030888,350,0,0,0,
90030888,351,0,0,0,
90030888,352,0,0,0,
90030888,353,0,0,0,
90030888,354,0,0,0,
90030888,355,0,0,0,
90030888,356,0,0,0,
90030888,357,0,0,0,
90030888,358,0,0,0,
90030888,359,0,0,0,
90030888,360,0,0,0,
90030888,361,0,0,0,
90030888,362,0,0,0,
90030888,363,0,0,0,
90030888,364,0,0,0,
90030888,365,0,0,0,
90030888,366,0,0,0,
90030888,367,0,0,0,
90030888,368,0,0,0,
90030888,369,0,0,0,
90030888,370,0,0,0,
90030888,371,0,0,0,
90030888,372,0,0,0,
90030888,373,0,0,0,
90030888,374,0,0,0,
90030888,375,0,0,0,
90030888,376,0,0,0,
90030888,377,0,0,0,
90030888,378,0,0,0,
90030888,379,0,0,0,
90030888,380,0,0,0,
90030888,381,0,0,0,
90030888,382,0,0,0,
90030888,383,0,0,0,
90030888,384,0,0,0,
90030888,385,0,0,0,
90030888,386,0,0,0,
90030888,387,0,0,0,
90030888,388,0,0,0,
90030888,389,0,0,0,
90030888,390,0,0,0,
90030888,391,0,0,0,
90030888,392,0,0,0,
90030888,393,0,0,0,
90030888,394,0,0,0,
90030888,395,0,0,0,
90030888,396,0,0,0,
90030888,397,0,0,0,
90030888,398,0,0,0,
90030888,399,0,0,0,
90030888,400,0,0,0,
90030888,401,0,0,0,
90030888,402,0,0,0,
90030888,403,0,0,0,
90030888,404,0,0,0,
90030888,405,0,0,0,
90030888,406,0,0,0,
90030888,407,0,0,0,
90030888,408,0,0,0,
