sim_sec,urban_volume_vph,freeway_volume_vph,ramp_green_D_sec,ramp_green_F_sec,vsl_speed_kph,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,freeway_mean_speed_kph,stopped_vehicles
1,3000.000000,600.000000,2.000000,2.000000,120.000000,7,0,1,0,6,0,54.644834,55.611930,0
10,3000.000000,600.000000,2.000000,2.000000,120.000000,61,0,4,0,57,0,53.988760,71.961766,0
20,3000.000000,600.000000,2.000000,2.000000,120.000000,110,0,5,0,105,0,53.081999,99.135487,0
30,3000.000000,600.000000,2.000000,2.000000,120.000000,167,0,11,0,155,1,52.327494,92.066680,0
40,3000.000000,600.000000,2.000000,2.000000,120.000000,232,6,13,1,203,9,45.283835,111.763743,16
50,3000.000000,600.000000,2.000000,2.000000,120.000000,296,23,14,3,249,7,43.040064,116.394589,45
60,3000.000000,600.000000,2.000000,2.000000,120.000000,373,41,13,5,303,11,39.427019,120.866763,69
70,3000.000000,600.000000,2.000000,2.000000,120.000000,441,51,13,3,353,21,36.094635,117.027812,83
80,3000.000000,600.000000,2.000000,2.000000,120.000000,506,78,16,2,389,21,32.750572,111.731736,117
90,3000.000000,600.000000,2.000000,2.000000,120.000000,564,100,18,4,424,18,28.568797,113.588907,167
100,3000.000000,600.000000,2.000000,2.000000,120.000000,622,125,20,4,454,19,27.165443,112.912888,229
110,3000.000000,600.000000,2.000000,2.000000,120.000000,661,144,20,6,472,19,23.870627,110.470709,274
120,3000.000000,600.000000,2.000000,2.000000,120.000000,728,154,18,9,524,23,21.397920,110.255592,344
130,3000.000000,600.000000,2.000000,2.000000,120.000000,769,142,21,10,546,50,21.582331,104.696452,325
140,3000.000000,600.000000,2.000000,2.000000,120.000000,811,164,20,15,572,40,24.702472,110.419621,322
150,3000.000000,600.000000,2.000000,2.000000,120.000000,857,185,18,18,591,45,26.045455,111.408058,339
160,3000.000000,600.000000,2.000000,2.000000,120.000000,910,214,21,21,622,32,24.897274,109.274950,368
170,3000.000000,600.000000,2.000000,2.000000,120.000000,932,225,22,25,622,38,22.978620,106.688296,403
180,3000.000000,600.000000,2.000000,2.000000,120.000000,965,242,18,25,629,51,22.205547,118.355006,441
190,3000.000000,600.000000,2.000000,2.000000,120.000000,1004,248,22,25,661,48,20.963320,104.743595,452
200,3000.000000,600.000000,2.000000,2.000000,120.000000,1038,251,21,28,699,39,20.773922,110.000479,502
210,3000.000000,600.000000,2.000000,2.000000,120.000000,1062,252,22,28,724,36,19.324869,110.453612,526
220,3000.000000,600.000000,2.000000,2.000000,120.000000,1074,266,24,27,727,30,18.702275,107.189736,583
230,3000.000000,600.000000,2.000000,2.000000,120.000000,1061,285,22,24,701,29,17.807566,113.281679,603
240,3000.000000,600.000000,2.000000,2.000000,120.000000,1038,305,23,23,659,28,16.229716,114.354169,619
