dcp_no,dcm_no,role,ref,link,lane,pos,pos_mode,orientation,boundary_ref,segment_json,geometry_assert
960001,960001,head,10201|1-2,1220007104,2,290.051233,exact,at,head:10201,[],"{""head_position_m"":290.05123299999997,""lane_count"":2,""link_length_m"":293.8454812188285}"
960002,960002,head,10202|1-2,1220007104,1,289.919446,exact,at,head:10202,[],"{""head_position_m"":289.91944599999994,""lane_count"":2,""link_length_m"":293.8454812188285}"
960003,960003,head,10301|1-3,1220006903,5,96.441100,exact,at,head:10301,[],"{""head_position_m"":96.4411,""lane_count"":5,""link_length_m"":100.3751889355403}"
960004,960004,head,10401|1-4,1210008401,4,135.303574,exact,at,head:10401,[],"{""head_position_m"":135.30357400227982,""lane_count"":5,""link_length_m"":147.97477791218802}"
960005,960005,head,10402|1-4,1210008401,3,135.423320,exact,at,head:10402,[],"{""head_position_m"":135.423320118995,""lane_count"":5,""link_length_m"":147.97477791218802}"
960006,960006,head,10403|1-4,1210008401,2,135.799344,exact,at,head:10403,[],"{""head_position_m"":135.79934381202642,""lane_count"":5,""link_length_m"":147.97477791218802}"
960007,960007,head,10404|1-4,1210008401,1,135.877899,exact,at,head:10404,[],"{""head_position_m"":135.87789888099104,""lane_count"":5,""link_length_m"":147.97477791218802}"
960008,960008,head,10601|1-6,1220008201,1,86.281590,exact,at,head:10601,[],"{""head_position_m"":86.28159,""lane_count"":2,""link_length_m"":92.86013697239805}"
960009,960009,head,10602|1-6,1220008201,2,86.398041,exact,at,head:10602,[],"{""head_position_m"":86.398041,""lane_count"":2,""link_length_m"":92.86013697239805}"
960010,960010,head,10701|1-7,1210008401,5,134.902802,exact,at,head:10701,[],"{""head_position_m"":134.90280227542357,""lane_count"":5,""link_length_m"":147.97477791218802}"
960011,960011,head,10801|1-8,1220006903,4,96.384848,exact,at,head:10801,[],"{""head_position_m"":96.384848,""lane_count"":5,""link_length_m"":100.3751889355403}"
960012,960012,head,10802|1-8,1220006903,3,96.368249,exact,at,head:10802,[],"{""head_position_m"":96.368249,""lane_count"":5,""link_length_m"":100.3751889355403}"
960013,960013,head,10803|1-8,1220006903,2,96.252977,exact,at,head:10803,[],"{""head_position_m"":96.252977,""lane_count"":5,""link_length_m"":100.3751889355403}"
960014,960014,head,30201|11-2,1210008303,2,70.699889,exact,at,head:30201,[],"{""head_position_m"":70.69988899999998,""lane_count"":2,""link_length_m"":73.59927146379036}"
960015,960015,head,30202|11-2,1210008303,1,70.483295,exact,at,head:30202,[],"{""head_position_m"":70.48329499999998,""lane_count"":2,""link_length_m"":73.59927146379036}"
960016,960016,head,30601|11-6,1210012001,1,9.751282,exact,at,head:30601,[],"{""head_position_m"":9.751282,""lane_count"":2,""link_length_m"":12.840310697911836}"
960017,960017,head,30602|11-1,1210012001,2,9.901426,exact,at,head:30602,[],"{""head_position_m"":9.901426,""lane_count"":2,""link_length_m"":12.840310697911836}"
960018,960018,head,30603|11-6,1220012001,1,410.748181,exact,at,head:30603,[],"{""head_position_m"":410.748181,""lane_count"":2,""link_length_m"":413.67759096752775}"
960019,960019,head,30604|11-6,1220012001,2,410.917953,exact,at,head:30604,[],"{""head_position_m"":410.917953,""lane_count"":2,""link_length_m"":413.67759096752775}"
960020,960020,head,30801|11-8,1210008703,2,10.885115,exact,at,head:30801,[],"{""head_position_m"":10.885115157612505,""lane_count"":2,""link_length_m"":21.037281967211246}"
960021,960021,head,30802|11-8,1210008703,1,15.904384,exact,at,head:30802,[],"{""head_position_m"":15.904384000000004,""lane_count"":2,""link_length_m"":21.037281967211246}"
