case_id,controller,scenario_id,category,demand_profile,urban_volume_vph,freeway_volume_vph,returncode,elapsed_sec,run_dir,state_csv,action_csv,decision_dir,ok,state_rows,completed_sim_sec,warmup_sec,analysis_time_h,vehicle_hours_total,vehicle_hours_freeway,vehicle_hours_urban,stopped_vehicle_hours,mean_total_vehicles,mean_freeway_vehicles,mean_urban_vehicles,mean_ramp_vehicles,mean_boundary_vehicles,mean_speed_kph,freeway_mean_speed_kph,mean_stopped_vehicles,final_total_vehicles,final_urban_vehicles,final_freeway_vehicles,final_stopped_vehicles,controller_statuses,fallback_state_rows,mean_decision_wall_sec_state_csv,max_decision_wall_sec_state_csv,action_rows,decision_count_action_csv,mean_vsl_kph,mean_ramp_green_sec,mean_ramp_rate_vph,mean_signal_green_sec,mean_signal_split_abs_sec,mean_signal_offset_abs_sec,vsl_mean_abs_step_kph,ramp_green_abs_step_sec,ramp_rate_abs_step_vph,signal_green_abs_step_sec,signal_split_abs_step_sec,signal_offset_abs_step_sec,decision_json_count,controller_variants,controller_statuses_json,controller_error_count,controller_error_sample,mean_decision_wall_sec,max_decision_wall_sec,mean_prediction_wall_sec,prediction_error_count,prediction_lag_max_abs_sec,prediction_total_abs_error_mean_veh,prediction_total_abs_error_max_veh,prediction_np_abs_error_mean_veh,prediction_freeway_abs_error_mean_veh,wu_convergence_rate,wu_residual_mean,wu_residual_max,wu_iterations_mean,pfo_convergence_rate,pfo_residual_objective_mean,pfo_residual_control_mean,pfo_iterations_mean,primary_rank_key,vehicle_hours_total_delta_vs_no_control,vehicle_hours_total_pct_vs_no_control,stopped_vehicle_hours_delta_vs_no_control,stopped_vehicle_hours_pct_vs_no_control,mean_speed_kph_delta_vs_no_control,mean_speed_kph_pct_vs_no_control,mean_total_vehicles_delta_vs_no_control,mean_total_vehicles_pct_vs_no_control,final_total_vehicles_delta_vs_no_control,final_total_vehicles_pct_vs_no_control,prediction_total_abs_error_mean_veh_delta_vs_no_control,prediction_total_abs_error_mean_veh_pct_vs_no_control
no-control_ramp_d_bias_u2200_fw3000_seed13_1200s,no-control,ramp_d_bias,1_ramp_metering,d_ramp_bias,2200.0,3000.0,0,157.449,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_d_bias_u2200_fw3000_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,583.8930555555555,54.63194444444444,180.46944444444443,422.3152777777778,1937.3410138248848,181.26728110599078,598.7926267281106,123.31797235023042,806.8847926267281,10.406750165898618,42.78134225806452,1401.2304147465438,2389.0,821.0,224.0,1825.0,ok,0,0.38688525726141076,1.323075,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,no-control,ok,0,,0.38417723809523807,1.323075,0.04672757142857143,20,1.0,148.06243650607522,249.07423036300997,136.76169137953627,123.19473570052293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,689.471875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu_ramp_d_bias_u2200_fw3000_seed13_1200s,wu,ramp_d_bias,1_ramp_metering,d_ramp_bias,2200.0,3000.0,0,161.913,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_d_bias_u2200_fw3000_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,583.8930555555555,54.63194444444444,180.46944444444443,422.3152777777778,1937.3410138248848,181.26728110599078,598.7926267281106,123.31797235023042,806.8847926267281,10.406750165898618,42.78134225806452,1401.2304147465438,2389.0,821.0,224.0,1825.0,ok,0,0.9204779128630706,1.054427,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,wu,ok,0,,0.9240100952380953,1.054427,0.043070285714285714,20,1.0,148.06243650607522,249.07423036300997,136.76169137953627,123.19473570052293,0.09523809523809523,0.15924861723750644,0.203250840771695,1.0,0.0,0.0,0.0,0.0,689.471875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo_ramp_d_bias_u2200_fw3000_seed13_1200s,pfo,ramp_d_bias,1_ramp_metering,d_ramp_bias,2200.0,3000.0,0,378.195,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_d_bias_u2200_fw3000_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,588.7541666666667,56.141666666666666,181.30972222222223,428.8097222222222,1953.4700460829492,186.27649769585253,601.5806451612904,127.08294930875576,805.5760368663595,10.135841105990783,41.38341355760368,1422.778801843318,2411.0,826.0,254.0,1910.0,ok,0,11.055329261410789,19.259876,567,21,120.0,10.0,865.049,57.0,12.8,12.523809523809524,0.0,0.0,0.0,0.0,1.2,7.85,21,pfo,ok,0,,11.04418219047619,19.259876,0.042730285714285714,20,1.0,130.94380042795308,221.5772914789227,101.1268120642986,128.25406373499274,0.0,0.0,0.0,0.0,0.8571428571428571,0.06635902370746216,0.06635902370746216,1.0,695.9565972222223,4.8611111111111995,0.8325344966615519,6.494444444444412,1.5378189675301746,-0.27090905990783476,-2.6032051849919844,16.1290322580644,0.8325344966615306,22.0,0.9208874005860193,-17.118636078122137,-11.56176845530955
no-control_ramp_f_bias_u2200_fw3000_seed13_1200s,no-control,ramp_f_bias,1_ramp_metering,f_ramp_bias,2200.0,3000.0,0,146.013,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_ramp_f_bias_u2200_fw3000_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,601.6263888888889,55.01111111111111,183.44166666666666,440.77777777777777,1996.1797235023041,182.52534562211983,608.6543778801844,136.42396313364054,819.6774193548387,10.493238520737327,45.26034774654378,1462.4884792626729,2360.0,704.0,222.0,1843.0,ok,0,0.2914208049792531,0.311358,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,no-control,ok,0,,0.29129933333333335,0.311358,0.042706380952380954,20,1.0,159.09285851975068,279.49310606764243,142.23478002515185,120.78547561795877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.8208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu_ramp_f_bias_u2200_fw3000_seed13_1200s,wu,ramp_f_bias,1_ramp_metering,f_ramp_bias,2200.0,3000.0,0,159.339,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_ramp_f_bias_u2200_fw3000_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,601.6263888888889,55.01111111111111,183.44166666666666,440.77777777777777,1996.1797235023041,182.52534562211983,608.6543778801844,136.42396313364054,819.6774193548387,10.493238520737327,45.26034774654378,1462.4884792626729,2360.0,704.0,222.0,1843.0,ok,0,0.922078489626556,1.035683,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,wu,ok,0,,0.9253768095238095,1.035683,0.04303761904761905,20,1.0,159.09285851975068,279.49310606764243,142.23478002515185,120.78547561795877,0.09523809523809523,0.14781032726198032,0.20823612593563826,1.0,0.0,0.0,0.0,0.0,711.8208333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo_ramp_f_bias_u2200_fw3000_seed13_1200s,pfo,ramp_f_bias,1_ramp_metering,f_ramp_bias,2200.0,3000.0,0,377.411,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_ramp_f_bias_u2200_fw3000_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,605.1291666666667,56.4125,184.19166666666666,442.6958333333333,2007.8018433179723,187.17511520737327,611.1428571428571,139.00460829493088,818.9078341013825,10.248462539170507,43.97911125806452,1468.852534562212,2349.0,720.0,220.0,1814.0,ok,0,10.950255041493776,19.646283,567,21,120.0,10.0,865.049,57.0,11.885714285714286,9.19047619047619,0.0,0.0,0.0,0.0,1.2,4.5,21,pfo,ok,0,,10.931975047619048,19.646283,0.042589666666666665,20,1.0,149.8265010906967,262.15107960994715,130.48443819016,126.38906878018832,0.0,0.0,0.0,0.0,0.8571428571428571,0.06656606304493629,0.06656606304493629,1.0,715.803125,3.502777777777851,0.5822181078604184,1.9180555555555543,0.4351525081925886,-0.24477598156681957,-2.3327019688257304,11.622119815668157,0.5822181078604038,-11.0,-0.4661016949152542,-9.266357429053983,-5.8244961560632245
no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s,no-control,fw_eb_heavy,2_vsl,fw_eb_heavy,1800.0,3400.0,0,132.643,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_eb_heavy_u1800_fw3400_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,392.14444444444445,44.645833333333336,126.20138888888889,179.7138888888889,1301.1244239631337,148.1336405529954,418.7327188940092,33.47004608294931,616.5483870967741,27.272018714285714,79.49243326728111,596.2857142857143,1576.0,535.0,141.0,827.0,ok,0,0.2912090746887967,0.335926,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,no-control,ok,0,,0.2910647619047619,0.335926,0.04431676190476191,20,1.0,120.49169778235769,254.69611478617458,117.58584717186538,73.30143581432185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437.0729166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu_fw_eb_heavy_u1800_fw3400_seed13_1200s,wu,fw_eb_heavy,2_vsl,fw_eb_heavy,1800.0,3400.0,0,147.287,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\wu_fw_eb_heavy_u1800_fw3400_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,392.14444444444445,44.645833333333336,126.20138888888889,179.7138888888889,1301.1244239631337,148.1336405529954,418.7327188940092,33.47004608294931,616.5483870967741,27.272018714285714,79.49243326728111,596.2857142857143,1576.0,535.0,141.0,827.0,ok,0,0.8153453278008299,0.887111,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,wu,ok,0,,0.8126438095238095,0.887111,0.04360261904761905,20,1.0,120.49169778235769,254.69611478617458,117.58584717186538,73.30143581432185,0.047619047619047616,0.19151176313726434,0.2614501597451057,1.0,0.0,0.0,0.0,0.0,437.0729166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s,pfo,fw_eb_heavy,2_vsl,fw_eb_heavy,1800.0,3400.0,0,370.316,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\pfo_fw_eb_heavy_u1800_fw3400_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,387.62638888888887,44.768055555555556,125.1138888888889,169.5875,1286.1336405529953,148.53917050691246,415.12442396313367,38.74654377880184,602.447004608295,27.84995116589862,79.19360834562212,562.6866359447005,1459.0,473.0,141.0,625.0,ok,0,11.009918858921163,19.393538,567,21,120.0,10.0,865.049,57.0,10.4,18.666666666666668,0.0,0.0,0.0,0.0,3.96,8.6,21,pfo,ok,0,,10.966218571428572,19.393538,0.04183733333333333,20,1.0,88.12772996431273,164.61173562219983,106.09374694336043,107.4956591313423,0.0,0.0,0.0,0.0,0.8571428571428571,0.06261537891460216,0.06261537891460216,1.0,430.0232638888889,-4.518055555555577,-1.1521406511206242,-10.126388888888897,-5.634728039940033,0.5779324516129059,2.1191407121988055,-14.99078341013842,-1.1521406511206318,-117.0,-7.4238578680203045,-32.363967818044955,-26.8599151756526
no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s,no-control,fw_wb_heavy,2_vsl,fw_wb_heavy,1800.0,3400.0,0,132.571,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\state.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\action.csv,evaluation\runs\controller_stress_sweep_1200s_20260628\no-control_fw_wb_heavy_u1800_fw3400_seed13_1200s\decisions,True,241,1200.0,120.0,0.3013888888888889,391.9222222222222,46.3,123.23194444444445,177.93194444444444,1300.3870967741937,153.6221198156682,408.88018433179724,35.41013824884793,621.2488479262673,27.146888170506912,76.76424632718894,590.3732718894009,1585.0,528.0,130.0,819.0,ok,0,0.33394100829875517,0.360942,567,21,120.0,10.0,865.049,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,no-control,ok,0,,0.33395314285714284,0.360942,0.047626380952380955,20,1.0,122.729531734258,211.96682778132185,120.56623805944236,72.83348883675826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.40520833333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
