controller,category,case_count,scenarios,mean_vehicle_hours_total_pct_vs_no_control,max_vehicle_hours_total_pct_vs_no_control,mean_stopped_vehicle_hours_pct_vs_no_control,max_stopped_vehicle_hours_pct_vs_no_control,mean_mean_speed_kph_pct_vs_no_control,max_mean_speed_kph_pct_vs_no_control,mean_prediction_total_abs_error_mean_veh_pct_vs_no_control,max_prediction_total_abs_error_mean_veh_pct_vs_no_control,mean_mean_decision_wall_sec,max_mean_decision_wall_sec,mean_mean_signal_split_abs_sec,max_mean_signal_split_abs_sec,mean_mean_signal_offset_abs_sec,max_mean_signal_offset_abs_sec,mean_vsl_mean_abs_step_kph,max_vsl_mean_abs_step_kph,mean_ramp_green_abs_step_sec,max_ramp_green_abs_step_sec,mean_controller_error_count,max_controller_error_count,mean_fallback_state_rows,max_fallback_state_rows
no-control,1_ramp_metering,2,"ramp_d_bias,ramp_f_bias",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3377382857142857,0.38417723809523807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control,2_vsl,2,"fw_eb_heavy,fw_wb_heavy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31250895238095233,0.33395314285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control,3_signal_split,2,"urban_d_heavy,urban_f_heavy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29352316666666667,0.30158180952380953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no-control,4_symmetric_high,1,sym_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28551738095238094,0.28551738095238094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo,1_ramp_metering,2,"ramp_d_bias,ramp_f_bias",0.7073763022609851,0.8325344966615519,0.9864857378613816,1.5378189675301746,-2.467953576908857,-2.3327019688257304,-8.693132305686387,-5.8244961560632245,10.98807861904762,11.04418219047619,12.342857142857143,12.8,10.857142857142858,12.523809523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo,2_vsl,2,"fw_eb_heavy,fw_wb_heavy",-1.1203960137637519,-1.0886513764068797,-3.981198507250573,-2.327668974561114,1.2673812934364792,2.1191407121988055,-28.704975895387342,-26.8599151756526,10.985857357142857,11.005496142857142,11.371428571428572,12.342857142857143,18.92857142857143,19.19047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo,3_signal_split,2,"urban_d_heavy,urban_f_heavy",-0.3411119682658089,-0.16311753818618882,-1.3687872420681444,-0.8955393610871563,0.40965898480679974,0.609481710254097,-2.5501436005885734,-1.9851066253753633,10.650937928571429,10.72342919047619,0.34285714285714286,0.6857142857142857,6.0,6.238095238095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pfo,4_symmetric_high,1,sym_high,-1.5358862462050646,-1.5358862462050646,-1.1303332967946946,-1.1303332967946946,0.28105749412882536,0.28105749412882536,-17.98096248263415,-17.98096248263415,11.112518571428572,11.112518571428572,9.6,9.6,20.095238095238095,20.095238095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu,1_ramp_metering,2,"ramp_d_bias,ramp_f_bias",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9246934523809525,0.9253768095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu,2_vsl,2,"fw_eb_heavy,fw_wb_heavy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8207717142857143,0.8288996190476191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu,3_signal_split,2,"urban_d_heavy,urban_f_heavy",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7188973095238095,0.7253100952380952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wu,4_symmetric_high,1,sym_high,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8732789523809524,0.8732789523809524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
