sim_sec,connector,lane,count,stopped_below5,mean_speed_kph,minimum_stopped_front_position_m,maximum_stopped_front_position_m
958.0,10682,1,18,9,11.787777777777778,4.82,125.42
959.0,10639,1,1,0,44.38,,
959.0,10682,1,17,6,11.641176470588235,4.82,119.07
960.0,10639,1,1,0,44.38,,
960.0,10682,1,17,4,14.059411764705882,4.82,81.15
961.0,10639,1,1,0,44.38,,
961.0,10682,1,16,6,13.205625,4.82,74.87
962.0,10639,1,1,0,44.38,,
962.0,10682,1,16,5,16.219375,48.01,114.92
963.0,10639,1,1,0,44.38,,
963.0,10682,1,15,3,16.104,62.43,102.51
964.0,10639,1,1,0,44.38,,
964.0,10682,1,16,4,17.255625,57.73,103.37
965.0,10639,1,1,0,44.38,,
965.0,10682,1,15,4,15.931333333333333,31.3,71.39
966.0,10639,1,1,0,44.38,,
966.0,10682,1,15,5,17.60666666666667,32.21,84.87
967.0,10639,1,1,0,44.38,,
967.0,10682,1,14,5,14.821428571428571,32.84,85.39
968.0,10639,1,1,0,44.38,,
968.0,10682,1,15,6,16.92866666666667,26.61,78.5
969.0,10639,1,1,0,44.38,,
969.0,10682,1,14,5,16.68285714285714,20.21,79.73
970.0,10639,1,1,0,44.38,,
970.0,10682,1,15,4,17.982000000000003,20.63,47.76
971.0,10639,1,1,0,44.38,,
971.0,10682,1,14,3,14.587857142857144,20.84,56.94
972.0,10639,1,0,0,,,
972.0,10682,1,14,3,15.739999999999998,21.08,36.64
973.0,10639,1,0,0,,,
973.0,10682,1,15,5,16.689333333333334,16.54,58.89
974.0,10639,1,0,0,,,
974.0,10682,1,15,7,17.244000000000003,10.12,59.7
975.0,10639,1,0,0,,,
975.0,10682,1,15,5,20.792666666666666,4.71,53.11
976.0,10639,1,0,0,,,
976.0,10682,1,14,4,21.247142857142855,4.71,32.46
977.0,10639,1,0,0,,,
977.0,10682,1,14,2,23.81,4.71,20.77
978.0,10639,1,0,0,,,
978.0,10682,1,13,2,24.443846153846152,4.83,20.77
979.0,10639,1,0,0,,,
979.0,10682,1,13,5,27.14153846153846,14.33,46.64
980.0,10639,1,0,0,,,
980.0,10682,1,12,4,26.198333333333334,7.39,47.88
981.0,10639,1,0,0,,,
981.0,10682,1,12,2,26.212500000000002,14.82,38.83
982.0,10639,1,0,0,,,
982.0,10682,1,12,3,27.73,9.53,33.25
983.0,10639,1,0,0,,,
983.0,10682,1,11,3,26.94181818181818,3.54,16.47
984.0,10639,1,1,0,40.73,,
984.0,10682,1,11,3,30.12,3.89,29.65
985.0,10639,1,1,0,41.92,,
985.0,10682,1,10,3,28.243000000000002,4.59,30.88
986.0,10639,1,1,0,41.92,,
986.0,10682,1,9,1,27.955555555555556,11.5,11.5
987.0,10639,1,1,0,41.92,,
987.0,10682,1,9,1,27.38222222222222,6.0,6.0
988.0,10639,1,1,0,41.92,,
988.0,10682,1,9,0,28.378888888888888,,
989.0,10639,1,2,0,42.435,,
989.0,10682,1,9,1,27.928888888888892,0.06,0.06
990.0,10639,1,2,0,42.015,,
990.0,10682,1,9,1,29.991111111111113,1.02,1.02
991.0,10639,1,2,0,42.015,,
991.0,10682,1,9,1,32.43333333333334,1.57,1.57
992.0,10639,1,2,0,42.015,,
992.0,10682,1,9,0,36.574444444444445,,
993.0,10639,1,2,0,42.015,,
993.0,10682,1,9,0,37.19,,
994.0,10639,1,2,0,42.015,,
994.0,10682,1,10,0,35.672000000000004,,
995.0,10639,1,2,0,42.015,,
995.0,10682,1,9,0,37.212222222222216,,
996.0,10639,1,2,0,42.015,,
996.0,10682,1,9,0,38.24666666666666,,
997.0,10639,1,2,0,42.015,,
997.0,10682,1,10,0,37.254000000000005,,
998.0,10639,1,2,0,42.015,,
998.0,10682,1,10,0,36.757,,
999.0,10639,1,2,0,42.015,,
999.0,10682,1,10,0,36.635000000000005,,
