object_type,category,control_id,segment_id,model_link,model_segment_index,direction,name,no,link,lane,pos,segment_start_m,segment_end_m,default_speed_kph,veh_classes,sc_no,sg_no,connector,from_link,from_pos,to_link,to_pos,default_green_sec,capacity_vph,model_ramp_key,purpose
"desSpeedDecision","segment_start_vsl","RW_FW_E_S0","RW_FW_E_S0","FW_E","0","E","RW_VSL_RW_FW_E_S0_L2_LN1","43","2","1","1.000","0.000","586.450","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S0"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S0","RW_FW_E_S0","FW_E","0","E","RW_VSL_RW_FW_E_S0_L2_LN2","44","2","2","1.000","0.000","586.450","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S0"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S0","RW_FW_E_S0","FW_E","0","E","RW_VSL_RW_FW_E_S0_L2_LN3","45","2","3","1.000","0.000","586.450","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S0"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S0","RW_FW_E_S0","FW_E","0","E","RW_VSL_RW_FW_E_S0_L2_LN4","46","2","4","1.000","0.000","586.450","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S0"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S1","RW_FW_E_S1","FW_E","1","E","RW_VSL_RW_FW_E_S1_L2_LN1","47","2","1","586.450","586.450","1172.900","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S1"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S1","RW_FW_E_S1","FW_E","1","E","RW_VSL_RW_FW_E_S1_L2_LN2","48","2","2","586.450","586.450","1172.900","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S1"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S1","RW_FW_E_S1","FW_E","1","E","RW_VSL_RW_FW_E_S1_L2_LN3","49","2","3","586.450","586.450","1172.900","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S1"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S1","RW_FW_E_S1","FW_E","1","E","RW_VSL_RW_FW_E_S1_L2_LN4","50","2","4","586.450","586.450","1172.900","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S1"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S2","RW_FW_E_S2","FW_E","2","E","RW_VSL_RW_FW_E_S2_L2_LN1","51","2","1","1182.900","1172.900","1759.350","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S2"
"desSpeedDecision","segment_start_vsl","RW_FW_E_S2","RW_FW_E_S2","FW_E","2","E","RW_VSL_RW_FW_E_S2_L2_LN2","52","2","2","1182.900","1172.900","1759.350","120","10;20;30","","","","","","","","","","","Real-world freeway VSL segment FW_E S2"
